Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
Bucky Irving,TB,RB,2.2,2,0.0,0.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Andre Swift,CHI,RB,8.2,2,0.0,0.0,0.0,0.0,14.0,18.0,0.0,0.0,5.0,4.0,24.0,0.0
Ja'Marr Chase,CIN,WR,7.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,35.0,0.0
A.J. Brown,PHI,WR,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puka Nacua,LAR,WR,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Cook,BUF,RB,28.5,2,0.0,0.0,0.0,0.0,11.0,78.0,2.0,0.0,1.0,1.0,17.0,1.0
Kenneth Walker III,SEA,RB,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,9.76,2,13.0,139.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Tee Higgins,CIN,WR,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Conner,ARI,RB,19.4,2,0.0,0.0,0.0,0.0,21.0,122.0,1.0,1.0,1.0,1.0,2.0,0.0
Kyle Pitts,ATL,TE,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,20.0,0.0
George Pickens,PIT,WR,4.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,29.0,0.0
Najee Harris,PIT,RB,8.4,2,0.0,0.0,0.0,0.0,17.0,69.0,0.0,0.0,2.0,1.0,5.0,0.0
Austin Ekeler,WSH,RB,11.5,2,0.0,0.0,0.0,0.0,8.0,38.0,0.0,0.0,3.0,3.0,47.0,0.0
Keon Coleman,BUF,WR,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Evan McPherson,CIN,K,16.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Charbonnet,SEA,RB,17.9,2,0.0,0.0,0.0,0.0,14.0,38.0,1.0,0.0,5.0,5.0,31.0,0.0
Rashid Shaheed,NO,WR,20.9,2,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,4.0,4.0,96.0,1.0
Buccaneers D/ST,TB,D/ST,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CeeDee Lamb,DAL,WR,19.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,90.0,1.0
Jahmyr Gibbs,DET,RB,17.6,2,0.0,0.0,0.0,0.0,13.0,84.0,0.0,0.0,7.0,7.0,22.0,0.0
Michael Pittman Jr.,IND,WR,5.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,21.0,0.0
Josh Jacobs,GB,RB,13.1,2,0.0,0.0,0.0,0.0,32.0,151.0,0.0,1.0,0.0,0.0,0.0,0.0
Trey McBride,ARI,TE,18.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,67.0,0.0
Anthony Richardson,IND,QB,9.86,2,17.0,204.0,1.0,3.0,4.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0
Stefon Diggs,HOU,WR,7.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,37.0,0.0
Zamir White,LV,RB,6.8,2,0.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,4.0,3.0,14.0,0.0
Tank Dell,HOU,WR,2.3,2,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,4.0,1.0,-3.0,0.0
Rome Odunze,CHI,WR,5.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,33.0,0.0
49ers D/ST,SF,D/ST,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Moody,SF,K,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braelon Allen,NYJ,RB,19.6,2,0.0,0.0,0.0,0.0,7.0,33.0,1.0,0.0,4.0,2.0,23.0,1.0
Steelers D/ST,PIT,D/ST,12.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Zuerlein,NYJ,K,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,TB,QB,18.8,2,12.0,185.0,1.0,1.0,5.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0
