Name,Projected_Points_Model,projected_points,injuryStatus,lineupSlot
Zay Flowers,14.019000000000004,14.43,ACTIVE,WR
Patrick Mahomes,13.744200000000005,20.51,ACTIVE,QB
Gabe Davis,13.738000000000007,11.39,ACTIVE,WR
Ja'Marr Chase,13.718999999999996,20.67,ACTIVE,WR
Ezekiel Elliott,13.650000000000007,11.46,ACTIVE,RB
Deshaun Watson,13.527400000000002,17.24,ACTIVE,QB
Taylor Heinicke,13.361400000000012,8.35,ACTIVE,QB
Mike Williams,13.290999999999999,11.65,ACTIVE,WR
Rachaad White,13.281999999999998,16.09,ACTIVE,RB
Jerry Jeudy,13.236000000000004,11.78,ACTIVE,WR
Jayden Reed,13.176999999999996,12.03,ACTIVE,WR
DJ Moore,12.987999999999994,14.91,ACTIVE,WR
Zack Moss,12.899000000000006,11.09,ACTIVE,RB
Khalil Herbert,12.862000000000005,7.48,ACTIVE,RB
Marvin Harrison Jr.,12.806999999999993,15.2,ACTIVE,WR
Travis Etienne Jr.,12.746999999999996,16.1,ACTIVE,RB
Aidan O'Connell,12.716799999999994,14.14,ACTIVE,QB
James Cook,12.646999999999997,15.85,ACTIVE,RB
Tee Higgins,12.603000000000002,14.43,ACTIVE,WR
De'Von Achane,12.491000000000001,15.08,ACTIVE,RB
Jameson Williams,12.457000000000003,10.78,ACTIVE,WR
Drake London,12.357000000000001,15.04,ACTIVE,WR
Jimmy Garoppolo,12.254000000000012,8.24,ACTIVE,QB
Gerald Everett,12.019000000000004,4.32,ACTIVE,TE
Chris Godwin,11.943999999999996,14.27,ACTIVE,WR
Chris Olave,11.939999999999998,16.38,ACTIVE,WR
Tyler Lockett,11.904000000000003,12.17,ACTIVE,WR
Travis Kelce,11.779000000000007,13.94,ACTIVE,TE
Alexander Mattison,11.698000000000002,6.63,ACTIVE,RB
J.K. Dobbins,11.56,11.96,ACTIVE,RB
Mason Rudolph,11.5574,7.22,ACTIVE,QB
Joshua Palmer,11.54900000000001,11.22,ACTIVE,WR
Garrett Wilson,11.541000000000006,16.77,ACTIVE,WR
George Pickens,11.491999999999996,13.93,ACTIVE,WR
Davis Mills,11.366000000000001,8.16,ACTIVE,QB
Jerome Ford,11.196999999999996,10.2,ACTIVE,RB
Antonio Gibson,11.087000000000005,10.91,ACTIVE,RB
Brandon Aiyuk,11.049999999999994,14.83,ACTIVE,WR
Tyler Allgeier,10.989999999999998,10.09,ACTIVE,RB
Jaylen Waddle,10.962000000000003,14.61,ACTIVE,WR
Jonathan Mingo,10.946000000000002,5.62,ACTIVE,WR
Zach Charbonnet,10.846999999999998,10.0,ACTIVE,RB
Najee Harris,10.838999999999997,12.5,ACTIVE,RB
Dallas Goedert,10.825000000000003,10.14,ACTIVE,TE
Sam LaPorta,10.773000000000003,13.99,ACTIVE,TE
Christian Kirk,10.763000000000002,13.7,ACTIVE,WR
Calvin Ridley,10.721000000000002,14.63,ACTIVE,WR
Rashid Shaheed,10.640000000000008,10.6,ACTIVE,WR
Javonte Williams,10.628999999999998,13.23,ACTIVE,RB
Tyjae Spears,10.53800000000001,12.53,ACTIVE,RB
Jordan Addison,10.456000000000001,12.58,ACTIVE,WR
Kylen Granson,10.425999999999998,5.53,ACTIVE,TE
Gus Edwards,10.396,10.22,ACTIVE,RB
Daniel Jones,10.303799999999999,16.1,ACTIVE,QB
Aaron Jones,10.277999999999999,13.57,ACTIVE,RB
Terry McLaurin,10.229000000000003,12.9,ACTIVE,WR
Tyler Conklin,10.225999999999997,8.56,ACTIVE,TE
Zach Ertz,10.215999999999996,4.93,ACTIVE,TE
Justin Herbert,10.139599999999996,16.8,ACTIVE,QB
Dalton Kincaid,10.077999999999996,11.48,ACTIVE,TE
Brian Thomas Jr.,9.969000000000001,11.44,ACTIVE,WR
Sam Darnold,9.909999999999995,14.81,ACTIVE,QB
Drew Lock,9.869800000000003,7.47,ACTIVE,QB
Dalton Schultz,8.989000000000003,8.88,ACTIVE,TE
Raheem Mostert,8.928999999999997,12.19,ACTIVE,RB
Hunter Henry,8.800999999999998,7.4,ACTIVE,TE
Tyler Boyd,8.765999999999995,8.8,ACTIVE,WR
Roschon Johnson,8.730999999999993,4.08,ACTIVE,RB
Wan'Dale Robinson,8.625000000000005,8.91,ACTIVE,WR
DeAndre Hopkins,8.589000000000002,12.7,ACTIVE,WR
Amari Cooper,8.546999999999999,13.97,ACTIVE,WR
Jacoby Brissett,8.405999999999999,6.66,ACTIVE,QB
Jakobi Meyers,8.357999999999999,11.68,ACTIVE,WR
Darius Slayton,8.3,7.87,ACTIVE,WR
Keenan Allen,8.236999999999997,15.55,ACTIVE,WR
Mark Andrews,8.222999999999999,12.55,ACTIVE,TE
Jaleel McLaughlin,8.189000000000004,9.84,ACTIVE,RB
Pat Freiermuth,8.179999999999996,9.21,ACTIVE,TE
Josh Downs,8.086999999999996,8.56,ACTIVE,WR
Michael Wilson,7.997999999999998,9.47,ACTIVE,WR
Ladd McConkey,7.855000000000002,11.89,ACTIVE,WR
Jahan Dotson,7.783000000000005,4.95,ACTIVE,WR
Alec Pierce,7.764999999999998,3.44,ACTIVE,WR
Dontayvion Wicks,7.764999999999995,8.39,ACTIVE,WR
Jake Ferguson,7.670999999999995,11.05,ACTIVE,TE
Demarcus Robinson,7.666000000000001,10.19,ACTIVE,WR
Andy Dalton,7.446400000000004,7.2,ACTIVE,QB
Juwan Johnson,7.324000000000001,8.0,ACTIVE,TE
Kyle Pitts,7.320999999999999,11.14,ACTIVE,TE
Tutu Atwell,7.039000000000003,3.74,ACTIVE,WR
Samaje Perine,7.0339999999999945,3.96,ACTIVE,RB
Cade Otton,6.925,7.31,ACTIVE,TE
Nick Westbrook-Ikhine,6.9110000000000005,1.59,ACTIVE,WR
Tanner Hudson,6.893999999999998,1.95,ACTIVE,TE
Braelon Allen,6.884000000000003,5.39,ACTIVE,RB
Chase Brown,6.838999999999998,11.93,ACTIVE,RB
Justin Watson,6.823999999999997,3.11,ACTIVE,WR
Kenny Pickett,6.654000000000009,8.03,ACTIVE,QB
Courtland Sutton,6.653000000000002,12.64,ACTIVE,WR
Rashod Bateman,6.560999999999998,7.55,ACTIVE,WR
JuJu Smith-Schuster,6.534,1.28,ACTIVE,WR
Curtis Samuel,6.492999999999995,11.1,ACTIVE,WR
Kenneth Gainwell,6.351999999999999,5.51,ACTIVE,RB
Ty Chandler,6.299000000000002,9.79,ACTIVE,RB
Foster Moreau,6.287000000000001,2.78,ACTIVE,TE
Tucker Kraft,6.285000000000005,6.0,ACTIVE,TE
D'Onta Foreman,6.270999999999998,5.51,ACTIVE,RB
Darnell Mooney,6.262999999999998,11.6,ACTIVE,WR
Brandon Powell,6.228999999999998,2.08,ACTIVE,WR
Jordan Mason,6.159999999999999,6.35,ACTIVE,RB
Quentin Johnston,6.086999999999998,7.35,ACTIVE,WR
Tyrod Taylor,6.037999999999998,8.03,ACTIVE,QB
Jonnu Smith,6.028999999999999,5.56,ACTIVE,TE
Bo Melton,5.986999999999999,1.84,ACTIVE,WR
Elijah Moore,5.875999999999993,4.8,ACTIVE,WR
Justice Hill,5.748999999999995,6.36,ACTIVE,RB
Tank Dell,5.712000000000001,14.13,ACTIVE,WR
Jameis Winston,5.651999999999999,7.06,ACTIVE,QB
Greg Dortch,5.584000000000002,5.0,ACTIVE,WR
Lucas Krull,5.5290000000000035,1.81,ACTIVE,TE
Dawson Knox,5.487000000000003,5.49,ACTIVE,TE
Emari Demercado,5.335999999999997,3.22,ACTIVE,RB
Cole Kmet,5.329,7.58,ACTIVE,TE
Rome Odunze,5.2980000000000045,11.68,ACTIVE,WR
Cedrick Wilson Jr.,5.292999999999999,3.23,ACTIVE,WR
Raheem Blackshear,5.204000000000002,1.08,ACTIVE,RB
Luke Farrell,5.133000000000003,1.88,ACTIVE,TE
Tyler Goodson,5.087000000000001,3.18,ACTIVE,RB
Drew Sample,5.0200000000000005,1.98,ACTIVE,TE
Allen Lazard,5.003000000000003,3.41,ACTIVE,WR
Kalif Raymond,4.9579999999999975,5.59,ACTIVE,WR
Mac Jones,4.923600000000002,7.74,ACTIVE,QB
Cooper Rush,4.8580000000000005,8.61,ACTIVE,QB
Carson Steele,4.8022380952380965,1.36,ACTIVE,RB
Marvin Mims Jr.,4.801000000000001,7.56,ACTIVE,WR
Ty Johnson,4.799000000000002,5.21,ACTIVE,RB
Miles Sanders,4.797000000000001,6.18,ACTIVE,RB
Cedric Tillman,4.728000000000002,5.25,ACTIVE,WR
Mack Hollins,4.549999999999997,1.83,ACTIVE,WR
Josh Whyle,4.528999999999998,2.62,ACTIVE,TE
Charlie Jones,4.526999999999998,1.01,ACTIVE,WR
Keon Coleman,4.517999999999998,11.33,ACTIVE,WR
Cam Akers,4.49,1.77,ACTIVE,RB
Josh Reynolds,4.4840000000000035,7.59,ACTIVE,WR
Tommy Tremble,4.307999999999998,4.68,ACTIVE,TE
Jalen Tolbert,4.243000000000002,8.06,ACTIVE,WR
Parker Washington,4.188999999999996,0.64,ACTIVE,WR
Jeff Wilson Jr.,4.157000000000002,1.17,ACTIVE,RB
Eric Saubert,4.089,1.13,ACTIVE,TE
KaVontae Turpin,4.088000000000004,4.09,ACTIVE,WR
Pharaoh Brown,4.085999999999999,1.86,ACTIVE,TE
Elijah Higgins,4.084999999999996,2.35,ACTIVE,TE
Hayden Hurst,4.0699999999999985,6.66,ACTIVE,TE
Treylon Burks,4.0299999999999985,3.9,ACTIVE,WR
Laviska Shenault Jr.,3.998000000000002,1.7,ACTIVE,WR
Ronnie Rivers,3.992,1.82,ACTIVE,RB
Xavier Gipson,3.9909999999999957,4.63,ACTIVE,WR
Jeremy Ruckert,3.964000000000001,3.85,ACTIVE,TE
Durham Smythe,3.8969999999999994,2.49,ACTIVE,TE
Israel Abanikanda,3.879999999999999,1.81,ACTIVE,RB
David Moore,3.8680000000000008,1.82,ACTIVE,WR
Isaiah Likely,3.8620000000000037,9.46,ACTIVE,TE
Trenton Irwin,3.856999999999997,3.82,ACTIVE,WR
Jalin Hyatt,3.7570000000000006,9.09,ACTIVE,WR
Noah Gray,3.7230000000000003,4.74,ACTIVE,TE
D'Ernest Johnson,3.6730000000000014,3.44,ACTIVE,RB
Jamaal Williams,3.6510000000000042,6.8,ACTIVE,RB
Jauan Jennings,3.6400000000000006,4.88,ACTIVE,WR
Clayton Tune,3.626000000000001,7.44,ACTIVE,QB
Greg Dulcich,3.607499999999999,4.7,ACTIVE,TE
Tyquan Thornton,3.5819999999999994,3.37,ACTIVE,WR
Ray-Ray McCloud III,3.5530000000000013,6.69,ACTIVE,WR
Marquez Valdes-Scantling,3.4990000000000014,1.85,ACTIVE,WR
C.J. Ham,3.4149999999999987,0.66,ACTIVE,RB
Emanuel Wilson,3.385000000000001,3.11,ACTIVE,RB
Rico Dowdle,3.366999999999999,10.61,ACTIVE,RB
Josh Oliver,3.356000000000001,3.1,ACTIVE,TE
KhaDarel Hodge,3.2560000000000007,4.63,ACTIVE,WR
Chris Moore,3.243999999999998,0.89,ACTIVE,WR
Peyton Hendershot,3.2149999999999976,0.72,ACTIVE,TE
Jalen Brooks,3.162,1.07,ACTIVE,WR
Marcedes Lewis,3.1269999999999993,0.65,ACTIVE,TE
Will Mallory,3.110999999999999,2.22,ACTIVE,TE
Daniel Bellinger,3.0549999999999993,2.99,ACTIVE,TE
Trishton Jackson,3.04,0.58,ACTIVE,WR
Stone Smartt,3.0110000000000015,2.41,ACTIVE,TE
Braxton Berrios,2.9979999999999993,2.48,ACTIVE,WR
Adam Trautman,2.995000000000001,3.08,ACTIVE,TE
Alec Ingold,2.972999999999999,1.8,ACTIVE,RB
Nate Adkins,2.9569999999999994,0.59,ACTIVE,TE
Malik Heath,2.941999999999999,0.63,ACTIVE,WR
Jake Bobo,2.9390000000000005,2.42,ACTIVE,WR
Tre Tucker,2.9390000000000005,8.41,ACTIVE,WR
Van Jefferson,2.906,5.3,ACTIVE,WR
Jordan Akins,2.8412499999999996,3.63,ACTIVE,TE
Johnny Mundt,2.8339999999999996,3.58,ACTIVE,TE
Mo Alie-Cox,2.7889999999999997,1.9,ACTIVE,TE
Mike Gesicki,2.7309999999999985,5.28,ACTIVE,TE
Ameer Abdullah,2.711999999999997,2.85,ACTIVE,RB
Skyy Moore,2.6719999999999993,1.92,ACTIVE,WR
John Metchie III,2.6340000000000003,3.23,ACTIVE,WR
Calvin Austin III,2.5559999999999983,4.26,ACTIVE,WR
Bucky Irving,2.541000000000001,8.01,ACTIVE,RB
Simi Fehoko,2.491,0.66,ACTIVE,WR
Austin Hooper,2.4569999999999994,3.83,ACTIVE,TE
Luke Schoonmaker,2.4289999999999994,2.86,ACTIVE,TE
Khari Blasingame,2.3918999999999992,0.27,ACTIVE,RB
Malik Willis,2.348,16.69,ACTIVE,QB
Connor Heyward,2.2829999999999995,2.79,ACTIVE,TE
Noah Fant,2.2729999999999984,6.82,ACTIVE,TE
Derius Davis,2.266,2.44,ACTIVE,WR
Kayshon Boutte,2.2259999999999995,0.34,ACTIVE,WR
Brock Wright,2.195,2.6,ACTIVE,TE
Scotty Miller,2.1639999999999997,1.16,ACTIVE,WR
Will Dissly,2.1229999999999984,4.35,ACTIVE,TE
Tim Jones,2.1079999999999988,0.58,ACTIVE,WR
Xavier Hutchinson,2.049999999999999,0.42,ACTIVE,WR
Trayveon Williams,2.049,3.13,ACTIVE,RB
Ronnie Bell,2.023,0.41,ACTIVE,WR
Dare Ogunbowale,1.9440000000000008,2.16,ACTIVE,RB
Quintin Morris,1.9020000000000001,0.67,ACTIVE,TE
Deuce Vaughn,1.8210000000000013,3.52,ACTIVE,RB
Nelson Agholor,1.8179999999999992,3.66,ACTIVE,WR
Davis Allen,1.812000000000001,2.09,ACTIVE,TE
Payne Durham,1.7750000000000006,1.63,ACTIVE,TE
Harrison Bryant,1.7249999999999983,1.22,ACTIVE,TE
Trey Sermon,1.7060000000000002,4.26,ACTIVE,RB
Darnell Washington,1.6819999999999993,2.26,ACTIVE,TE
Zach Pascal,1.680007142857142,1.01,ACTIVE,WR
Steven Sims,1.6600000000000006,0.12,ACTIVE,WR
Hunter Luepke,1.652999999999999,0.84,ACTIVE,RB
DeeJay Dallas,1.627999999999999,0.54,ACTIVE,RB
Andrei Iosivas,1.6199999999999997,7.13,ACTIVE,WR
Velus Jones Jr.,1.5960000000000016,0.5,ACTIVE,WR
Patrick Ricard,1.5799999999999996,0.54,ACTIVE,RB
Brenton Strange,1.4370000000000003,1.92,ACTIVE,TE
John Bates,1.4320000000000002,1.13,ACTIVE,TE
Dareke Young,1.3526640616087142,0.61,ACTIVE,WR
Tylan Wallace,1.3526640616087142,0.52,ACTIVE,WR
DJ Turner,1.3526640616087142,0.87,ACTIVE,WR
Tanner Conner,1.3526640616087142,0.32,ACTIVE,TE
Evan McPherson,1.3526640616087142,8.17,ACTIVE,K
Harrison Butker,1.3526640616087142,8.62,ACTIVE,K
Jordan Matthews,1.3526640616087142,0.9,ACTIVE,TE
Kenny McIntosh,1.3526640616087142,2.49,ACTIVE,RB
Hunter Long,1.3526640616087142,0.73,ACTIVE,TE
Irvin Charles,1.3526640616087142,0.66,ACTIVE,WR
Justin Tucker,1.3526640616087142,8.35,ACTIVE,K
Julius Chestnut,1.3526640616087142,2.68,ACTIVE,RB
Jordan Mims,1.3526640616087142,1.24,ACTIVE,RB
Jake Elliott,1.3526640616087142,8.44,ACTIVE,K
Brandon Aubrey,1.3526640616087142,8.36,ACTIVE,K
Jake Moody,1.3526640616087142,8.15,ACTIVE,K
Cameron Dicker,1.3526640616087142,8.14,ACTIVE,K
Aaron Rodgers,1.3526640616087142,17.68,ACTIVE,QB
Jeremy McNichols,1.3526640616087142,2.87,ACTIVE,RB
Carson Wentz,1.3526640616087142,9.13,ACTIVE,QB
Jarrett Stidham,1.3526640616087142,7.08,ACTIVE,QB
Greg Zuerlein,1.3526640616087142,8.29,ACTIVE,K
Ka'imi Fairbairn,1.3526640616087142,8.26,ACTIVE,K
Parker Hesse,1.3526640616087142,0.64,ACTIVE,TE
Brady Russell,1.3526640616087142,0.37,ACTIVE,TE
Myles Gaskin,1.3526640616087142,1.78,ACTIVE,RB
Blake Grupe,1.3526640616087142,7.38,ACTIVE,K
Nick Vannett,1.3526640616087142,0.32,ACTIVE,TE
Chris Boswell,1.3526640616087142,7.63,ACTIVE,K
Kyle Juszczyk,1.331,2.05,ACTIVE,RB
Julian Hill,1.2819999999999998,0.32,ACTIVE,TE
Craig Reynolds,1.2699999999999998,2.24,ACTIVE,RB
Olamide Zaccheaus,1.267,4.01,ACTIVE,WR
Tyler Scott,1.2519999999999998,0.79,ACTIVE,WR
Dyami Brown,1.2059999999999997,4.66,ACTIVE,WR
Ko Kieft,1.0893333333333333,1.25,ACTIVE,TE
Drew Ogletree,1.059,2.29,ACTIVE,TE
Ross Dwelley,1.0351873015873014,0.71,ACTIVE,TE
Colby Parkinson,1.03,5.32,ACTIVE,TE
Grant Calcaterra,0.9939999999999994,1.73,ACTIVE,TE
Ben Sims,0.9863333333333331,0.64,ACTIVE,TE
Charlie Woerner,0.9259999999999998,1.32,ACTIVE,TE
Chris Manhertz,0.9149999999999995,0.59,ACTIVE,TE
Kyle Trask,0.8189603211766735,7.9,ACTIVE,QB
Eric Gray,0.7658000000000004,4.08,ACTIVE,RB
Jalen Nailor,0.76,2.96,ACTIVE,WR
Charlie Kolar,0.7289999999999998,0.58,ACTIVE,TE
Adam Prentice,0.689,0.78,ACTIVE,RB
Sean Tucker,0.534,2.17,ACTIVE,RB
Tank Bigsby,0.4879999999999999,5.31,ACTIVE,RB
Devin Duvernay,0.30799999999999994,2.14,ACTIVE,WR
JaMycal Hasty,0.04616666666666667,2.92,ACTIVE,RB
