Name,Projected_Points_Model,projected_points,injuryStatus,lineupSlot
Derrick Henry,24.024,16.07,ACTIVE,RB
Baker Mayfield,23.67300000000003,16.36,ACTIVE,QB
CeeDee Lamb,22.383999999999986,21.12,ACTIVE,WR
Joe Flacco,22.182999999999996,6.36,ACTIVE,QB
Trevor Lawrence,22.116000000000007,16.61,ACTIVE,QB
Lamar Jackson,21.592000000000013,20.26,ACTIVE,QB
Jordan Love,20.055799999999998,17.23,ACTIVE,QB
Jayden Daniels,19.995800000000003,17.06,ACTIVE,QB
Jalen Hurts,19.7396,20.95,ACTIVE,QB
Nick Mullens,19.32380000000001,14.64,ACTIVE,QB
C.J. Stroud,19.0148,18.44,ACTIVE,QB
Saquon Barkley,18.725999999999992,18.03,ACTIVE,RB
Amon-Ra St. Brown,18.552999999999997,18.93,ACTIVE,WR
Derek Carr,18.1408,14.58,ACTIVE,QB
Tony Pollard,17.639000000000006,12.34,ACTIVE,RB
Jared Goff,17.576399999999985,15.66,ACTIVE,QB
Tyreek Hill,17.52800000000001,19.93,ACTIVE,WR
Geno Smith,17.52499999999999,16.22,ACTIVE,QB
Josh Allen,17.5062,20.91,ACTIVE,QB
Mike Evans,17.082000000000015,15.69,ACTIVE,WR
Jake Browning,16.920000000000005,9.32,ACTIVE,QB
Jahmyr Gibbs,16.778,17.04,ACTIVE,RB
Dak Prescott,16.748200000000008,18.44,ACTIVE,QB
DK Metcalf,16.393000000000015,14.99,ACTIVE,WR
Bryce Young,16.343800000000012,14.91,ACTIVE,QB
Jaxon Smith-Njigba,16.24299999999999,12.76,ACTIVE,WR
Justin Fields,16.177400000000002,17.93,ACTIVE,QB
Sam Howell,15.967799999999997,8.24,ACTIVE,QB
Stefon Diggs,15.940000000000008,15.12,ACTIVE,WR
Diontae Johnson,15.805999999999997,13.9,ACTIVE,WR
Matthew Stafford,15.796400000000004,16.03,ACTIVE,QB
Justin Jefferson,15.79,18.81,ACTIVE,WR
Tyson Bagent,15.782200000000014,8.1,ACTIVE,QB
Deebo Samuel Sr.,15.636000000000008,15.8,ACTIVE,WR
James Conner,15.628000000000004,13.68,ACTIVE,RB
Breece Hall,15.491000000000009,20.67,ACTIVE,RB
Nico Collins,15.485999999999999,15.31,ACTIVE,WR
Kirk Cousins,15.45700000000001,16.73,ACTIVE,QB
Joe Burrow,15.330799999999993,18.58,ACTIVE,QB
Kenneth Walker III,15.146999999999993,15.17,ACTIVE,RB
Gardner Minshew,15.012599999999999,14.26,ACTIVE,QB
Michael Pittman Jr.,15.009000000000007,15.39,ACTIVE,WR
Brock Bowers,14.947000000000005,9.6,ACTIVE,TE
Kyler Murray,14.910000000000009,17.61,ACTIVE,QB
Bijan Robinson,14.901000000000002,20.91,ACTIVE,RB
Josh Jacobs,14.79299999999999,15.46,ACTIVE,RB
Kyren Williams,14.713999999999997,16.63,ACTIVE,RB
Brock Purdy,14.671599999999986,17.29,ACTIVE,QB
Xavier Worthy,14.648999999999994,11.75,ACTIVE,WR
Joshua Dobbs,14.592600000000004,8.47,ACTIVE,QB
Austin Ekeler,14.580000000000002,12.39,ACTIVE,RB
David Montgomery,14.470999999999998,12.67,ACTIVE,RB
D'Andre Swift,14.423000000000004,12.91,ACTIVE,RB
Rhamondre Stevenson,14.293999999999997,13.71,ACTIVE,RB
Trey McBride,14.191000000000006,12.15,ACTIVE,TE
Chuba Hubbard,14.101999999999999,9.73,ACTIVE,RB
