Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,avg_points,injured
Alvin Kamara,NO,RB,24.9,4,0.0,0.0,0.0,0.0,19.0,77.0,1.0,0.0,9.0,7.0,42.0,0.0,ACTIVE,16.51,False
Jalen Hurts,PHI,QB,16.32,4,18.0,158.0,1.0,0.0,8.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,ACTIVE,20.95,False
Evan Engram,JAX,TE,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,12.21,False
Calvin Ridley,TEN,WR,2.5,4,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,1.0,5.0,0.0,ACTIVE,14.63,False
Brandon Aubrey,DAL,K,11.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,8.36,False
Browns D/ST,CLE,D/ST,12.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,8.11,False
Dak Prescott,DAL,QB,16.74,4,22.0,221.0,2.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,18.44,False
Christian Kirk,JAX,WR,19.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,61.0,1.0,ACTIVE,13.7,False
Jaxon Smith-Njigba,SEA,WR,13.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,51.0,0.0,ACTIVE,12.76,False
Brian Robinson Jr.,WSH,RB,20.3,4,0.0,0.0,0.0,0.0,21.0,101.0,1.0,0.0,3.0,3.0,12.0,0.0,ACTIVE,12.77,False
Jaylen Warren,PIT,RB,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,12.69,False
Devin Singletary,NYG,RB,4.8,4,0.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,1.0,1.0,14.0,0.0,ACTIVE,12.02,False
Dallas Goedert,PHI,TE,13.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,62.0,0.0,ACTIVE,10.14,False
Amon-Ra St. Brown,DET,WR,20.78,4,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,45.0,1.0,ACTIVE,18.93,False
Garrett Wilson,NYJ,WR,7.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,41.0,0.0,ACTIVE,16.77,False
Isiah Pacheco,KC,RB,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INJURY_RESERVE,16.61,True
Drake London,ATL,WR,12.4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,64.0,0.0,ACTIVE,15.04,False
Rachaad White,TB,RB,10.4,4,0.0,0.0,0.0,0.0,10.0,49.0,0.0,0.0,3.0,2.0,35.0,0.0,ACTIVE,16.09,False
Patrick Mahomes,KC,QB,13.0,4,19.0,245.0,1.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,20.51,False
Zay Flowers,BAL,WR,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,ACTIVE,14.43,False
Aaron Jones,MIN,RB,17.9,4,0.0,0.0,0.0,0.0,22.0,93.0,0.0,0.0,5.0,4.0,46.0,0.0,ACTIVE,13.57,False
Dalton Kincaid,BUF,TE,9.7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,47.0,0.0,ACTIVE,11.48,False
Diontae Johnson,CAR,WR,21.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,83.0,1.0,ACTIVE,13.9,False
Xavier Worthy,KC,WR,16.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,73.0,1.0,ACTIVE,11.75,False
Ladd McConkey,LAC,WR,17.7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,67.0,1.0,ACTIVE,11.89,False
Ka'imi Fairbairn,HOU,K,6.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,8.26,False
Isaiah Likely,BAL,TE,3.6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,26.0,0.0,ACTIVE,9.46,False
Bucky Irving,TB,RB,12.5,4,0.0,0.0,0.0,0.0,10.0,49.0,1.0,0.0,2.0,1.0,6.0,0.0,ACTIVE,8.01,False
