Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,percent_owned,percent_started,avg_points,injured
Puka Nacua,LAR,WR,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INJURY_RESERVE,0.0,0.0,0.0,True
James Cook,BUF,RB,18.7,3,0.0,0.0,0.0,0.0,11.0,39.0,1.0,0.0,5.0,4.0,48.0,0.0,ACTIVE,0.0,0.0,0.0,False
Kenneth Walker III,SEA,RB,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Josh Allen,BUF,QB,30.92,3,23.0,263.0,4.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Tee Higgins,CIN,WR,6.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,39.0,0.0,ACTIVE,0.0,0.0,0.0,False
James Conner,ARI,RB,3.5,3,0.0,0.0,0.0,0.0,9.0,17.0,0.0,0.0,1.0,1.0,8.0,0.0,ACTIVE,0.0,0.0,0.0,False
Kyle Pitts,ATL,TE,7.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,59.0,0.0,ACTIVE,0.0,0.0,0.0,False
George Pickens,PIT,WR,10.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,57.0,0.0,ACTIVE,0.0,0.0,0.0,False
Najee Harris,PIT,RB,13.6,3,0.0,0.0,0.0,0.0,18.0,70.0,0.0,0.0,5.0,5.0,16.0,0.0,ACTIVE,0.0,0.0,0.0,False
Austin Ekeler,WSH,RB,13.7,3,0.0,0.0,0.0,0.0,3.0,35.0,1.0,0.0,2.0,2.0,22.0,0.0,OUT,0.0,0.0,0.0,True
Keon Coleman,BUF,WR,9.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,1.0,ACTIVE,0.0,0.0,0.0,False
Evan McPherson,CIN,K,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Zach Charbonnet,SEA,RB,25.7,3,0.0,0.0,0.0,0.0,18.0,91.0,2.0,0.0,4.0,3.0,16.0,0.0,ACTIVE,0.0,0.0,0.0,False
