Name,Team,lineupSlot,points,avg_points,GP,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
Brian Robinson Jr.,WSH,RB,17.9,17.9,1,0.0,0.0,0.0,0.0,12.0,40.0,1.0,0.0,4.0,3.0,49.0,0.0
Jaylen Warren,PIT,RB,4.0,4.0,1,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,2.0,13.0,0.0
Devin Singletary,NYG,RB,9.2,9.2,1,0.0,0.0,0.0,0.0,10.0,37.0,0.0,0.0,5.0,4.0,15.0,0.0
Mike Williams,NYJ,WR,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CeeDee Lamb,DAL,WR,13.6,13.6,1,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.0,10.0,5.0,61.0,0.0
Jahmyr Gibbs,DET,RB,17.4,17.4,1,0.0,0.0,0.0,0.0,11.0,40.0,1.0,0.0,6.0,4.0,34.0,0.0
Michael Pittman Jr.,IND,WR,7.1,7.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,31.0,0.0
Josh Jacobs,GB,RB,12.4,12.4,1,0.0,0.0,0.0,0.0,16.0,84.0,0.0,1.0,3.0,2.0,20.0,0.0
Trey McBride,ARI,TE,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,30.0,0.0
Anthony Richardson,IND,QB,26.08,26.08,1,9.0,212.0,2.0,1.0,6.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,HOU,WR,21.9,21.9,1,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,6.0,33.0,2.0
Zamir White,LV,RB,4.6,4.6,1,0.0,0.0,0.0,0.0,13.0,44.0,0.0,1.0,2.0,2.0,2.0,0.0
Tank Dell,HOU,WR,8.9,8.9,1,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,7.0,3.0,40.0,0.0
Rome Odunze,CHI,WR,2.1,2.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,11.0,0.0
49ers D/ST,SF,D/ST,7.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Moody,SF,K,26.0,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braelon Allen,NYJ,RB,2.7,2.7,1,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,9.0,0.0
Steelers D/ST,PIT,D/ST,13.0,13.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Zuerlein,NYJ,K,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,TB,QB,29.66,29.66,1,24.0,289.0,4.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyreek Hill,MIA,WR,26.0,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,130.0,1.0
Derrick Henry,BAL,RB,10.6,10.6,1,0.0,0.0,0.0,0.0,13.0,46.0,1.0,0.0,2.0,0.0,0.0,0.0
Deebo Samuel Sr.,SF,WR,18.7,18.7,1,0.0,0.0,0.0,0.0,8.0,23.0,1.0,0.0,9.0,5.0,54.0,0.0
Travis Kelce,KC,TE,6.4,6.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,34.0,0.0
De'Von Achane,MIA,RB,23.0,23.0,1,0.0,0.0,0.0,0.0,10.0,24.0,1.0,0.0,7.0,7.0,76.0,0.0
Lamar Jackson,BAL,QB,25.12,25.12,1,26.0,273.0,1.0,0.0,16.0,122.0,0.0,1.0,0.0,0.0,0.0,0.0
DeVonta Smith,PHI,WR,15.4,15.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,84.0,0.0
Amari Cooper,CLE,WR,3.6,3.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,16.0,0.0
David Montgomery,DET,RB,16.3,16.3,1,0.0,0.0,0.0,0.0,17.0,91.0,1.0,0.0,1.0,1.0,2.0,0.0
Terry McLaurin,WSH,WR,3.7,3.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,17.0,0.0
Tony Pollard,TEN,RB,18.4,18.4,1,0.0,0.0,0.0,0.0,16.0,82.0,1.0,0.0,4.0,3.0,12.0,0.0
Justin Tucker,BAL,K,7.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Bowers,LV,TE,11.8,11.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,58.0,0.0
Jayden Daniels,WSH,QB,28.16,28.16,1,17.0,184.0,0.0,0.0,16.0,88.0,2.0,3.0,0.0,0.0,0.0,0.0
Brian Thomas Jr.,JAX,WR,14.7,14.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,47.0,1.0
Chiefs D/ST,KC,D/ST,-2.0,-2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ja'Marr Chase,CIN,WR,12.2,12.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,62.0,0.0
A.J. Brown,PHI,WR,22.9,22.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,119.0,1.0
Puka Nacua,LAR,WR,8.2,8.2,1,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,4.0,35.0,0.0
James Cook,BUF,RB,13.3,13.3,1,0.0,0.0,0.0,0.0,19.0,71.0,0.0,0.0,3.0,3.0,32.0,0.0
Kenneth Walker III,SEA,RB,18.9,18.9,1,0.0,0.0,0.0,0.0,20.0,103.0,1.0,0.0,3.0,2.0,6.0,0.0
Josh Allen,BUF,QB,31.18,31.18,1,18.0,232.0,2.0,0.0,9.0,39.0,2.0,1.0,0.0,0.0,0.0,0.0
Tee Higgins,CIN,WR,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Conner,ARI,RB,19.3,19.3,1,0.0,0.0,0.0,0.0,16.0,50.0,1.0,0.0,4.0,3.0,33.0,0.0
Kyle Pitts,ATL,TE,11.6,11.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,26.0,1.0
George Pickens,PIT,WR,13.5,13.5,1,0.0,0.0,0.0,0.0,1.0,-10.0,0.0,0.0,7.0,6.0,85.0,0.0
Najee Harris,PIT,RB,8.9,8.9,1,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,2.0,1.0,9.0,0.0
Christian Watson,GB,WR,10.3,10.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,13.0,1.0
Austin Ekeler,WSH,RB,10.2,10.2,1,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,4.0,4.0,52.0,0.0
Keon Coleman,BUF,WR,9.1,9.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,51.0,0.0
Evan McPherson,CIN,K,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguars D/ST,JAX,D/ST,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breece Hall,NYJ,RB,18.3,18.3,1,0.0,0.0,0.0,0.0,16.0,54.0,1.0,1.0,6.0,5.0,39.0,0.0
Saquon Barkley,PHI,RB,33.2,33.2,1,0.0,0.0,0.0,0.0,24.0,109.0,2.0,0.0,2.0,2.0,23.0,1.0
Marvin Harrison Jr.,ARI,WR,1.4,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0
Chris Olave,NO,WR,3.1,3.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0
DJ Moore,CHI,WR,10.0,10.0,1,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,8.0,5.0,36.0,0.0
Mark Andrews,BAL,TE,3.4,3.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,0.0
