"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Christian McCaffrey","SF","RB","41.7","41.7","1","0","0","0","0","18","115","1","0","5","5","72","2"
"James Cook","BUF","RB","36.1","36.1","1","0","0","0","0","25","179","1","0","3","2","42","1"
"Jared Goff","DET","QB","31.1","31.1","1","24","278","5","0","0","0","0","0","0","0","0","0"
"Jordan Addison","MIN","WR","29.1","29.1","1","0","0","0","0","0","0","0","0","6","6","111","2"
"Baker Mayfield","TB","QB","29","29","1","22","381","4","0","2","-2","0","1","0","0","0","0"
"Sam LaPorta","DET","TE","28.6","28.6","1","0","0","0","0","0","0","0","0","6","5","56","3"
"Jaylen Waddle","MIA","WR","28.2","28.2","1","0","0","0","0","0","0","0","0","9","8","142","1"
"David Njoku","CLE","TE","26.4","26.4","1","0","0","0","0","0","0","0","0","14","10","104","1"
"Terry McLaurin","WAS","WR","26.1","26.1","1","0","0","0","0","0","0","0","0","12","6","141","1"
"Aidan O'Connell","LV","QB","25.9","25.9","1","20","248","4","0","0","0","0","0","0","0","0","0"
"Brock Purdy","SF","QB","25.7","25.7","1","16","242","4","0","0","0","0","0","0","0","0","0"
"Chris Godwin","TB","WR","25.5","25.5","1","0","0","0","0","0","0","0","0","12","10","155","0"
"Cooper Kupp","LAR","WR","25.1","25.1","1","0","0","0","0","0","0","0","0","8","8","111","1"
"Jahmyr Gibbs","DET","RB","24.8","24.8","1","0","0","0","0","11","100","1","0","2","2","8","1"
"Ty Chandler","MIN","RB","24.7","24.7","1","0","0","0","0","23","132","1","0","4","3","25","0"
"Kyren Williams","LAR","RB","24.5","24.5","1","0","0","0","0","27","152","1","2","7","5","3","0"
"Amon-Ra St. Brown","DET","WR","24.2","24.2","1","0","0","0","0","0","0","0","0","9","7","112","1"
"Davante Adams","LV","WR","24.1","24.1","1","0","0","0","0","0","0","0","0","12","8","101","1"
"Rashee Rice","KC","WR","24.1","24.1","1","0","0","0","0","0","0","0","0","9","9","91","1"
"Noah Brown","HOU","WR","22.2","22.2","1","0","0","0","0","0","0","0","0","11","8","82","1"
"Tee Higgins","CIN","WR","22.1","22.1","1","0","0","0","0","0","0","0","0","8","4","61","2"
"Jalen Hurts","PHI","QB","21.9","21.9","1","17","143","0","2","13","82","2","0","0","0","0","0"
"Deebo Samuel","SF","WR","21.9","21.9","1","0","0","0","0","1","11","0","0","7","4","48","2"
"Rachaad White","TB","RB","21.9","21.9","1","0","0","0","0","21","89","0","0","2","2","50","1"
"Joshua Palmer","LAC","WR","21.3","21.3","1","0","0","0","0","0","0","0","0","4","4","113","1"
"Curtis Samuel","WAS","WR","21.1","21.1","1","0","0","0","0","0","0","0","0","9","5","41","2"
"Devin Singletary","HOU","RB","21","21","1","0","0","0","0","26","121","0","0","5","4","49","0"
"Amari Cooper","CLE","WR","20.9","20.9","1","0","0","0","0","0","0","0","0","8","4","109","1"
"Tre Tucker","LV","WR","20.7","20.7","1","0","0","0","0","1","-2","0","0","4","3","59","2"
"Gardner Minshew","IND","QB","20.6","20.6","1","18","215","3","0","2","0","0","0","0","0","0","0"
"Derek Carr","NO","QB","20.3","20.3","1","23","218","3","0","3","-4","0","0","0","0","0","0"
"Kenneth Walker III","SEA","RB","20.2","20.2","1","0","0","0","0","19","86","1","0","3","3","26","0"
"Trey McBride","ARI","TE","20.2","20.2","1","0","0","0","0","0","0","0","0","11","10","102","0"
"Clyde Edwards-Helaire","KC","RB","20.1","20.1","1","0","0","0","0","13","37","0","0","4","4","64","1"
"Hunter Henry","NE","TE","19.6","19.6","1","0","0","0","0","0","0","0","0","9","7","66","1"
"Jake Browning","CIN","QB","19","19","1","29","324","2","1","4","0","0","0","0","0","0","0"
"CeeDee Lamb","DAL","WR","18.6","18.6","1","0","0","0","0","1","3","1","0","10","7","53","0"
"Lamar Jackson","BAL","QB","18.5","18.5","1","14","171","1","1","12","97","0","0","0","0","0","0"
"Matthew Stafford","LAR","QB","18.5","18.5","1","25","258","2","0","1","2","0","0","0","0","0","0"
"Raheem Mostert","MIA","RB","18.3","18.3","1","0","0","0","0","15","42","2","0","2","2","1","0"
"Isaiah Likely","BAL","TE","18","18","1","0","0","0","0","0","0","0","0","6","5","70","1"
"James Conner","ARI","RB","17.9","17.9","1","0","0","0","0","14","86","1","0","3","3","3","0"
"Russell Wilson","DEN","QB","17.5","17.5","1","18","223","1","0","7","6","1","1","0","0","0","0"
"Zamir White","LV","RB","17.5","17.5","1","0","0","0","0","17","69","1","0","4","3","16","0"
"Jordan Love","GB","QB","17.5","17.5","1","29","284","2","0","2","1","0","1","0","0","0","0"
"Easton Stick","LAC","QB","17.4","17.4","1","23","257","3","1","2","11","0","2","0","0","0","0"
"Jayden Reed","GB","WR","17.2","17.2","1","0","0","0","0","0","0","0","0","8","6","52","1"
"Nick Mullens","MIN","QB","17.1","17.1","1","26","303","2","2","6","10","0","0","0","0","0","0"
"Joe Flacco","CLE","QB","16.9","16.9","1","28","374","2","3","1","-1","0","0","0","0","0","0"
"Diontae Johnson","PIT","WR","16.2","16.2","1","0","0","0","0","0","0","0","0","6","4","62","1"
"Josh Allen","BUF","QB","16.2","16.2","1","7","94","1","0","8","24","1","0","0","0","0","0"
"Alvin Kamara","NO","RB","16","16","1","0","0","0","0","16","66","0","0","5","5","44","0"
"Mike Evans","TB","WR","15.7","15.7","1","0","0","0","0","0","0","0","0","6","4","57","1"
"Patrick Mahomes","KC","QB","15.7","15.7","1","27","305","2","2","3","-5","0","0","0","0","0","0"
"Dontayvion Wicks","GB","WR","15.7","15.7","1","0","0","0","0","0","0","0","0","7","6","97","0"
"Tucker Kraft","GB","TE","15.7","15.7","1","0","0","0","0","0","0","0","0","6","4","57","1"
"Justin Jefferson","MIN","WR","15.4","15.4","1","0","0","0","0","0","0","0","0","10","7","84","0"
"Joe Mixon","CIN","RB","15.1","15.1","1","0","0","0","0","10","47","1","0","3","3","14","0"
"Jamal Agnew","JAX","WR","15","15","1","0","0","0","0","0","0","0","0","2","2","70","1"
"David Moore","TB","WR","14.8","14.8","1","0","0","0","0","0","0","0","0","2","2","68","1"
"Jaxon Smith-Njigba","SEA","WR","14.8","14.8","1","0","0","0","0","0","0","0","0","4","4","48","1"
"Demarcus Robinson","LAR","WR","14.7","14.7","1","0","0","0","0","1","23","0","0","3","2","44","1"
"Trevor Lawrence","JAX","QB","14.7","14.7","1","25","264","1","0","4","41","0","2","0","0","0","0"
"Will Levis","TEN","QB","14.5","14.5","1","17","199","0","1","4","25","1","0","0","0","0","0"
"Elijah Higgins","ARI","TE","14.4","14.4","1","0","0","0","0","0","0","0","0","4","4","44","1"
"Emari Demercado","ARI","RB","14","14","1","0","0","0","0","4","64","1","0","3","1","6","0"
"Gus Edwards","BAL","RB","13.9","13.9","1","0","0","0","0","16","58","1","0","1","1","11","0"
"Michael Mayer","LV","TE","13.9","13.9","1","0","0","0","0","0","0","0","0","5","4","39","1"
"Jacoby Brissett","WAS","QB","13.9","13.9","1","8","124","2","0","2","9","0","0","0","0","0","0"
"Kyler Murray","ARI","QB","13.3","13.3","1","26","211","1","2","6","49","0","0","0","0","0","0"
"Cole Kmet","CHI","TE","13.3","13.3","1","0","0","0","0","0","0","0","0","7","5","23","1"
"Tua Tagovailoa","MIA","QB","13","13","1","21","224","1","0","0","0","0","0","0","0","0","0"
"Mitch Trubisky","PIT","QB","12.9","12.9","1","16","169","1","2","2","1","1","0","0","0","0","0"
"DK Metcalf","SEA","WR","12.8","12.8","1","0","0","0","0","0","0","0","0","6","5","78","0"
"D.J. Montgomery","IND","WR","12.8","12.8","1","0","0","0","0","0","0","0","0","4","2","48","1"
"T.J. Hockenson","MIN","TE","12.3","12.3","1","0","0","0","0","0","0","0","0","7","6","63","0"
"Zack Moss","IND","RB","12.3","12.3","1","0","0","0","0","4","13","0","0","3","3","20","1"
"Chuba Hubbard","CAR","RB","12.3","12.3","1","0","0","0","0","22","87","0","0","2","2","16","0"
"Drew Lock","SEA","QB","12.1","12.1","1","22","208","1","0","1","-2","0","0","0","0","0","0"
"Courtland Sutton","DEN","WR","12.1","12.1","1","0","0","0","0","0","0","0","0","6","5","71","0"
"Jerick McKinnon","KC","RB","12","12","1","1","4","1","0","4","11","0","0","3","3","19","1"
"Juwan Johnson","NO","TE","11.8","11.8","1","0","0","0","0","0","0","0","0","2","2","38","1"
"Michael Pittman Jr.","IND","WR","11.8","11.8","1","0","0","0","0","0","0","0","0","5","4","78","0"
"Jaylen Warren","PIT","RB","11.8","11.8","1","0","0","0","0","10","40","0","0","6","5","28","0"
"Case Keenum","HOU","QB","11.3","11.3","1","23","229","1","1","2","1","0","0","0","0","0","0"
"Jakobi Meyers","LV","WR","11.2","11.2","1","2","12","1","0","0","0","0","0","4","2","32","1"
"Zay Jones","JAX","WR","10.9","10.9","1","0","0","0","0","0","0","0","0","8","5","59","0"
"Aaron Jones","GB","RB","10.9","10.9","1","0","0","0","0","13","53","0","0","4","4","16","0"
"Keaton Mitchell","BAL","RB","10.8","10.8","1","0","0","0","0","9","73","0","0","2","2","15","0"
"Tommy Devito","NYG","QB","10.7","10.7","1","20","177","0","0","4","36","0","0","0","0","0","0"
"Lil'Jordan Humphrey","DEN","WR","10.6","10.6","1","0","0","0","0","0","0","0","0","4","3","16","1"
"A.J. Brown","PHI","WR","10.6","10.6","1","0","0","0","0","0","0","0","0","10","5","56","0"
"Jerry Jeudy","DEN","WR","10.4","10.4","1","0","0","0","0","0","0","0","0","7","3","74","0"
"Ja'Marr Chase","CIN","WR","10.4","10.4","1","0","0","0","0","0","0","0","0","4","4","64","0"
"Jake Ferguson","DAL","TE","10.4","10.4","1","0","0","0","0","0","0","0","0","8","6","44","0"
"Darius Slayton","NYG","WR","10.3","10.3","1","0","0","0","0","0","0","0","0","8","4","63","0"
"Puka Nacua","LAR","WR","10.3","10.3","1","0","0","0","0","2","3","0","0","8","5","50","0"
"Quentin Johnston","LAC","WR","10.3","10.3","1","0","0","0","0","0","0","0","0","3","2","23","1"
"David Montgomery","DET","RB","10.2","10.2","1","0","0","0","0","17","85","0","0","3","2","-3","0"
"Mo Alie-Cox","IND","TE","10.1","10.1","1","0","0","0","0","0","0","0","0","3","2","21","1"
"DeVonta Smith","PHI","WR","10","10","1","0","0","0","0","0","0","0","0","5","5","50","0"
"Roschon Johnson","CHI","RB","10","10","1","0","0","0","0","5","36","0","0","6","4","24","0"
"Tanner Hudson","CIN","TE","9.9","9.9","1","0","0","0","0","0","0","0","0","5","5","49","0"
"Tyler Goodson","IND","RB","9.9","9.9","1","0","0","0","0","11","69","0","0","2","2","10","0"
"Travis Etienne Jr.","JAX","RB","9.9","9.9","1","0","0","0","0","10","31","0","0","6","4","28","0"
"Dalton Schultz","HOU","TE","9.8","9.8","1","0","0","0","0","0","0","0","0","5","4","58","0"
"Justin Fields","CHI","QB","9.6","9.6","1","19","166","1","2","7","30","0","0","0","0","0","0"
"Ezekiel Elliott","NE","RB","9.6","9.6","1","0","0","0","0","11","25","0","0","6","5","21","0"
"D'Andre Swift","PHI","RB","9.5","9.5","1","0","0","0","0","18","74","0","0","3","2","1","0"
"DeVante Parker","NE","WR","9.4","9.4","1","0","0","0","0","0","0","0","0","5","5","44","0"
"Treylon Burks","TEN","WR","9.4","9.4","1","0","0","0","0","1","2","0","0","3","3","62","0"
"Bailey Zappe","NE","QB","9.4","9.4","1","23","180","1","1","1","2","0","0","0","0","0","0"
"DJ Moore","CHI","WR","9.2","9.2","1","0","0","0","0","0","0","0","0","8","4","52","0"
"De'Von Achane","MIA","RB","9.2","9.2","1","0","0","0","0","9","32","0","0","3","3","30","0"
"Cedric Tillman","CLE","WR","9.2","9.2","1","0","0","0","0","0","0","0","0","8","4","52","0"
"Gerald Everett","LAC","TE","9.1","9.1","1","0","0","0","0","0","0","0","0","8","5","41","0"
"Jimmy Graham","NO","TE","8.9","8.9","1","0","0","0","0","0","0","0","0","2","2","9","1"
"Calvin Ridley","JAX","WR","8.9","8.9","1","0","0","0","0","0","0","0","0","12","5","39","0"
"Stefon Diggs","BUF","WR","8.8","8.8","1","0","0","0","0","0","0","0","0","5","4","48","0"
"Trey Sermon","IND","RB","8.8","8.8","1","0","0","0","0","17","88","0","0","0","0","0","0"
"Jameson Williams","DET","WR","8.7","8.7","1","0","0","0","0","0","0","0","0","7","4","47","0"
