"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"CeeDee Lamb","DAL","WR","41","41","1","0","0","0","0","1","12","0","0","14","12","158","2"
"DeAndre Hopkins","TEN","WR","34.8","34.8","1","0","0","0","0","0","0","0","0","6","4","128","3"
"A.J. Brown","PHI","WR","33","33","1","0","0","0","0","0","0","0","0","8","8","130","2"
"Sam Howell","WAS","QB","31","31","1","39","397","4","1","3","11","0","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","29.9","29.9","1","0","0","0","0","26","152","1","0","5","5","37","0"
"Christian McCaffrey","SF","RB","29.8","29.8","1","0","0","0","0","12","54","1","0","7","6","64","1"
"Gus Edwards","BAL","RB","29.4","29.4","1","0","0","0","0","19","80","3","0","2","2","14","0"
"Josh Allen","BUF","QB","29.1","29.1","1","31","324","2","1","7","41","1","0","0","0","0","0"
"Dak Prescott","DAL","QB","28.1","28.1","1","25","304","4","1","4","19","0","0","0","0","0","0"
"Joe Burrow","CIN","QB","27.6","27.6","1","28","283","3","0","6","43","0","0","0","0","0","0"
"Jalen Hurts","PHI","QB","27.4","27.4","1","29","319","4","0","4","6","0","1","0","0","0","0"
"Alvin Kamara","NO","RB","27","27","1","0","0","0","0","17","59","1","0","5","4","51","1"
"Will Levis","TEN","QB","26.6","26.6","1","19","238","4","0","7","11","0","0","0","0","0","0"
"Travis Etienne Jr.","JAX","RB","25.9","25.9","1","0","0","0","0","24","79","0","0","6","3","70","1"
"Trey McBride","ARI","TE","25.5","25.5","1","0","0","0","0","0","0","0","0","14","10","95","1"
"Tyreek Hill","MIA","WR","25.2","25.2","1","0","0","0","0","0","0","0","0","13","8","112","1"
"Ja'Marr Chase","CIN","WR","25.2","25.2","1","0","0","0","0","2","-8","0","0","12","10","100","1"
"Jaylen Waddle","MIA","WR","25.1","25.1","1","0","0","0","0","0","0","0","0","12","7","121","1"
"Jahan Dotson","WAS","WR","24.8","24.8","1","0","0","0","0","0","0","0","0","10","8","108","1"
"Rashid Shaheed","NO","WR","24.3","24.3","1","0","0","0","0","0","0","0","0","3","3","153","1"
"Justin Herbert","LAC","QB","24","24","1","31","298","3","0","1","1","0","0","0","0","0","0"
"George Kittle","SF","TE","23.9","23.9","1","0","0","0","0","0","0","0","0","11","9","149","0"
"Gabe Davis","BUF","WR","23.7","23.7","1","0","0","0","0","0","0","0","0","12","9","87","1"
"Austin Ekeler","LAC","RB","23.3","23.3","1","0","0","0","0","15","29","0","1","8","7","94","1"
"Joshua Dobbs","ARI","QB","22.9","22.9","1","25","208","2","2","6","26","1","0","0","0","0","0"
"DeVonta Smith","PHI","WR","22.9","22.9","1","0","0","0","0","0","0","0","0","7","7","99","1"
"Jamison Crowder","WAS","WR","22.5","22.5","1","0","0","0","0","0","0","0","0","7","7","95","1"
"Tyler Lockett","SEA","WR","22.1","22.1","1","0","0","0","0","0","0","0","0","9","8","81","1"
"Tua Tagovailoa","MIA","QB","21.8","21.8","1","30","324","3","1","6","8","0","1","0","0","0","0"
"Jordan Addison","MIN","WR","21.4","21.4","1","0","0","0","0","1","2","0","0","8","7","82","1"
"Baker Mayfield","TB","QB","21.4","21.4","1","25","237","2","0","3","19","0","0","0","0","0","0"
"Breece Hall","NYJ","RB","21.3","21.3","1","0","0","0","0","12","17","0","0","9","6","76","1"
"T.J. Hockenson","MIN","TE","20.8","20.8","1","0","0","0","0","0","0","0","0","9","6","88","1"
"Taysom Hill","NO","QB","20.1","20.1","1","1","44","0","0","9","63","2","0","1","1","14","0"
"Joe Mixon","CIN","RB","20","20","1","0","0","0","0","16","87","1","0","3","3","23","0"
"Kirk Cousins","MIN","QB","19.9","19.9","1","23","274","2","0","2","9","0","0","0","0","0","0"
"Sam LaPorta","DET","TE","19.7","19.7","1","0","0","0","0","0","0","0","0","10","8","57","1"
"Javonte Williams","DEN","RB","18.8","18.8","1","0","0","0","0","27","85","0","0","3","3","13","1"
"Brock Purdy","SF","QB","18.3","18.3","1","22","365","1","2","6","57","0","1","0","0","0","0"
"Derek Carr","NO","QB","18.3","18.3","1","19","310","2","0","1","-1","0","1","0","0","0","0"
"Michael Pittman Jr.","IND","WR","18","18","1","0","0","0","0","0","0","0","0","13","8","40","1"
"K.J. Osborn","MIN","WR","17.9","17.9","1","0","0","0","0","0","0","0","0","10","8","99","0"
"Cole Kmet","CHI","TE","17.9","17.9","1","0","0","0","0","0","0","0","0","10","10","79","0"
"Rachaad White","TB","RB","17.9","17.9","1","0","0","0","0","9","39","0","0","7","7","70","0"
"Chris Godwin","TB","WR","17.8","17.8","1","0","0","0","0","1","14","0","0","7","5","54","1"
"David Njoku","CLE","TE","17.7","17.7","1","0","0","0","0","0","0","0","0","8","4","77","1"
