"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Deebo Samuel","SF","WR","34","34","1","0","0","0","0","1","1","1","0","9","7","149","1"
"Evan Engram","JAX","TE","32.5","32.5","1","0","0","0","0","0","0","0","0","12","11","95","2"
"Lamar Jackson","BAL","QB","31.6","31.6","1","24","316","3","1","11","70","0","0","0","0","0","0"
"Drake London","ATL","WR","29.2","29.2","1","0","0","0","0","0","0","0","0","11","10","172","0"
"David Njoku","CLE","TE","27.1","27.1","1","0","0","0","0","0","0","0","0","8","6","91","2"
"Ezekiel Elliott","NE","RB","27","27","1","0","0","0","0","22","68","0","0","8","7","72","1"
"DJ Moore","CHI","WR","26.8","26.8","1","0","0","0","0","3","20","1","0","10","6","68","1"
"Breece Hall","NYJ","RB","26.6","26.6","1","0","0","0","0","10","40","0","0","9","8","86","1"
"Cooper Kupp","LAR","WR","25.5","25.5","1","0","0","0","0","0","0","0","0","10","8","115","1"
"DeAndre Hopkins","TEN","WR","25.4","25.4","1","0","0","0","0","0","0","0","0","12","7","124","1"
"Desmond Ridder","ATL","QB","25.4","25.4","1","26","347","1","1","4","15","1","0","0","0","0","0"
"James Cook","BUF","RB","25.1","25.1","1","0","0","0","0","10","58","0","0","5","5","83","1"
"Justin Fields","CHI","QB","24.7","24.7","1","19","223","1","0","12","58","1","0","0","0","0","0"
"Jake Browning","CIN","QB","23.7","23.7","1","18","275","2","1","3","7","1","0","0","0","0","0"
"Matthew Stafford","LAR","QB","23.7","23.7","1","23","294","3","0","1","-1","0","0","0","0","0","0"
"Saquon Barkley","NYG","RB","23.1","23.1","1","0","0","0","0","20","86","2","1","4","3","15","0"
"Raheem Mostert","MIA","RB","23","23","1","0","0","0","0","21","96","2","0","1","1","4","0"
"Joe Mixon","CIN","RB","21.5","21.5","1","0","0","0","0","21","79","1","0","4","3","46","0"
"Rachaad White","TB","RB","21.5","21.5","1","0","0","0","0","25","102","0","0","2","2","33","1"
"Brock Purdy","SF","QB","21.4","21.4","1","19","368","2","1","2","7","0","0","0","0","0","0"
"Austin Ekeler","LAC","RB","21","21","1","0","0","0","0","10","51","1","0","7","5","49","0"
"Bailey Zappe","NE","QB","20.9","20.9","1","19","240","3","1","3","13","0","0","0","0","0","0"
"Mitch Trubisky","PIT","QB","20.6","20.6","1","22","190","1","1","8","30","1","0","0","0","0","0"
"Josh Allen","BUF","QB","20.5","20.5","1","23","233","1","1","10","32","1","0","0","0","0","0"
"Jayden Reed","GB","WR","20.5","20.5","1","0","0","0","0","4","38","1","0","10","8","27","0"
"Joe Flacco","CLE","QB","20.3","20.3","1","26","311","3","1","4","-1","0","1","0","0","0","0"
