"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Josh Allen","BUF","QB","39.7","39.7","1","29","339","2","1","9","81","2","0","0","0","0","0"
"Kyren Williams","LAR","RB","38.4","38.4","1","0","0","0","0","16","143","0","0","6","6","61","2"
"Jalen Hurts","PHI","QB","34.5","34.5","1","18","200","3","1","14","65","2","1","0","0","0","0"
"Dak Prescott","DAL","QB","32.2","32.2","1","22","331","4","0","1","10","0","0","0","0","0","0"
"Christian McCaffrey","SF","RB","30.9","30.9","1","0","0","0","0","19","114","2","0","6","5","25","0"
"C.J. Stroud","HOU","QB","30.9","30.9","1","26","304","2","0","6","47","1","0","0","0","0","0"
"Bijan Robinson","ATL","RB","27.3","27.3","1","0","0","0","0","16","91","1","0","6","3","32","1"
"Jordan Love","GB","QB","26.6","26.6","1","22","268","3","0","3","39","0","0","0","0","0","0"
"Isiah Pacheco","KC","RB","25.9","25.9","1","0","0","0","0","15","55","2","0","5","5","34","0"
"Tyreek Hill","MIA","WR","25.4","25.4","1","0","0","0","0","1","2","0","0","12","9","102","1"
"Mike Evans","TB","WR","25","25","1","0","0","0","0","0","0","0","0","9","6","70","2"
"Rashee Rice","KC","WR","24.7","24.7","1","0","0","0","0","0","0","0","0","10","8","107","1"
"Trevor Lawrence","JAX","QB","24.6","24.6","1","23","364","1","1","2","0","1","0","0","0","0","0"
"DeVonta Smith","PHI","WR","23.6","23.6","1","0","0","0","0","0","0","0","0","8","7","106","1"
"Nico Collins","HOU","WR","23.4","23.4","1","0","0","0","0","0","0","0","0","9","7","104","1"
"Matthew Stafford","LAR","QB","23.4","23.4","1","25","229","4","1","1","2","0","0","0","0","0","0"
"Zay Flowers","BAL","WR","23.2","23.2","1","0","0","0","0","1","37","1","0","8","5","25","1"
"Keenan Allen","LAC","WR","22.6","22.6","1","0","0","0","0","0","0","0","1","16","14","106","0"
"Josh Jacobs","LV","RB","22.5","22.5","1","0","0","0","0","20","110","1","0","6","4","15","0"
"Gabe Davis","BUF","WR","22.5","22.5","1","0","0","0","0","0","0","0","0","12","6","105","1"
"DJ Moore","CHI","WR","22.4","22.4","1","0","0","0","0","0","0","0","0","13","11","114","0"
"Deebo Samuel","SF","WR","22.4","22.4","1","0","0","0","0","4","15","1","0","9","7","79","0"
"Tony Pollard","DAL","RB","22.3","22.3","1","0","0","0","0","13","79","1","0","6","6","24","0"
"Calvin Ridley","JAX","WR","21.9","21.9","1","0","0","0","0","0","0","0","0","6","5","89","1"
"Rhamondre Stevenson","NE","RB","21.7","21.7","1","0","0","0","0","21","98","1","0","5","5","9","0"
"Raheem Mostert","MIA","RB","21.4","21.4","1","0","0","0","0","20","94","2","0","1","0","0","0"
"Jonathan Taylor","IND","RB","21.1","21.1","1","0","0","0","0","15","91","2","0","0","0","0","0"
"Pat Freiermuth","PIT","TE","21","21","1","0","0","0","0","0","0","0","0","11","9","120","0"
"Patrick Mahomes","KC","QB","20.8","20.8","1","27","298","2","0","5","9","0","0","0","0","0","0"
"Michael Pittman Jr.","IND","WR","20.7","20.7","1","0","0","0","0","0","0","0","0","13","10","107","0"
"Derrick Henry","TEN","RB","20.6","20.6","1","0","0","0","0","18","76","2","0","2","1","0","0"
"Kyler Murray","ARI","QB","20.4","20.4","1","27","256","1","0","1","2","1","0","0","0","0","0"
"Christian Watson","GB","WR","20.4","20.4","1","0","0","0","0","0","0","0","0","7","5","94","1"
"Chuba Hubbard","CAR","RB","20.2","20.2","1","0","0","0","0","14","45","1","0","5","5","47","0"
"Jakobi Meyers","LV","WR","20.1","20.1","1","0","0","0","0","1","2","0","0","7","6","79","1"
"Tyler Higbee","LAR","TE","19.9","19.9","1","0","0","0","0","0","0","0","0","5","5","29","2"
"Stefon Diggs","BUF","WR","19.4","19.4","1","0","0","0","0","0","0","0","0","11","6","74","1"
"Jaylen Waddle","MIA","WR","19.4","19.4","1","0","0","0","0","0","0","0","0","8","8","114","0"
"Curtis Samuel","WAS","WR","19","19","1","0","0","0","0","0","0","0","0","12","9","100","0"
"Amon-Ra St. Brown","DET","WR","18.5","18.5","1","0","0","0","0","0","0","0","0","11","9","95","0"
"Chris Olave","NO","WR","18.4","18.4","1","0","0","0","0","0","0","0","0","9","7","114","0"
"Jared Goff","DET","QB","18.2","18.2","1","29","332","2","0","3","9","0","3","0","0","0","0"
"Sam LaPorta","DET","TE","17.7","17.7","1","0","0","0","0","0","0","0","0","8","5","47","1"
"Garrett Wilson","NYJ","WR","17.4","17.4","1","0","0","0","0","0","0","0","0","10","7","44","1"
"CeeDee Lamb","DAL","WR","17.3","17.3","1","0","0","0","0","1","0","0","0","9","4","53","1"
"Sam Howell","WAS","QB","17.3","17.3","1","28","300","0","1","2","13","1","0","0","0","0","0"
