"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Brandon Aiyuk","SF","WR","15.6","15.6","1","0","0","0","0","0","0","0","0","7","5","46","1"
"Demarcus Robinson","LAR","WR","15.5","15.5","1","0","0","0","0","0","0","0","0","5","4","55","1"
"Rashee Rice","KC","WR","14.4","14.4","1","0","0","0","0","0","0","0","0","9","8","64","0"
"Jerome Ford","CLE","RB","14.2","14.2","1","0","0","0","0","9","19","0","0","3","3","33","1"
"Jauan Jennings","SF","WR","13.4","13.4","1","0","0","0","0","0","0","0","0","4","3","44","1"
"Diontae Johnson","PIT","WR","13.3","13.3","1","0","0","0","0","0","0","0","0","5","4","33","1"
"Ezekiel Elliott","NE","RB","13.2","13.2","1","0","0","0","0","17","52","0","0","5","4","40","0"
"Jaxon Smith-Njigba","SEA","WR","13.2","13.2","1","0","0","0","0","0","0","0","0","11","7","62","0"
"Patrick Mahomes","KC","QB","13","13","1","21","210","1","1","4","26","0","0","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","12.9","12.9","1","0","0","0","0","0","0","0","0","6","2","49","1"
"Jonathan Mingo","CAR","WR","12.9","12.9","1","0","0","0","0","0","0","0","0","10","6","69","0"
"Zay Jones","JAX","WR","12.8","12.8","1","0","0","0","0","0","0","0","0","8","5","78","0"
"Tyjae Spears","TEN","RB","12.8","12.8","1","0","0","0","0","16","75","0","0","6","4","13","0"
"Xavier Gipson","NYJ","WR","12.8","12.8","1","0","0","0","0","1","1","0","0","6","5","77","0"
"George Pickens","PIT","WR","12.6","12.6","1","0","0","0","0","0","0","0","0","5","4","86","0"
"David Montgomery","DET","RB","12.5","12.5","1","0","0","0","0","18","56","1","0","2","1","-1","0"
"Elijah Moore","CLE","WR","12.3","12.3","1","0","0","0","0","0","0","0","0","12","4","83","0"
"Raheem Mostert","MIA","RB","12.1","12.1","1","0","0","0","0","11","43","1","0","1","1","8","0"
"Travis Kelce","KC","TE","12.1","12.1","1","0","0","0","0","0","0","0","0","5","4","81","0"
"Taysom Hill","NO","QB","11.9","11.9","1","0","0","0","0","13","59","1","0","2","2","15","0"
"Kyler Murray","ARI","QB","11.8","11.8","1","13","145","1","0","9","20","0","0","0","0","0","0"
"Will Levis","TEN","QB","11.5","11.5","1","16","224","1","0","2","5","0","1","0","0","0","0"
"Antonio Gibson","WAS","RB","11.2","11.2","1","0","0","0","0","10","35","0","0","5","4","37","0"
"Romeo Doubs","GB","WR","11.2","11.2","1","0","0","0","0","0","0","0","0","5","4","72","0"
"Bijan Robinson","ATL","RB","10.9","10.9","1","0","0","0","0","18","53","0","0","5","3","26","0"
"Keenan Allen","LAC","WR","10.8","10.8","1","0","0","0","0","0","0","0","0","9","5","58","0"
"George Kittle","SF","TE","10.8","10.8","1","0","0","0","0","0","0","0","0","6","4","68","0"
"Curtis Samuel","WAS","WR","10.5","10.5","1","0","0","0","0","0","0","0","0","5","4","65","0"
"Breece Hall","NYJ","RB","10.5","10.5","1","0","0","0","0","13","16","0","0","8","6","29","0"
"DeVante Parker","NE","WR","10.4","10.4","1","0","0","0","0","0","0","0","0","9","4","64","0"
"Kylen Granson","IND","TE","10.4","10.4","1","0","0","0","0","1","2","0","0","3","3","72","0"
"Jaylen Waddle","MIA","WR","10.2","10.2","1","0","0","0","0","0","0","0","0","8","5","52","0"
"Quentin Johnston","LAC","WR","10.2","10.2","1","0","0","0","0","0","0","0","0","7","5","52","0"
"Dameon Pierce","HOU","RB","10.1","10.1","1","0","0","0","0","15","41","1","0","0","0","0","0"
"Javonte Williams","DEN","RB","10","10","1","0","0","0","0","13","46","0","0","3","3","24","0"
"Jameson Williams","DET","WR","10","10","1","0","0","0","0","1","19","1","0","1","1","11","0"
"Baker Mayfield","TB","QB","9.9","9.9","1","14","202","1","1","2","-2","0","0","0","0","0","0"
"Najee Harris","PIT","RB","9.7","9.7","1","0","0","0","0","16","63","0","0","3","2","14","0"
