"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Raheem Mostert","MIA","RB","34.2","34.2","1","0","0","0","0","17","115","2","0","3","3","17","1"
"Amon-Ra St. Brown","DET","WR","30.4","30.4","1","0","0","0","0","0","0","0","0","15","12","124","1"
"Adam Thielen","CAR","WR","28.5","28.5","1","0","0","0","0","0","0","0","0","13","11","115","1"
"Tyreek Hill","MIA","WR","28.3","28.3","1","0","0","0","0","0","0","0","0","10","6","163","1"
"Cooper Kupp","LAR","WR","27.8","27.8","1","0","0","0","0","0","0","0","0","9","7","148","1"
"Dak Prescott","DAL","QB","24.9","24.9","1","21","272","1","0","7","40","1","0","0","0","0","0"
"Travis Etienne Jr.","JAX","RB","23.3","23.3","1","0","0","0","0","18","55","2","0","3","3","28","0"
"Tua Tagovailoa","MIA","QB","22.5","22.5","1","21","262","3","0","1","0","0","0","0","0","0","0"
"Jared Goff","DET","QB","22.4","22.4","1","30","353","2","0","2","3","0","0","0","0","0","0"
"Kyren Williams","LAR","RB","21.8","21.8","1","0","0","0","0","20","158","1","0","0","0","0","0"
"Keenan Allen","LAC","WR","21.5","21.5","1","0","0","0","0","0","0","0","0","11","7","85","1"
"Drake London","ATL","WR","21.5","21.5","1","0","0","0","0","0","0","0","0","12","9","125","0"
"Travis Kelce","KC","TE","21.4","21.4","1","0","0","0","0","0","0","0","0","9","9","124","0"
"Breece Hall","NYJ","RB","20.3","20.3","1","0","0","0","0","12","39","1","0","5","5","54","0"
"A.J. Brown","PHI","WR","20.1","20.1","1","0","0","0","0","0","0","0","0","9","7","131","0"
"Stefon Diggs","BUF","WR","20","20","1","0","0","0","0","0","0","0","0","16","10","100","0"
"Michael Pittman Jr.","IND","WR","19.9","19.9","1","0","0","0","0","0","0","0","0","14","9","109","0"
"Jalen Hurts","PHI","QB","19.9","19.9","1","28","280","1","3","8","47","1","0","0","0","0","0"
"Derrick Henry","TEN","RB","19.3","19.3","1","0","0","0","0","12","97","1","0","2","2","16","0"
"Kendrick Bourne","NE","WR","19.3","19.3","1","0","0","0","0","1","4","0","0","11","10","89","0"
"CeeDee Lamb","DAL","WR","18.7","18.7","1","0","0","0","0","0","0","0","0","7","7","117","0"
"Sam Howell","WAS","QB","18.3","18.3","1","14","151","3","0","4","3","0","0","0","0","0","0"
"Rashid Shaheed","NO","WR","18.3","18.3","1","0","0","0","0","2","18","0","0","6","2","85","1"
