"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Dameon Pierce","HOU","RB","14.9","1","0","0","0","0","14","31","1","0","3","3","28","0"
"D'Andre Swift","PHI","RB","14.8","1","0","0","0","0","16","130","0","0","2","1","8","0"
"Joshua Palmer","LAC","WR","14.6","1","0","0","0","0","0","0","0","1","7","4","66","1"
"Donald Parham Jr.","LAC","TE","14.4","1","0","0","0","0","0","0","0","0","2","2","4","2"
"Dak Prescott","DAL","QB","14.4","1","25","249","1","1","3","24","0","0","0","0","0","0"
"Trevor Lawrence","JAX","QB","14.4","1","27","279","1","1","3","12","0","0","0","0","0","0"
"Russell Wilson","DEN","QB","14.2","1","23","306","1","1","0","0","0","0","0","0","0","0"
"Joe Mixon","CIN","RB","14","1","0","0","0","0","19","65","1","0","2","1","5","0"
"Robbie Chosen","MIA","WR","13.8","1","0","0","0","0","0","0","0","0","1","1","68","1"
"T.J. Hockenson","MIN","TE","13.8","1","0","0","0","0","0","0","0","1","11","8","78","0"
"Olamide Zaccheaus","PHI","WR","13.8","1","0","0","0","0","0","0","0","0","3","2","58","1"
"Evan Engram","JAX","TE","13.7","1","0","0","0","0","0","0","0","0","8","7","67","0"
"Josh Downs","IND","WR","13.7","1","0","0","0","0","0","0","0","0","12","8","57","0"
"Rico Dowdle","DAL","RB","13.6","1","0","0","0","0","4","21","0","0","3","3","25","1"
"Mac Jones","NE","QB","13.3","1","15","201","1","0","4","13","0","0","0","0","0","0"
"James Cook","BUF","RB","13.2","1","0","0","0","0","15","98","0","0","3","2","14","0"
"DJ Moore","CHI","WR","13.1","1","0","0","0","0","0","0","0","0","6","3","41","1"
"Jerry Jeudy","DEN","WR","13.1","1","0","0","0","0","0","0","0","0","7","5","81","0"
"Pat Freiermuth","PIT","TE","13.1","1","0","0","0","0","0","0","0","0","4","3","41","1"
"Gardner Minshew","IND","QB","13.1","1","27","227","1","0","0","0","0","0","0","0","0","0"
"Zay Flowers","BAL","WR","13","1","0","0","0","0","1","2","0","0","10","8","48","0"
"Clyde Edwards-Helaire","KC","RB","12.7","1","0","0","0","0","15","55","1","0","1","1","2","0"
"Puka Nacua","LAR","WR","12.2","1","0","0","0","0","0","0","0","0","7","5","72","0"
"Tyler Higbee","LAR","TE","12.1","1","0","0","0","0","0","0","0","0","5","5","71","0"
"Elijah Moore","CLE","WR","11.8","1","0","0","0","0","3","-1","0","1","9","9","49","0"
"George Pickens","PIT","WR","11.5","1","0","0","0","0","0","0","0","0","6","4","75","0"
"Matthew Stafford","LAR","QB","11.5","1","18","269","1","2","1","7","0","0","0","0","0","0"
"Jordan Addison","MIN","WR","11.2","1","0","0","0","0","0","0","0","0","8","6","52","0"
"Michael Thomas","NO","WR","11","1","0","0","0","0","0","0","0","0","9","6","50","0"
"Josh Jacobs","LV","RB","11","1","0","0","0","0","17","62","0","0","5","3","18","0"
"Rashee Rice","KC","WR","10.9","1","0","0","0","0","0","0","0","0","7","5","59","0"
"Luke Musgrave","GB","TE","10.9","1","0","0","0","0","0","0","0","0","8","6","49","0"
"Matt Breida","NYG","RB","10.8","1","0","0","0","0","4","17","1","0","3","3","1","0"
"Justin Fields","CHI","QB","10.7","1","11","99","1","1","11","47","0","0","0","0","0","0"
"K.J. Osborn","MIN","WR","10.6","1","0","0","0","0","0","0","0","0","3","1","36","1"
"Marvin Mims Jr.","DEN","WR","10.6","1","0","0","0","0","1","3","0","0","5","3","73","0"
"Michael Wilson","ARI","WR","10.6","1","0","0","0","0","0","0","0","0","2","2","86","0"
"Ronnie Bell","SF","WR","10.4","1","0","0","0","0","0","0","0","0","2","2","24","1"
"Gabe Davis","BUF","WR","10.3","1","0","0","0","0","1","-2","0","0","4","1","35","1"
"CeeDee Lamb","DAL","WR","10.2","1","0","0","0","0","2","9","0","0","7","4","53","0"
"Terry McLaurin","WAS","WR","10.1","1","0","0","0","0","0","0","0","0","6","6","41","0"
"Baker Mayfield","TB","QB","10","1","15","146","1","1","1","2","0","0","0","0","0","0"
"Bijan Robinson","ATL","RB","10","1","0","0","0","0","10","33","0","0","6","4","27","0"
"Garrett Wilson","NYJ","WR","9.8","1","0","0","0","0","0","0","0","0","9","5","48","0"
"Jake Ferguson","DAL","TE","9.8","1","0","0","0","0","0","0","0","0","7","5","48","0"
"Ezekiel Elliott","NE","RB","9.7","1","0","0","0","0","16","80","0","0","1","1","7","0"
"Kalif Raymond","DET","WR","9.5","1","0","0","0","0","0","0","0","0","6","4","55","0"
"Brevin Jordan","HOU","TE","9.3","1","0","0","0","0","0","0","0","0","2","2","13","1"
"Jayden Reed","GB","WR","9.3","1","0","0","0","0","0","0","0","0","7","3","63","0"
"Tony Jones Jr.","NO","RB","9.2","1","0","0","0","0","8","31","0","0","4","4","21","0"
"Jahmyr Gibbs","DET","RB","9.2","1","0","0","0","0","17","80","0","0","2","1","2","0"
"Latavius Murray","BUF","RB","9.1","1","0","0","0","0","5","15","1","0","1","1","6","0"
"Dallas Goedert","PHI","TE","9.1","1","0","0","0","0","0","0","0","0","7","5","41","0"
"Gerald Everett","LAC","TE","9","1","0","0","0","0","0","0","0","0","6","6","30","0"
"Tyler Boyd","CIN","WR","8.9","1","0","0","0","0","0","0","0","0","9","5","39","0"
"Jonnu Smith","ATL","TE","8.7","1","0","0","0","0","0","0","0","0","8","5","37","0"
"Kyle Pitts","ATL","TE","8.7","1","0","0","0","0","1","-4","0","0","9","5","41","0"
"Kendrick Bourne","NE","WR","8.6","1","0","0","0","0","0","0","0","0","5","4","46","0"
"Javonte Williams","DEN","RB","8.5","1","0","0","0","0","11","42","0","0","3","2","23","0"
"Terrace Marshall Jr.","CAR","WR","8.5","1","0","0","0","0","0","0","0","0","8","5","35","0"
"Kyren Williams","LAR","RB","8.5","1","0","0","0","0","10","38","0","0","7","2","27","0"
"Dontayvion Wicks","GB","WR","8.5","1","0","0","0","0","0","0","0","0","6","4","45","0"
"Tyler Lockett","SEA","WR","8.4","1","0","0","0","0","0","0","0","0","7","3","34","0"
"Josh Oliver","MIN","TE","8.4","1","0","0","0","0","0","0","0","0","2","2","4","1"
"Parris Campbell","NYG","WR","8.4","1","0","0","0","0","0","0","0","0","6","6","24","0"
"Chris Godwin","TB","WR","8.2","1","0","0","0","0","0","0","0","0","5","3","32","0"
"Skyy Moore","KC","WR","8.2","1","0","0","0","0","0","0","0","0","6","4","42","0"
"Jaylen Warren","PIT","RB","8.2","1","0","0","0","0","8","29","0","0","4","3","23","0"
"Joe Burrow","CIN","QB","8.2","1","26","259","0","1","3","-2","0","0","0","0","0","0"
"Derek Carr","NO","QB","8.1","1","13","103","1","0","0","0","0","0","0","0","0","0"
"Noah Fant","SEA","TE","8.1","1","0","0","0","0","0","0","0","0","5","4","41","0"
"Nelson Agholor","BAL","WR","7.9","1","0","0","0","0","0","0","0","0","4","4","39","0"
"Donovan Peoples-Jones","CLE","WR","7.9","1","0","0","0","0","0","0","0","0","4","3","49","0"
"Jimmy Graham","NO","TE","7.8","1","0","0","0","0","0","0","0","0","1","1","8","1"
"DeAndre Hopkins","TEN","WR","7.8","1","0","0","0","0","0","0","0","0","7","3","48","0"
"Melvin Gordon III","BAL","RB","7.5","1","0","0","0","0","10","32","0","0","2","2","23","0"
"Mark Andrews","BAL","TE","7.5","1","0","0","0","0","0","0","0","0","5","4","35","0"
"Cole Turner","WAS","TE","7.5","1","0","0","0","0","0","0","0","0","7","4","35","0"
"Jake Bobo","SEA","WR","7.5","1","0","0","0","0","0","0","0","0","2","1","5","1"
"Curtis Samuel","WAS","WR","7.4","1","0","0","0","0","0","0","0","0","4","2","54","0"
"Elijah Mitchell","SF","RB","7.4","1","0","0","0","0","11","42","0","0","3","3","2","0"
"Alec Pierce","IND","WR","7.3","1","0","0","0","0","0","0","0","0","7","3","43","0"
"Rhamondre Stevenson","NE","RB","7.2","1","0","0","0","0","19","59","0","0","4","1","3","0"
"Rachaad White","TB","RB","7.2","1","0","0","0","0","14","38","0","1","3","3","24","0"
"Justin Watson","KC","WR","7.1","1","0","0","0","0","0","0","0","0","3","2","51","0"
"Calvin Ridley","JAX","WR","7","1","0","0","0","0","0","0","0","0","7","3","40","0"
"Brian Robinson Jr.","WAS","RB","7","1","0","0","0","0","10","70","0","0","0","0","0","0"
"Tank Bigsby","JAX","RB","7","1","0","0","0","0","2","10","1","0","1","0","0","0"
"Jamal Agnew","JAX","WR","6.9","1","0","0","0","0","0","0","0","1","5","4","49","0"
"Allen Lazard","NYJ","WR","6.9","1","0","0","0","0","0","0","0","0","5","3","39","0"
"Roschon Johnson","CHI","RB","6.9","1","0","0","0","0","8","38","0","0","2","2","11","0"
"DeVonta Smith","PHI","WR","6.8","1","0","0","0","0","0","0","0","0","5","4","28","0"
"Colby Parkinson","SEA","TE","6.8","1","0","0","0","0","0","0","0","0","4","3","38","0"
"Chris Brooks","MIA","RB","6.6","1","0","0","0","0","9","66","0","0","0","0","0","0"
"Mike White","MIA","QB","6.6","1","2","67","1","0","1","-1","0","0","0","0","0","0"
"Devin Singletary","HOU","RB","6.5","1","0","0","0","0","9","41","0","0","2","2","4","0"
"Najee Harris","PIT","RB","6.5","1","0","0","0","0","19","65","0","0","1","0","0","0"
"Robert Woods","HOU","WR","6.4","1","0","0","0","0","0","0","0","0","6","3","34","0"
"Allen Robinson II","PIT","WR","6.4","1","0","0","0","0","0","0","0","0","4","4","24","0"
"Zach Wilson","NYJ","QB","6.4","1","18","157","0","0","1","1","0","0","0","0","0","0"
"Desmond Ridder","ATL","QB","6.3","1","21","201","0","0","2","3","0","1","0","0","0","0"
"Darius Slayton","NYG","WR","6.2","1","0","0","0","0","0","0","0","0","6","3","32","0"
"Chris Moore","TEN","WR","6.1","1","0","0","0","0","0","0","0","0","3","2","41","0"
"Nick Bawden","NYJ","RB","6.1","1","0","0","0","0","1","1","1","0","0","0","0","0"
"Wan'Dale Robinson","NYG","WR","6.1","1","0","0","0","0","0","0","0","0","5","4","21","0"
"David Njoku","CLE","TE","6","1","0","0","0","0","0","0","0","0","4","4","20","0"
"Van Jefferson","LAR","WR","6","1","0","0","0","0","1","4","0","0","3","1","46","0"
"Dalvin Cook","NYJ","RB","5.9","1","0","0","0","0","8","18","0","0","3","3","11","0"
"Patrick Taylor","GB","RB","5.9","1","0","0","0","0","3","6","0","0","4","3","23","0"
"Kenneth Gainwell","PHI","RB","5.8","1","0","0","0","0","14","43","0","0","2","1","5","0"
"Tyler Conklin","NYJ","TE","5.6","1","0","0","0","0","0","0","0","0","5","3","26","0"
"Gary Brightwell","NYG","RB","5.6","1","0","0","0","0","4","5","0","0","3","2","31","0"
"Kareem Hunt","CLE","RB","5.5","1","0","0","0","0","5","13","0","0","3","2","22","0"
"Zach Charbonnet","SEA","RB","5.5","1","0","0","0","0","9","46","0","0","2","1","-1","0"
"Nico Collins","HOU","WR","5.4","1","0","0","0","0","0","0","0","0","3","2","34","0"
"Braxton Berrios","MIA","WR","5.3","1","0","0","0","0","0","0","0","0","2","2","33","0"
"Gus Edwards","BAL","RB","5.1","1","0","0","0","0","11","51","0","0","0","0","0","0"
"Jauan Jennings","SF","WR","5.1","1","0","0","0","0","0","0","0","0","3","2","31","0"
"Drake London","ATL","WR","5.1","1","0","0","0","0","0","0","0","0","6","2","31","0"
"Jonathan Mingo","CAR","WR","5.1","1","0","0","0","0","0","0","0","0","6","3","21","0"
"Darren Waller","NYG","TE","5","1","0","0","0","0","0","0","0","0","7","3","20","0"
"Tanner Hudson","CIN","TE","5","1","0","0","0","0","0","0","0","0","4","2","30","0"
"Tyler Allgeier","ATL","RB","4.9","1","0","0","0","0","7","12","0","0","3","2","17","0"
"Tyjae Spears","TEN","RB","4.9","1","0","0","0","0","4","6","0","0","4","4","3","0"
"Marquez Valdes-Scantling","KC","WR","4.7","1","0","0","0","0","0","0","0","0","2","1","37","0"
"Samaje Perine","DEN","RB","4.4","1","0","0","0","0","3","9","0","0","3","2","15","0"
"Kendre Miller","NO","RB","4.4","1","0","0","0","0","9","34","0","0","1","1","0","0"
"Cole Kmet","CHI","TE","4.2","1","0","0","0","0","0","0","0","0","2","2","22","0"
"Ryan Tannehill","TEN","QB","4.2","1","13","104","0","0","0","0","0","0","0","0","0","0"
"Ty Chandler","MIN","RB","4.1","1","0","0","0","0","3","27","0","0","2","1","4","0"
"Tee Higgins","CIN","WR","4.1","1","0","0","0","0","0","0","0","0","8","2","21","0"
"Jahan Dotson","WAS","WR","4.1","1","0","0","0","0","0","0","0","0","4","2","21","0"
"Jameis Winston","NO","QB","4","1","10","101","0","0","0","0","0","0","0","0","0","0"
"Daniel Jones","NYG","QB","4","1","22","137","0","1","2","5","0","0","0","0","0","0"
"DeVante Parker","NE","WR","3.9","1","0","0","0","0","0","0","0","0","3","2","19","0"
"Trent Sherfield","BUF","WR","3.8","1","0","0","0","0","0","0","0","0","3","2","18","0"
"Brandin Cooks","DAL","WR","3.7","1","0","0","0","0","0","0","0","0","7","2","17","0"
"Hunter Henry","NE","TE","3.7","1","0","0","0","0","0","0","0","0","5","2","17","0"
"Hunter Renfrow","LV","WR","3.7","1","0","0","0","0","0","0","0","0","2","2","17","0"
"Chigoziem Okonkwo","TEN","TE","3.7","1","0","0","0","0","0","0","0","0","4","3","7","0"
"Breece Hall","NYJ","RB","3.7","1","0","0","0","0","12","18","0","0","2","1","9","0"
"Ameer Abdullah","LV","RB","3.6","1","0","0","0","0","0","0","0","0","3","2","16","0"
"Khalil Herbert","CHI","RB","3.5","1","0","0","0","0","7","31","0","1","2","2","4","0"
"Antonio Gibson","WAS","RB","3.4","1","0","0","0","0","2","17","0","1","5","3","7","0"
"Mack Hollins","ATL","WR","3.3","1","0","0","0","0","0","0","0","0","4","1","23","0"
"Deonte Harty","BUF","WR","3.3","1","0","0","0","0","2","-2","0","0","3","2","15","0"
"AJ Dillon","GB","RB","3.3","1","0","0","0","0","11","33","0","0","0","0","0","0"
"John Metchie III","HOU","WR","3.3","1","0","0","0","0","0","0","0","0","2","2","13","0"
"D'Ernest Johnson","JAX","RB","3.2","1","0","0","0","0","3","6","0","0","2","2","6","0"
"Juwan Johnson","NO","TE","3.2","1","0","0","0","0","0","0","0","0","4","2","12","0"
"John Bates","WAS","TE","3.2","1","0","0","0","0","0","0","0","0","2","2","12","0"
"Brandon Johnson","DEN","WR","3.2","1","0","0","0","0","0","0","0","0","3","2","12","0"
"Kenyan Drake","BAL","RB","3.1","1","0","0","0","0","1","0","0","1","3","2","31","0"
"Trey Sermon","IND","RB","3.1","1","0","0","0","0","5","17","0","0","2","1","4","0"
"Tim Jones","JAX","WR","3.1","1","0","0","0","0","0","0","0","0","3","2","11","0"
"Keaontay Ingram","ARI","RB","3.1","1","0","0","0","0","5","13","0","0","1","1","8","0"
"Hunter Luepke","DAL","RB","3.1","1","0","0","0","0","1","9","0","0","1","1","12","0"
"Mitchell Wilcox","CIN","TE","3","1","0","0","0","0","0","0","0","0","3","2","10","0"
"Isaiah Likely","BAL","TE","3","1","0","0","0","0","0","0","0","0","2","1","20","0"
"Demario Douglas","NE","WR","3","1","0","0","0","0","1","5","0","0","3","1","15","0"
"Quentin Johnston","LAC","WR","3","1","0","0","0","0","0","0","0","0","3","2","10","0"
"Kylen Granson","IND","TE","2.9","1","0","0","0","0","0","0","0","0","4","2","9","0"
"Mike Gesicki","NE","TE","2.8","1","0","0","0","0","0","0","0","0","1","1","18","0"
"Joshua Kelley","LAC","RB","2.7","1","0","0","0","0","11","12","0","0","1","1","5","0"
"Pierre Strong Jr.","CLE","RB","2.7","1","0","0","0","0","6","27","0","0","0","0","0","0"
"Brenton Strange","JAX","TE","2.7","1","0","0","0","0","0","0","0","0","2","2","7","0"
"Zach Ertz","ARI","TE","2.6","1","0","0","0","0","0","0","0","0","2","2","6","0"
"DeAndre Carter","LV","WR","2.6","1","0","0","0","0","0","0","0","0","1","1","16","0"
"Cade Otton","TB","TE","2.6","1","0","0","0","0","0","0","0","0","2","1","16","0"
"Deven Thompkins","TB","WR","2.6","1","0","0","0","0","0","0","0","0","4","2","6","0"
"Durham Smythe","MIA","TE","2.5","1","0","0","0","0","0","0","0","0","1","1","15","0"
"KhaDarel Hodge","ATL","WR","2.5","1","0","0","0","0","0","0","0","0","1","1","15","0"
"Chase Claypool","CHI","WR","2.5","1","0","0","0","0","0","0","0","0","4","1","15","0"
"Tommy Tremble","CAR","TE","2.5","1","0","0","0","0","0","0","0","0","1","1","15","0"
"Chuba Hubbard","CAR","RB","2.4","1","0","0","0","0","1","2","0","0","3","2","2","0"
"River Cracraft","MIA","WR","2.3","1","0","0","0","0","0","0","0","0","1","1","13","0"
"Dalton Kincaid","BUF","TE","2.3","1","0","0","0","0","0","0","0","0","2","2","3","0"
"Randall Cobb","NYJ","WR","2.2","1","0","0","0","0","0","0","0","0","2","1","12","0"
"Emanuel Wilson","GB","RB","2.2","1","0","0","0","0","2","6","0","0","1","1","6","0"
"Hayden Hurst","CAR","TE","2.1","1","0","0","0","0","0","0","0","0","3","1","11","0"
"Dawson Knox","BUF","TE","2.1","1","0","0","0","0","0","0","0","0","3","1","11","0"
"Drew Ogletree","IND","TE","2.1","1","0","0","0","0","0","0","0","0","2","1","11","0"
"Nate Adkins","DEN","TE","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"MyCole Pruitt","ATL","TE","2","1","0","0","0","0","0","0","0","0","1","1","10","0"
"Derrick Henry","TEN","RB","2","1","0","0","0","0","11","20","0","0","0","0","0","0"
"Michael Mayer","LV","TE","2","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Jaxon Smith-Njigba","SEA","WR","2","1","0","0","0","0","0","0","0","0","3","1","10","0"
"Samori Toure","GB","WR","2","1","0","0","0","0","0","0","0","0","3","0","0","0"
"C.J. Uzomah","NYJ","TE","1.9","1","0","0","0","0","0","0","0","0","1","1","9","0"
"Dalton Schultz","HOU","TE","1.9","1","0","0","0","0","0","0","0","0","3","1","9","0"
"Noah Gray","KC","TE","1.9","1","0","0","0","0","0","0","0","0","2","1","9","0"
"Ian Thomas","CAR","TE","1.8","1","0","0","0","0","0","0","0","0","1","1","8","0"
"Daniel Bellinger","NYG","TE","1.8","1","0","0","0","0","0","0","0","0","1","1","8","0"
"Trey Palmer","TB","WR","1.8","1","0","0","0","0","0","0","0","0","1","1","8","0"
"C.J. Ham","MIN","RB","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Drew Sample","CIN","TE","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Laviska Shenault Jr.","CAR","WR","1.7","1","0","0","0","0","2","7","0","0","1","1","0","0"
"Rashod Bateman","BAL","WR","1.6","1","0","0","0","0","0","0","0","0","3","1","6","0"
"Jack Stoll","PHI","TE","1.6","1","0","0","0","0","0","0","0","0","2","1","6","0"
"Charlie Jones","CIN","WR","1.6","1","0","0","0","0","0","0","0","0","2","1","6","0"
"Tyler Scott","CHI","WR","1.6","1","0","0","0","0","0","0","0","0","3","1","6","0"
"JuJu Smith-Schuster","NE","WR","1.5","1","0","0","0","0","0","0","0","0","3","1","5","0"
"Brandon Powell","MIN","WR","1.5","1","0","0","0","0","0","0","0","0","1","1","5","0"
"Damien Harris","BUF","RB","1.5","1","0","0","0","0","5","15","0","0","0","0","0","0"
"Craig Reynolds","DET","RB","1.5","1","0","0","0","0","4","15","0","0","0","0","0","0"
"DeeJay Dallas","SEA","RB","1.5","1","0","0","0","0","2","7","0","0","1","1","-2","0"
"Treylon Burks","TEN","WR","1.5","1","0","0","0","0","0","0","0","0","6","1","5","0"
"Khalil Shakir","BUF","WR","1.5","1","0","0","0","0","0","0","0","0","1","1","5","0"
"Jaleel McLaughlin","DEN","RB","1.5","1","0","0","0","0","5","15","0","0","0","0","0","0"
"Luke Farrell","JAX","TE","1.4","1","0","0","0","0","0","0","0","0","1","1","4","0"
"Isaiah McKenzie","IND","WR","1.3","1","0","0","0","0","0","0","0","0","1","1","3","0"
"Peyton Hendershot","DAL","TE","1.3","1","0","0","0","0","0","0","0","0","1","1","3","0"
"Michael Carter","NYJ","RB","1.3","1","0","0","0","0","0","0","0","0","1","1","3","0"
"Ben Skowronek","LAR","WR","1.3","1","0","0","0","0","0","0","0","0","1","1","3","0"
"Zonovan Knight","DET","RB","1.3","1","0","0","0","0","3","13","0","0","0","0","0","0"
"Derius Davis","LAC","WR","1.3","1","0","0","0","0","0","0","0","0","1","1","3","0"
"Taysom Hill","NO","QB","1.2","1","0","0","0","0","4","12","0","0","1","1","9","0"
"Trey McBride","ARI","TE","1.2","1","0","0","0","0","0","0","0","0","1","1","2","0"
"Jordan Mason","SF","RB","1.1","1","0","0","0","0","3","11","0","0","0","0","0","0"
"Kadarius Toney","KC","WR","0.9","1","0","0","0","0","0","0","0","0","1","1","-1","0"
"Isaiah Spiller","LAC","RB","0.7","1","0","0","0","0","2","7","0","0","0","0","0","0"
"Sam Howell","WAS","QB","0.6","1","19","170","0","4","1","18","0","0","0","0","0","0"
"Trayveon Williams","CIN","RB","0.4","1","0","0","0","0","1","4","0","0","2","0","0","0"
"Harrison Bryant","CLE","TE","0.4","1","0","0","0","0","2","4","0","0","0","0","0","0"
"C.J. Beathard","JAX","QB","0.4","1","2","9","0","0","0","0","0","0","0","0","0","0"
"Kyle Juszczyk","SF","RB","0.3","1","0","0","0","0","1","3","0","0","0","0","0","0"
"Tyrod Taylor","NYG","QB","0.2","1","0","0","0","0","1","2","0","0","0","0","0","0"
"Emari Demercado","ARI","RB","0.2","1","0","0","0","0","2","2","0","0","0","0","0","0"
"Marquise Goodwin","CLE","WR","0.1","1","0","0","0","0","1","1","0","0","0","0","0","0"
