"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"De'Von Achane","MIA","RB","51.3","1","0","0","0","0","18","203","2","0","4","4","30","2"
"Raheem Mostert","MIA","RB","45.2","1","0","0","0","0","13","82","3","0","7","7","60","1"
"Davante Adams","LV","WR","42.2","1","0","0","0","0","0","0","0","0","20","13","172","2"
"Keenan Allen","LAC","WR","39.5","1","1","49","1","0","0","0","0","0","20","18","215","0"
"Adam Thielen","CAR","WR","31.5","1","0","0","0","0","0","0","0","0","14","11","145","1"
"Tyreek Hill","MIA","WR","30.7","1","0","0","0","0","0","0","0","0","11","9","157","1"
"Kenneth Walker III","SEA","RB","30.6","1","0","0","0","0","18","97","2","0","3","3","59","0"
"Justin Herbert","LAC","QB","29.3","1","40","405","3","0","2","11","0","0","0","0","0","0"
"Tua Tagovailoa","MIA","QB","28.4","1","23","309","4","0","0","0","0","0","0","0","0","0"
"Lamar Jackson","BAL","QB","28.2","1","22","202","0","0","14","101","2","1","0","0","0","0"
"Justin Jefferson","MIN","WR","27.9","1","0","0","0","0","0","0","0","0","13","7","149","1"
"Ja'Marr Chase","CIN","WR","26.1","1","0","0","0","0","0","0","0","0","15","12","141","0"
"Patrick Mahomes","KC","QB","25.7","1","24","272","3","0","3","28","0","0","0","0","0","0"
"Kirk Cousins","MIN","QB","25.7","1","32","367","3","1","1","10","0","0","0","0","0","0"
"Tank Dell","HOU","WR","25.5","1","0","0","0","0","0","0","0","0","7","5","145","1"
"Mike Williams","LAC","WR","25.1","1","0","0","0","0","0","0","0","0","8","7","121","1"
"Deebo Samuel","SF","WR","25.1","1","0","0","0","0","1","2","0","0","12","6","129","1"
"Amari Cooper","CLE","WR","24.6","1","0","0","0","0","0","0","0","0","8","7","116","1"
"Jordan Love","GB","QB","24.3","1","22","259","1","1","9","39","1","0","0","0","0","0"
"Andy Dalton","CAR","QB","23.5","1","34","361","2","0","2","11","0","0","0","0","0","0"
"Christian McCaffrey","SF","RB","22.9","1","0","0","0","0","18","85","1","0","5","5","34","0"
"Zack Moss","IND","RB","22.5","1","0","0","0","0","30","122","0","0","3","2","23","1"
"Sam LaPorta","DET","TE","22.4","1","0","0","0","0","0","0","0","0","11","8","84","1"
"A.J. Brown","PHI","WR","22.1","1","0","0","0","0","0","0","0","0","14","9","131","0"
"Josh Allen","BUF","QB","21.3","1","20","218","1","1","3","46","1","0","0","0","0","0"
"Deshaun Watson","CLE","QB","21.2","1","27","289","2","0","4","16","0","0","0","0","0","0"
"C.J. Stroud","HOU","QB","20.6","1","20","280","2","0","3","14","0","0","0","0","0","0"
"Brock Purdy","SF","QB","20.3","1","25","310","2","0","4","-1","0","0","0","0","0","0"
"Travis Kelce","KC","TE","19.9","1","0","0","0","0","0","0","0","0","8","7","69","1"
"Jalen Hurts","PHI","QB","19.9","1","23","277","1","2","10","28","1","0","0","0","0","0"
"James Conner","ARI","RB","19.6","1","0","0","0","0","14","98","1","0","2","2","18","0"
"Amon-Ra St. Brown","DET","WR","19.6","1","0","0","0","0","1","4","0","0","12","9","102","0"
"Stefon Diggs","BUF","WR","19.1","1","0","0","0","0","0","0","0","0","12","8","111","0"
"Courtland Sutton","DEN","WR","19.1","1","0","0","0","0","0","0","0","2","11","8","91","1"
"Jerome Ford","CLE","RB","19.1","1","0","0","0","0","10","18","1","0","3","2","33","1"
"DJ Chark Jr.","CAR","WR","18.6","1","0","0","0","0","0","0","0","0","11","4","86","1"
"Kenny Pickett","PIT","QB","18.5","1","16","235","2","0","3","11","0","0","0","0","0","0"
"Chris Olave","NO","WR","18.4","1","0","0","0","0","0","0","0","0","11","8","104","0"
"Romeo Doubs","GB","WR","18.3","1","0","0","0","0","0","0","0","0","12","5","73","1"
"Jared Goff","DET","QB","18","1","22","243","1","1","5","3","1","0","0","0","0","0"
"Jerick McKinnon","KC","RB","17.8","1","0","0","0","0","2","9","0","0","3","3","19","2"
"Travis Etienne Jr.","JAX","RB","17.8","1","0","0","0","0","19","88","0","0","5","4","50","0"
"Jimmy Garoppolo","LV","QB","17.7","1","28","324","2","3","2","7","0","0","0","0","0","0"
"Alexander Mattison","MIN","RB","17.5","1","0","0","0","0","20","93","0","0","7","5","32","0"
"DK Metcalf","SEA","WR","17.2","1","0","0","0","0","0","0","0","0","8","6","112","0"
"Miles Sanders","CAR","RB","17.2","1","0","0","0","0","9","24","1","0","9","5","38","0"
"Tutu Atwell","LAR","WR","17.2","1","0","0","0","0","1","22","0","0","9","4","50","1"
"Marquise Brown","ARI","WR","17.1","1","0","0","0","0","0","0","0","0","7","5","61","1"
"Joshua Dobbs","ARI","QB","17.1","1","17","189","1","0","6","55","0","0","0","0","0","0"
"Mike Evans","TB","WR","17","1","0","0","0","0","0","0","0","0","10","5","60","1"
"Michael Pittman Jr.","IND","WR","16.7","1","0","0","0","0","0","0","0","0","11","9","77","0"
"Rondale Moore","ARI","WR","16.2","1","0","0","0","0","3","54","1","0","6","4","8","0"
"George Kittle","SF","TE","16","1","0","0","0","0","0","0","0","0","9","7","90","0"
"Isiah Pacheco","KC","RB","15.8","1","0","0","0","0","15","62","1","0","3","2","16","0"
"Jakobi Meyers","LV","WR","15.5","1","0","0","0","0","0","0","0","0","12","7","85","0"
"Geno Smith","SEA","QB","15.4","1","23","296","1","1","4","-4","0","0","0","0","0","0"
"Christian Kirk","JAX","WR","15.4","1","0","0","0","0","0","0","0","0","6","4","54","1"
"Michael Gallup","DAL","WR","15.2","1","0","0","0","0","0","0","0","0","7","6","92","0"
"Calvin Austin III","PIT","WR","15.2","1","0","0","0","0","0","0","0","0","6","2","72","1"
"Pharaoh Brown","NE","TE","15.1","1","0","0","0","0","0","0","0","0","2","2","71","1"
"Tony Pollard","DAL","RB","15.1","1","0","0","0","0","23","122","0","0","3","3","-1","0"
