"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Lamar Jackson","BAL","QB","22.6","22.6","1","23","252","2","0","7","45","0","0","0","0","0","0"
"James Conner","ARI","RB","22.2","22.2","1","0","0","0","0","12","45","0","0","5","5","67","1"
"Zay Flowers","BAL","WR","22.2","22.2","1","0","0","0","0","0","0","0","0","13","9","72","1"
"Bryce Young","CAR","QB","22.2","22.2","1","23","312","2","0","4","17","0","0","0","0","0","0"
"Ezekiel Elliott","NE","RB","21","21","1","0","0","0","0","12","27","0","0","11","9","33","1"
"Matthew Stafford","LAR","QB","20.7","20.7","1","24","328","2","0","1","-4","0","0","0","0","0","0"
"K.J. Osborn","MIN","WR","20.5","20.5","1","0","0","0","0","0","0","0","0","7","5","95","1"
"Kyler Murray","ARI","QB","20.4","20.4","1","24","230","2","0","5","32","0","0","0","0","0","0"
"Demarcus Robinson","LAR","WR","20.2","20.2","1","0","0","0","0","0","0","0","0","6","6","82","1"
"Mason Rudolph","PIT","QB","20","20","1","17","290","2","0","2","4","0","0","0","0","0","0"
"Baker Mayfield","TB","QB","19.8","19.8","1","26","283","2","0","5","5","0","0","0","0","0","0"
"Rachaad White","TB","RB","19.7","19.7","1","0","0","0","0","20","39","1","0","7","6","38","0"
"George Kittle","SF","TE","19.6","19.6","1","0","0","0","0","0","0","0","0","10","7","126","0"
"Chris Rodriguez Jr.","WAS","RB","19.5","19.5","1","0","0","0","0","10","58","2","0","1","1","7","0"
"Saquon Barkley","NYG","RB","19.4","19.4","1","0","0","0","0","23","80","1","0","6","3","4","0"
"Bijan Robinson","ATL","RB","19.2","19.2","1","0","0","0","0","12","72","0","0","10","7","50","0"
"Khalil Herbert","CHI","RB","19.1","19.1","1","0","0","0","0","20","112","1","0","2","1","9","0"
"Tyreek Hill","MIA","WR","18.9","18.9","1","0","0","0","0","0","0","0","0","14","9","99","0"
"Dak Prescott","DAL","QB","18.6","18.6","1","20","253","2","0","5","25","0","1","0","0","0","0"
"Rashid Shaheed","NO","WR","18.4","18.4","1","0","0","0","0","1","4","0","0","9","5","70","1"
"Chigoziem Okonkwo","TEN","TE","18.3","18.3","1","0","0","0","0","0","0","0","0","6","6","63","1"
"Darius Slayton","NYG","WR","18","18","1","0","0","0","0","0","0","0","0","3","3","90","1"
"DeVonta Smith","PHI","WR","17.9","17.9","1","0","0","0","0","0","0","0","0","5","4","79","1"
"Romeo Doubs","GB","WR","17.9","17.9","1","0","0","0","0","0","0","0","0","5","4","79","1"
"Evan Engram","JAX","TE","17.5","17.5","1","0","0","0","0","0","0","0","1","15","10","95","0"
"Brandon Aiyuk","SF","WR","17.3","17.3","1","0","0","0","0","0","0","0","0","7","6","113","0"
"Geno Smith","SEA","QB","17.3","17.3","1","25","227","2","0","1","2","0","0","0","0","0","0"
"Easton Stick","LAC","QB","17.1","17.1","1","23","215","0","0","7","25","1","0","0","0","0","0"
"Derrick Henry","TEN","RB","16.9","16.9","1","1","12","1","0","19","88","1","0","1","1","11","0"
"Davis Mills","HOU","QB","16.9","16.9","1","15","149","2","0","2","9","0","0","0","0","0","0"
"Patrick Mahomes","KC","QB","16.7","16.7","1","27","235","1","1","10","53","0","0","0","0","0","0"
"Nick Mullens","MIN","QB","16.5","16.5","1","22","411","2","4","1","1","0","0","0","0","0","0"
"Bailey Zappe","NE","QB","16.4","16.4","1","25","256","2","0","1","2","0","1","0","0","0","0"
"David Njoku","CLE","TE","16.4","16.4","1","0","0","0","0","0","0","0","0","9","6","44","1"
"Kyren Williams","LAR","RB","16.4","16.4","1","0","0","0","0","22","104","1","0","0","0","0","0"
"Tyler Lockett","SEA","WR","16.1","16.1","1","0","0","0","0","0","0","0","0","11","8","81","0"
"Tyler Allgeier","ATL","RB","15.8","15.8","1","0","0","0","0","9","69","1","0","1","1","19","0"
"Garrett Wilson","NYJ","WR","15.8","15.8","1","0","0","0","0","1","-8","0","0","15","9","76","0"
"Brandon Johnson","DEN","WR","15.7","15.7","1","0","0","0","0","0","0","0","0","5","3","47","1"
"DK Metcalf","SEA","WR","15.6","15.6","1","0","0","0","0","0","0","0","0","6","4","56","1"
"Tua Tagovailoa","MIA","QB","15.5","15.5","1","24","293","1","0","2","-2","0","0","0","0","0","0"
"Adam Thielen","CAR","WR","15.4","15.4","1","0","0","0","0","0","0","0","0","8","6","94","0"
"D'Andre Swift","PHI","RB","15.2","15.2","1","0","0","0","0","20","92","1","0","0","0","0","0"
"David Montgomery","DET","RB","14.9","14.9","1","0","0","0","0","17","55","1","0","2","2","14","0"
"Juwan Johnson","NO","TE","14.8","14.8","1","0","0","0","0","0","0","0","0","7","4","48","1"
"Cole Kmet","CHI","TE","14.7","14.7","1","0","0","0","0","0","0","0","0","5","4","107","0"
"Logan Thomas","WAS","TE","14.6","14.6","1","0","0","0","0","0","0","0","0","6","5","36","1"
"Aaron Jones","GB","RB","14.5","14.5","1","0","0","0","0","21","127","0","0","3","1","8","0"
"Zamir White","LV","RB","14.5","14.5","1","0","0","0","0","22","145","0","0","1","0","0","0"
"Jared Goff","DET","QB","14.3","14.3","1","30","257","1","0","3","0","0","0","0","0","0","0"
"Taylor Heinicke","ATL","QB","14.2","14.2","1","23","229","1","0","2","10","0","0","0","0","0","0"
"Dallas Goedert","PHI","TE","14.1","14.1","1","0","0","0","0","0","0","0","0","9","7","71","0"
"Dalton Schultz","HOU","TE","14.1","14.1","1","0","0","0","0","0","0","0","0","11","8","61","0"
"Gus Edwards","BAL","RB","14","14","1","0","0","0","0","9","31","1","0","1","1","39","0"
"A.J. Brown","PHI","WR","14","14","1","0","0","0","0","0","0","0","0","11","6","80","0"
"Kyle Pitts","ATL","TE","13.9","13.9","1","0","0","0","0","0","0","0","0","4","3","49","1"
"Chris Godwin","TB","WR","13.9","13.9","1","0","0","0","0","1","1","0","0","11","6","78","0"
"Justin Watson","KC","WR","13.8","13.8","1","0","0","0","0","0","0","0","0","6","4","38","1"
"Nico Collins","HOU","WR","13.8","13.8","1","0","0","0","0","0","0","0","0","6","4","18","1"
"Najee Harris","PIT","RB","13.8","13.8","1","0","0","0","0","19","78","1","0","0","0","0","0"
"Jake Browning","CIN","QB","13.4","13.4","1","28","335","1","3","1","0","0","0","0","0","0","0"
"Lucas Krull","DEN","TE","12.8","12.8","1","0","0","0","0","0","0","0","0","5","4","28","1"
"Greg Dortch","ARI","WR","12.5","12.5","1","0","0","0","0","0","0","0","0","5","2","45","1"
"Demario Douglas","NE","WR","12.4","12.4","1","0","0","0","0","0","0","0","0","8","5","74","0"
"Chuba Hubbard","CAR","RB","12.1","12.1","1","0","0","0","0","16","43","1","0","1","1","8","0"
"Ihmir Smith-Marsette","CAR","WR","12.1","12.1","1","0","0","0","0","2","33","1","0","1","1","18","0"
"Jaxon Smith-Njigba","SEA","WR","12.1","12.1","1","0","0","0","0","0","0","0","0","7","6","61","0"
"Raheem Mostert","MIA","RB","12","12","1","0","0","0","0","11","46","0","0","1","1","4","1"
"Emari Demercado","ARI","RB","12","12","1","0","0","0","0","2","10","0","0","8","7","40","0"
"Rashee Rice","KC","WR","11.7","11.7","1","0","0","0","0","0","0","0","0","12","6","57","0"
"Tyjae Spears","TEN","RB","11.7","11.7","1","0","0","0","0","9","40","0","0","6","5","27","0"
"Austin Ekeler","LAC","RB","11.6","11.6","1","0","0","0","0","15","65","0","0","4","3","21","0"
"Gerald Everett","LAC","TE","11.2","11.2","1","0","0","0","0","0","0","0","0","8","7","42","0"
"Kylen Granson","IND","TE","11.2","11.2","1","0","0","0","0","0","0","0","0","7","5","62","0"
"Tyler Boyd","CIN","WR","10.9","10.9","1","0","0","0","0","0","0","0","0","7","5","59","0"
"Cooper Kupp","LAR","WR","10.9","10.9","1","0","0","0","0","1","-3","0","0","12","6","52","0"
"Javonte Williams","DEN","RB","10.9","10.9","1","0","0","0","0","11","24","1","1","3","3","-5","0"
"Dontayvion Wicks","GB","WR","10.9","10.9","1","0","0","0","0","0","0","0","0","2","2","29","1"
"Kenneth Gainwell","PHI","RB","10.9","10.9","1","0","0","0","0","6","41","0","0","3","3","38","0"
"Colby Parkinson","SEA","TE","10.7","10.7","1","0","0","0","0","0","0","0","0","4","3","17","1"
"Jaleel McLaughlin","DEN","RB","10.7","10.7","1","0","0","0","0","6","37","0","0","5","4","30","0"
"Durham Smythe","MIA","TE","10.6","10.6","1","0","0","0","0","0","0","0","0","5","5","56","0"
"Isiah Pacheco","KC","RB","10.6","10.6","1","0","0","0","0","11","26","1","1","4","4","0","0"
"DeVante Parker","NE","WR","10.5","10.5","1","0","0","0","0","0","0","0","0","5","4","65","0"
"A.T. Perry","NO","WR","10.5","10.5","1","0","0","0","0","0","0","0","0","1","1","35","1"
"Trevor Siemian","NYJ","QB","10.5","10.5","1","27","217","1","1","4","18","0","1","0","0","0","0"
"Jaylen Warren","PIT","RB","10.4","10.4","1","0","0","0","0","8","24","0","0","6","5","30","0"
"Brandin Cooks","DAL","WR","10.3","10.3","1","0","0","0","0","1","9","0","0","2","2","14","1"
"Jonathan Taylor","IND","RB","10.3","10.3","1","0","0","0","0","18","43","1","0","1","0","0","0"
"Antonio Gibson","WAS","RB","10.2","10.2","1","0","0","0","0","9","30","1","0","2","1","2","0"
"Nelson Agholor","BAL","WR","10","10","1","0","0","0","0","0","0","0","0","4","3","10","1"
"Tucker Kraft","GB","TE","10","10","1","0","0","0","0","0","0","0","0","6","4","60","0"
"Tommy Tremble","CAR","TE","9.9","9.9","1","0","0","0","0","0","0","0","0","6","4","59","0"
"Josh Downs","IND","WR","9.9","9.9","1","0","0","0","0","0","0","0","0","9","6","39","0"
"T.J. Hockenson","MIN","TE","9.8","9.8","1","0","0","0","0","0","0","0","0","4","4","58","0"
"Ryan Tannehill","TEN","QB","9.8","9.8","1","18","152","0","0","2","37","0","0","0","0","0","0"
"Joshua Palmer","LAC","WR","9.7","9.7","1","0","0","0","0","0","0","0","0","8","5","47","0"
"Kareem Hunt","CLE","RB","9.6","9.6","1","0","0","0","0","7","11","1","0","4","2","5","0"
"Mike Gesicki","NE","TE","9.5","9.5","1","0","0","0","0","0","0","0","0","2","2","15","1"
"Tyrod Taylor","NYG","QB","9.4","9.4","1","7","133","1","1","2","21","0","0","0","0","0","0"
"Travis Kelce","KC","TE","9.4","9.4","1","0","0","0","0","0","0","0","0","7","5","44","0"
"Deebo Samuel","SF","WR","9.4","9.4","1","0","0","0","0","2","7","0","0","12","4","47","0"
"Trevor Lawrence","JAX","QB","9.3","9.3","1","17","211","1","2","4","29","0","1","0","0","0","0"
"Devin Singletary","HOU","RB","9.3","9.3","1","0","0","0","0","9","44","0","0","3","3","19","0"
"Jerome Ford","CLE","RB","9.3","9.3","1","0","0","0","0","15","25","1","0","2","1","-2","0"
"Jameson Williams","DET","WR","9.3","9.3","1","0","0","0","0","0","0","0","0","6","5","43","0"
"Gardner Minshew","IND","QB","9.1","9.1","1","20","201","0","1","4","31","0","0","0","0","0","0"
"Bo Melton","GB","WR","9.1","9.1","1","0","0","0","0","1","7","0","0","6","4","44","0"
"Trey McBride","ARI","TE","9.1","9.1","1","0","0","0","0","0","0","0","0","8","6","31","0"
"Jacoby Brissett","WAS","QB","9","9","1","10","100","1","0","1","10","0","0","0","0","0","0"
"Joe Mixon","CIN","RB","9","9","1","0","0","0","0","11","43","0","0","4","2","7","0"
"Justice Hill","BAL","RB","8.7","8.7","1","0","0","0","0","10","26","0","0","3","3","31","0"
"Will Mallory","IND","TE","8.7","8.7","1","0","0","0","0","0","0","0","0","4","4","47","0"
"Andrew Beck","HOU","RB","8.6","8.6","1","0","0","0","0","0","0","0","0","2","2","6","1"
"Isaiah Likely","BAL","TE","8.6","8.6","1","0","0","0","0","0","0","0","0","4","3","56","0"
"Alvin Kamara","NO","RB","8.5","8.5","1","0","0","0","0","9","19","0","0","6","5","16","0"
"Jake Ferguson","DAL","TE","8.5","8.5","1","0","0","0","0","0","0","0","0","8","4","45","0"
"Richie James","KC","WR","8.4","8.4","1","0","0","0","0","0","0","0","0","3","3","54","0"
"C.J. Beathard","JAX","QB","8.4","8.4","1","11","94","1","0","1","6","0","0","0","0","0","0"
"Brandon Powell","MIN","WR","8.3","8.3","1","0","0","0","0","0","0","0","0","4","3","53","0"
"Daniel Bellinger","NYG","TE","8.3","8.3","1","0","0","0","0","0","0","0","0","5","4","43","0"
"Roschon Johnson","CHI","RB","8.3","8.3","1","0","0","0","0","9","37","0","0","3","3","16","0"
"Ronnie Bell","SF","WR","8.2","8.2","1","0","0","0","0","0","0","0","0","1","1","12","1"
"Trey Palmer","TB","WR","8.2","8.2","1","0","0","0","0","0","0","0","0","6","4","42","0"
"Terry McLaurin","WAS","WR","8","8","1","0","0","0","0","0","0","0","0","5","3","50","0"
"Stefon Diggs","BUF","WR","7.9","7.9","1","0","0","0","0","0","0","0","0","8","5","29","0"
"Clyde Edwards-Helaire","KC","RB","7.8","7.8","1","0","0","0","0","4","6","0","0","3","3","42","0"
"Jason Brownlee","NYJ","WR","7.8","7.8","1","0","0","0","0","0","0","0","0","3","1","8","1"
"Trenton Irwin","CIN","WR","7.7","7.7","1","0","0","0","0","0","0","0","0","4","4","37","0"
"Ty Chandler","MIN","RB","7.7","7.7","1","0","0","0","0","8","17","1","0","0","0","0","0"
"Allen Robinson II","PIT","WR","7.6","7.6","1","0","0","0","0","0","0","0","0","4","4","36","0"
"Tyler Conklin","NYJ","TE","7.6","7.6","1","0","0","0","0","1","0","0","0","7","4","36","0"
"Andrei Iosivas","CIN","WR","7.6","7.6","1","0","0","0","0","0","0","0","0","8","4","36","0"
"Khalil Shakir","BUF","WR","7.5","7.5","1","0","0","0","0","0","0","0","0","3","3","45","0"
"Jerry Jeudy","DEN","WR","7.4","7.4","1","0","0","0","0","0","0","0","0","5","3","44","0"
"Marvin Mims Jr.","DEN","WR","7.3","7.3","1","0","0","0","0","0","0","0","1","4","3","63","0"
"Jonnu Smith","ATL","TE","7.2","7.2","1","0","0","0","0","0","0","0","0","6","4","32","0"
"Cedrick Wilson Jr.","MIA","WR","7.2","7.2","1","0","0","0","0","0","0","0","0","5","3","42","0"
"Jakobi Meyers","LV","WR","7.2","7.2","1","0","0","0","0","0","0","0","0","5","3","42","0"
"AJ Dillon","GB","RB","7.2","7.2","1","0","0","0","0","7","12","1","0","0","0","0","0"
"Marcedes Lewis","CHI","TE","7.1","7.1","1","0","0","0","0","0","0","0","0","1","1","1","1"
"Jalen Tolbert","DAL","WR","7.1","7.1","1","0","0","0","0","0","0","0","0","2","2","51","0"
"Samaje Perine","DEN","RB","6.9","6.9","1","0","0","0","0","1","2","0","0","5","4","27","0"
"Drake London","ATL","WR","6.9","6.9","1","0","0","0","0","0","0","0","0","4","3","39","0"
"Noah Brown","HOU","WR","6.8","6.8","1","0","0","0","0","0","0","0","0","7","3","38","0"
"Drew Sample","CIN","TE","6.8","6.8","1","0","0","0","0","0","0","0","0","3","3","38","0"
"Elijah Cooks","JAX","WR","6.8","6.8","1","0","0","0","0","0","0","0","0","3","3","38","0"
"Calvin Austin III","PIT","WR","6.7","6.7","1","0","0","0","0","1","7","1","0","2","0","0","0"
"Kenneth Walker III","SEA","RB","6.6","6.6","1","0","0","0","0","16","54","0","0","2","1","2","0"
"Jaylen Waddle","MIA","WR","6.2","6.2","1","0","0","0","0","1","2","0","0","4","1","50","0"
"Tim Jones","JAX","WR","6.2","6.2","1","0","0","0","0","0","0","0","0","5","3","32","0"
"Sam Darnold","SF","QB","6.1","6.1","1","8","81","1","1","1","9","0","0","0","0","0","0"
"Travis Etienne Jr.","JAX","RB","6.1","6.1","1","0","0","0","0","6","12","0","0","3","3","19","0"
"Tyler Higbee","LAR","TE","6","6","1","0","0","0","0","0","0","0","0","3","3","30","0"
"Alec Pierce","IND","WR","6","6","1","0","0","0","0","0","0","0","0","7","3","30","0"
"Kalif Raymond","DET","WR","5.7","5.7","1","0","0","0","0","1","8","0","0","2","2","29","0"
"Rondale Moore","ARI","WR","5.6","5.6","1","0","0","0","0","1","6","0","0","3","2","30","0"
"Cordarrelle Patterson","ATL","RB","5.3","5.3","1","0","0","0","0","7","26","0","0","2","2","7","0"
"Tony Pollard","DAL","RB","5.3","5.3","1","0","0","0","0","12","38","0","0","1","1","5","0"
"Jalen Reagor","NE","WR","5.3","5.3","1","0","0","0","0","0","0","0","0","2","2","33","0"
"Darren Waller","NYG","TE","5.2","5.2","1","0","0","0","0","0","0","0","0","5","2","32","0"
"Alex Erickson","LAC","WR","5.1","5.1","1","0","0","0","0","0","0","0","0","2","2","31","0"
"Stephen Sullivan","CAR","TE","5.1","5.1","1","0","0","0","0","0","0","0","0","5","3","21","0"
"Jahan Dotson","WAS","WR","5.1","5.1","1","0","0","0","0","0","0","0","0","4","2","31","0"
"James Cook","BUF","RB","5","5","1","0","0","0","0","20","70","0","1","0","0","0","0"
"Quentin Johnston","LAC","WR","5","5","1","0","0","0","0","1","1","0","0","5","2","29","0"
"DJ Moore","CHI","WR","4.8","4.8","1","0","0","0","0","0","0","0","0","6","3","18","0"
"Sam LaPorta","DET","TE","4.8","4.8","1","0","0","0","0","0","0","0","0","3","3","18","0"
"Brevin Jordan","HOU","TE","4.7","4.7","1","0","0","0","0","0","0","0","0","3","2","27","0"
"Dawson Knox","BUF","TE","4.6","4.6","1","0","0","0","0","0","0","0","0","2","2","26","0"
"Wan'Dale Robinson","NYG","WR","4.6","4.6","1","0","0","0","0","0","0","0","0","7","3","16","0"
"Pharaoh Brown","NE","TE","4.5","4.5","1","0","0","0","0","0","0","0","0","2","2","25","0"
"John Bates","WAS","TE","4.4","4.4","1","0","0","0","0","0","0","0","0","5","3","14","0"
"Chase Brown","CIN","RB","4.4","4.4","1","0","0","0","0","4","16","0","0","2","2","8","0"
"Josh Oliver","MIN","TE","4.3","4.3","1","0","0","0","0","0","0","0","0","2","1","33","0"
"Israel Abanikanda","NYJ","RB","4.3","4.3","1","0","0","0","0","9","43","0","0","0","0","0","0"
"Treylon Burks","TEN","WR","4.2","4.2","1","0","0","0","0","1","-3","0","0","3","2","25","0"
"Robert Woods","HOU","WR","4.1","4.1","1","0","0","0","0","1","7","0","0","6","2","14","0"
"Grant Calcaterra","PHI","TE","4.1","4.1","1","0","0","0","0","0","0","0","0","2","2","21","0"
"De'Von Achane","MIA","RB","4.1","4.1","1","0","0","0","0","7","24","0","0","3","1","7","0"
"DeAndre Hopkins","TEN","WR","4","4","1","0","0","0","0","0","0","0","0","4","2","20","0"
"Tyler Goodson","IND","RB","4","4","1","0","0","0","0","1","15","0","0","2","1","15","0"
"Elijah Moore","CLE","WR","3.9","3.9","1","0","0","0","0","0","0","0","0","4","2","19","0"
"Parker Washington","JAX","WR","3.9","3.9","1","0","0","0","0","0","0","0","0","4","2","19","0"
"Jordan Akins","CLE","TE","3.8","3.8","1","0","0","0","0","0","0","0","0","2","2","18","0"
"Elijah Higgins","ARI","TE","3.7","3.7","1","0","0","0","0","0","0","0","0","3","2","17","0"
"Jeff Wilson Jr.","MIA","RB","3.5","3.5","1","0","0","0","0","5","21","0","0","1","1","4","0"
"Diontae Johnson","PIT","WR","3.5","3.5","1","0","0","0","0","0","0","0","0","5","2","15","0"
"Payne Durham","TB","TE","3.5","3.5","1","0","0","0","0","0","0","0","0","1","1","25","0"
"Odell Beckham Jr.","BAL","WR","3.3","3.3","1","0","0","0","0","0","0","0","0","3","2","13","0"
"Austin Hooper","LV","TE","3.3","3.3","1","0","0","0","0","0","0","0","0","3","2","13","0"
"Johnny Mundt","MIN","TE","3.3","3.3","1","0","0","0","0","0","0","0","0","3","1","23","0"
"Stone Smartt","LAC","TE","3.3","3.3","1","0","0","0","0","0","0","0","0","1","1","23","0"
"Cedric Tillman","CLE","WR","3.3","3.3","1","0","0","0","0","0","0","0","0","2","2","13","0"
"Alec Ingold","MIA","RB","3.2","3.2","1","0","0","0","0","0","0","0","0","2","2","12","0"
"Curtis Samuel","WAS","WR","3","3","1","0","0","0","0","2","4","0","0","6","1","16","0"
"Tyquan Thornton","NE","WR","3","3","1","0","0","0","0","1","9","0","0","1","1","11","0"
"Robbie Chosen","MIA","WR","2.9","2.9","1","0","0","0","0","0","0","0","0","1","1","19","0"
"Xavier Hutchinson","HOU","WR","2.8","2.8","1","0","0","0","0","0","0","0","0","2","1","18","0"
"Charlie Kolar","BAL","TE","2.7","2.7","1","0","0","0","0","0","0","0","0","1","1","17","0"
"Xavier Gipson","NYJ","WR","2.7","2.7","1","0","0","0","0","1","16","0","0","2","1","1","0"
"Tommy Devito","NYG","QB","2.7","2.7","1","9","55","0","0","1","5","0","0","0","0","0","0"
"Josh Reynolds","DET","WR","2.6","2.6","1","0","0","0","0","0","0","0","0","4","1","16","0"
"Dameon Pierce","HOU","RB","2.6","2.6","1","0","0","0","0","3","6","0","0","2","1","10","0"
"Chase Edmonds","TB","RB","2.5","2.5","1","0","0","0","0","10","25","0","0","0","0","0","0"
"Scotty Miller","ATL","WR","2.5","2.5","1","0","0","0","0","0","0","0","0","1","1","15","0"
"Darnell Mooney","CHI","WR","2.5","2.5","1","0","0","0","0","0","0","0","0","4","2","5","0"
"Robert Tonyan","CHI","TE","2.4","2.4","1","0","0","0","0","0","0","0","0","1","1","14","0"
"Michael Gallup","DAL","WR","2.4","2.4","1","0","0","0","0","0","0","0","0","2","2","4","0"
"Rashod Bateman","BAL","WR","2.4","2.4","1","0","0","0","0","0","0","0","0","4","1","14","0"
"Derius Davis","LAC","WR","2.4","2.4","1","0","0","0","0","1","8","0","0","1","1","6","0"
"Brock Purdy","SF","QB","2.4","2.4","1","18","255","0","4","1","2","0","0","0","0","0","0"
"Jamaal Williams","NO","RB","2.3","2.3","1","0","0","0","0","2","8","0","0","1","1","5","0"
"Foster Moreau","NO","TE","2.3","2.3","1","0","0","0","0","0","0","0","0","2","1","13","0"
"Van Jefferson","ATL","WR","2.3","2.3","1","0","0","0","0","0","0","0","0","3","1","13","0"
"Ameer Abdullah","LV","RB","2.2","2.2","1","0","0","0","0","2","11","0","0","1","1","1","0"
"Jamal Agnew","JAX","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","4","1","12","0"
"Jalen Guyton","LAC","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","2","1","12","0"
"Pierre Strong Jr.","CLE","RB","2.2","2.2","1","0","0","0","0","5","22","0","0","1","0","0","0"
"Donovan Peoples-Jones","DET","WR","2.1","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"Kevin Harris","NE","RB","2.1","2.1","1","0","0","0","0","7","21","0","0","0","0","0","0"
"Hunter Luepke","DAL","RB","2.1","2.1","1","0","0","0","0","2","3","0","0","1","1","8","0"
"Aidan O'Connell","LV","QB","2.1","2.1","1","9","62","0","0","4","-4","0","0","0","0","0","0"
"Brandon Bolden","LV","RB","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Leonard Fournette","BUF","RB","2","2","1","0","0","0","0","5","20","0","0","0","0","0","0"
"Ronnie Rivers","LAR","RB","2","2","1","0","0","0","0","6","20","0","0","0","0","0","0"
"Raheem Blackshear","CAR","RB","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Moore","TEN","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","2","1","9","0"
"Keith Kirkwood","NO","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","1","1","9","0"
"Jonathan Mingo","CAR","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","1","1","9","0"
"Miles Sanders","CAR","RB","1.8","1.8","1","0","0","0","0","3","3","0","0","2","1","5","0"
"D.J. Montgomery","IND","WR","1.8","1.8","1","0","0","0","0","0","0","0","0","4","1","8","0"
"Darnell Washington","PIT","TE","1.8","1.8","1","0","0","0","0","0","0","0","0","1","1","8","0"
"Jake Bobo","SEA","WR","1.8","1.8","1","0","0","0","0","0","0","0","0","3","1","8","0"
"KaVontae Turpin","DAL","WR","1.8","1.8","1","0","0","0","0","1","4","0","0","1","1","4","0"
"Dorian Thompson-Robinson","CLE","QB","1.7","1.7","1","1","6","0","0","1","-5","0","0","0","0","0","0"
"David Moore","TB","WR","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Cade Otton","TB","TE","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Britain Covey","PHI","WR","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Dalton Kincaid","BUF","TE","1.7","1.7","1","0","0","0","0","0","0","0","0","2","1","7","0"
"C.J. Ham","MIN","RB","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Will Dissly","SEA","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Miles Boykin","PIT","WR","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Harrison Bryant","CLE","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Mitchell Wilcox","CIN","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Mason Kinsey","TEN","WR","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"David Bell","CLE","WR","1.6","1.6","1","0","0","0","0","0","0","0","0","2","1","6","0"
