"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Amari Cooper","CLE","WR","51.5","51.5","1","0","0","0","0","0","0","0","0","15","11","265","2"
"Breece Hall","NYJ","RB","43.1","43.1","1","0","0","0","0","20","95","2","0","16","12","96","0"
"George Pickens","PIT","WR","35.5","35.5","1","0","0","0","0","0","0","0","0","6","4","195","2"
"Puka Nacua","LAR","WR","33","33","1","0","0","0","0","2","16","0","0","11","9","164","1"
"Amon-Ra St. Brown","DET","WR","28.6","28.6","1","0","0","0","0","0","0","0","0","14","12","106","1"
"DJ Chark Jr.","CAR","WR","27.8","27.8","1","0","0","0","0","0","0","0","0","8","6","98","2"
"Mike Evans","TB","WR","27.6","27.6","1","0","0","0","0","0","0","0","0","8","7","86","2"
"Justin Jefferson","MIN","WR","26.1","26.1","1","0","0","0","0","0","0","0","0","10","6","141","1"
"Calvin Ridley","JAX","WR","25.8","25.8","1","0","0","0","0","1","-12","0","0","9","6","90","2"
"CeeDee Lamb","DAL","WR","25.2","25.2","1","0","0","0","0","2","14","0","0","10","6","118","1"
"Christian McCaffrey","SF","RB","25.1","25.1","1","0","0","0","0","14","103","1","0","10","6","28","0"
"Tee Higgins","CIN","WR","25","25","1","0","0","0","0","0","0","0","0","8","5","140","1"
"Josh Allen","BUF","QB","25","25","1","15","237","1","1","5","15","2","0","0","0","0","0"
"Derek Carr","NO","QB","25","25","1","27","319","3","1","2","2","0","0","0","0","0","0"
"Joe Flacco","CLE","QB","24.8","24.8","1","27","368","3","2","2","1","0","0","0","0","0","0"
"Justin Fields","CHI","QB","24.5","24.5","1","15","170","1","1","9","97","1","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","24","24","1","0","0","0","0","15","80","2","1","7","4","20","0"
"Jordan Love","GB","QB","24","24","1","17","219","2","0","2","12","1","0","0","0","0","0"
"Russell Wilson","DEN","QB","23.5","23.5","1","25","238","2","0","4","20","0","0","0","0","0","0"
"Jalen Hurts","PHI","QB","23.4","23.4","1","24","301","1","1","8","34","1","0","0","0","0","0"
"Chris Olave","NO","WR","23.3","23.3","1","0","0","0","0","0","0","0","0","13","9","123","0"
"Gabe Davis","BUF","WR","23","23","1","0","0","0","0","0","0","0","0","6","4","130","1"
