"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Travis Kelce","KC","TE","35.9","35.9","1","0","0","0","0","0","0","0","0","13","12","179","1"
"Lamar Jackson","BAL","QB","33.9","33.9","1","21","357","3","0","9","36","1","1","0","0","0","0"
"Patrick Mahomes","KC","QB","33.9","33.9","1","32","424","4","1","4","29","0","0","0","0","0","0"
"D'Onta Foreman","CHI","RB","33","33","1","0","0","0","0","16","89","2","0","5","3","31","1"
"Jordan Addison","MIN","WR","31.3","31.3","1","0","0","0","0","0","0","0","0","10","7","123","2"
"A.J. Brown","PHI","WR","29.7","29.7","1","0","0","0","0","0","0","0","0","15","10","137","1"
"Alvin Kamara","NO","RB","29.3","29.3","1","0","0","0","0","17","62","0","0","14","12","91","0"
"Jahmyr Gibbs","DET","RB","27.6","27.6","1","0","0","0","0","11","68","1","0","10","9","58","0"
"Gardner Minshew","IND","QB","27.1","27.1","1","15","305","2","1","3","29","2","3","0","0","0","0"
"Tyreek Hill","MIA","WR","25.8","25.8","1","0","0","0","0","0","0","0","0","15","11","88","1"
"Josh Allen","BUF","QB","24.3","24.3","1","27","265","2","1","7","17","1","1","0","0","0","0"
"Josh Downs","IND","WR","23.5","23.5","1","0","0","0","0","0","0","0","0","6","5","125","1"
"Puka Nacua","LAR","WR","23.4","23.4","1","0","0","0","0","0","0","0","0","12","8","154","0"
"Jalen Hurts","PHI","QB","23.3","23.3","1","23","279","2","1","11","21","1","1","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","23.2","23.2","1","0","0","0","0","0","0","0","0","19","13","102","0"
"Darren Waller","NYG","TE","22.8","22.8","1","0","0","0","0","0","0","0","0","8","7","98","1"
"Travis Etienne Jr.","JAX","RB","22.7","22.7","1","0","0","0","0","14","53","2","0","5","3","24","0"
"Christian McCaffrey","SF","RB","22.6","22.6","1","0","0","0","0","15","45","1","1","3","3","51","1"
"Mark Andrews","BAL","TE","22.3","22.3","1","0","0","0","0","0","0","0","0","6","4","63","2"
"Tyrod Taylor","NYG","QB","21.7","21.7","1","18","279","2","0","8","25","0","0","0","0","0","0"
"Gus Edwards","BAL","RB","21.4","21.4","1","0","0","0","0","14","64","1","0","1","1","80","0"
"Kirk Cousins","MIN","QB","21","21","1","35","378","2","1","2","-1","0","0","0","0","0","0"
"Jonathan Taylor","IND","RB","21","21","1","0","0","0","0","18","75","1","0","4","3","45","0"
"Mike Evans","TB","WR","20.2","20.2","1","0","0","0","0","0","0","0","0","8","6","82","1"
"Mac Jones","NE","QB","20","20","1","25","272","2","0","3","11","0","0","0","0","0","0"
"Courtland Sutton","DEN","WR","19.6","19.6","1","0","0","0","0","0","0","0","0","6","6","76","1"
"T.J. Hockenson","MIN","TE","19.6","19.6","1","0","0","0","0","0","0","0","0","12","11","86","0"
"James Cook","BUF","RB","19.2","19.2","1","0","0","0","0","13","56","0","0","3","3","46","1"
"Christian Kirk","JAX","WR","19","19","1","0","0","0","0","0","0","0","1","6","6","90","1"
"Saquon Barkley","NYG","RB","18.8","18.8","1","0","0","0","0","21","77","0","1","4","3","41","1"
"Dallas Goedert","PHI","TE","18.7","18.7","1","0","0","0","0","0","0","0","0","5","5","77","1"
"Joshua Palmer","LAC","WR","18.3","18.3","1","0","0","0","0","0","0","0","0","7","5","133","0"
"Trevor Lawrence","JAX","QB","18.1","18.1","1","20","204","1","0","8","59","0","0","0","0","0","0"
"Jakobi Meyers","LV","WR","18","18","1","0","0","0","0","0","0","0","0","13","7","50","1"
"Stefon Diggs","BUF","WR","17.8","17.8","1","0","0","0","0","0","0","0","0","12","6","58","1"
"Derek Carr","NO","QB","17.4","17.4","1","33","301","1","1","3","14","0","0","0","0","0","0"
"Marquez Valdes-Scantling","KC","WR","17.4","17.4","1","0","0","0","0","0","0","0","0","5","3","84","1"
"Jerome Ford","CLE","RB","17.4","17.4","1","0","0","0","0","11","74","1","0","4","2","20","0"
"Rashee Rice","KC","WR","17","17","1","0","0","0","0","0","0","0","0","6","5","60","1"
"Kendrick Bourne","NE","WR","16.3","16.3","1","0","0","0","0","0","0","0","1","7","6","63","1"
"Michael Pittman Jr.","IND","WR","16.3","16.3","1","0","0","0","0","0","0","0","0","5","2","83","1"
"Jaxon Smith-Njigba","SEA","WR","16.3","16.3","1","0","0","0","0","0","0","0","0","7","4","63","1"
"Baker Mayfield","TB","QB","16.2","16.2","1","27","275","1","1","3","32","0","0","0","0","0","0"
"Joshua Dobbs","ARI","QB","16.1","16.1","1","19","146","0","0","7","43","1","0","0","0","0","0"
"Jake Bobo","SEA","WR","16.1","16.1","1","0","0","0","0","0","0","0","0","5","4","61","1"
"Isiah Pacheco","KC","RB","16","16","1","0","0","0","0","13","32","0","0","4","4","28","1"
"Rachaad White","TB","RB","15.9","15.9","1","0","0","0","0","13","34","0","0","6","6","65","0"
"Najee Harris","PIT","RB","15.8","15.8","1","0","0","0","0","14","53","1","0","3","3","15","0"
"George Pickens","PIT","WR","15.7","15.7","1","0","0","0","0","0","0","0","0","8","5","107","0"
"Dalton Kincaid","BUF","TE","15.5","15.5","1","0","0","0","0","0","0","0","0","8","8","75","0"
"Jordan Love","GB","QB","15.3","15.3","1","21","180","2","1","3","21","0","0","0","0","0","0"
"Kenny Pickett","PIT","QB","15.2","15.2","1","17","230","0","0","8","0","1","0","0","0","0","0"
"Kareem Hunt","CLE","RB","15.1","15.1","1","0","0","0","0","10","31","2","0","1","0","0","0"
"Terry McLaurin","WAS","WR","15","15","1","0","0","0","0","0","0","0","0","9","6","90","0"
"Rhamondre Stevenson","NE","RB","14.5","14.5","1","0","0","0","0","9","34","0","0","6","6","51","0"
"Tyler Allgeier","ATL","RB","14.2","14.2","1","0","0","0","0","21","59","0","0","3","3","53","0"
"Matthew Stafford","LAR","QB","14","14","1","14","231","1","1","1","8","0","0","0","0","0","0"
"Russell Wilson","DEN","QB","13.9","13.9","1","20","194","1","0","1","21","0","0","0","0","0","0"
"Desmond Ridder","ATL","QB","13.8","13.8","1","19","250","0","0","6","38","1","3","0","0","0","0"
"Geno Smith","SEA","QB","13.8","13.8","1","18","219","2","1","6","10","0","1","0","0","0","0"
"Darrell Henderson Jr.","LAR","RB","13.6","13.6","1","0","0","0","0","18","61","1","0","2","1","5","0"
"Joshua Kelley","LAC","RB","13.5","13.5","1","0","0","0","0","7","75","1","0","0","0","0","0"
"DJ Moore","CHI","WR","13.4","13.4","1","0","0","0","0","0","0","0","0","9","8","54","0"
"Michael Thomas","NO","WR","13.2","13.2","1","0","0","0","0","0","0","0","0","7","3","42","1"
"Kenneth Walker III","SEA","RB","13.1","13.1","1","0","0","0","0","26","105","0","0","3","2","6","0"
"George Kittle","SF","TE","13","13","1","0","0","0","0","1","2","0","0","7","5","78","0"
"Diontae Johnson","PIT","WR","12.9","12.9","1","0","0","0","0","0","0","0","0","6","5","79","0"
"Tyson Bagent","CHI","QB","12.9","12.9","1","21","162","1","0","3","24","0","0","0","0","0","0"
"Brock Purdy","SF","QB","12.8","12.8","1","21","272","1","2","5","19","0","0","0","0","0","0"
"Davante Adams","LV","WR","12.7","12.7","1","0","0","0","0","0","0","0","0","12","7","57","0"
"Chris Olave","NO","WR","12.7","12.7","1","0","0","0","0","0","0","0","0","15","7","57","0"
"Chris Godwin","TB","WR","12.6","12.6","1","0","0","0","0","0","0","0","0","12","6","66","0"
"Javonte Williams","DEN","RB","12.6","12.6","1","0","0","0","0","15","82","0","0","4","3","14","0"
"Jaylen Waddle","MIA","WR","12.3","12.3","1","0","0","0","0","0","0","0","0","6","6","63","0"
"Gerald Everett","LAC","TE","11.6","11.6","1","0","0","0","0","0","0","0","0","4","3","26","1"
"AJ Dillon","GB","RB","11.5","11.5","1","0","0","0","0","15","61","0","0","2","2","34","0"
"Zay Flowers","BAL","WR","11.5","11.5","1","0","0","0","0","0","0","0","0","6","4","75","0"
"Emari Demercado","ARI","RB","11.5","11.5","1","0","0","0","0","13","58","0","0","5","4","17","0"
"Jerry Jeudy","DEN","WR","11.4","11.4","1","0","0","0","0","0","0","0","0","5","5","64","0"
"Drake London","ATL","WR","11.4","11.4","1","0","0","0","0","0","0","0","0","7","6","54","0"
"Demario Douglas","NE","WR","11.4","11.4","1","0","0","0","0","1","20","0","0","6","4","54","0"
"Sam LaPorta","DET","TE","11.2","11.2","1","0","0","0","0","0","0","0","0","7","6","52","0"
"Jayden Reed","GB","WR","11.1","11.1","1","0","0","0","0","0","0","0","0","4","3","21","1"
"Romeo Doubs","GB","WR","11","11","1","0","0","0","0","0","0","0","0","5","2","30","1"
"Brandon Powell","MIN","WR","10.9","10.9","1","0","0","0","0","1","5","0","0","5","4","64","0"
"Justin Herbert","LAC","QB","10.9","10.9","1","17","259","1","2","2","5","0","0","0","0","0","0"
"Brandon Aiyuk","SF","WR","10.7","10.7","1","0","0","0","0","0","0","0","0","6","5","57","0"
"D'Andre Swift","PHI","RB","10.5","10.5","1","0","0","0","0","15","62","0","0","3","3","13","0"
"David Njoku","CLE","TE","10.4","10.4","1","0","0","0","0","0","0","0","0","9","5","54","0"
"Jauan Jennings","SF","WR","10.4","10.4","1","0","0","0","0","0","0","0","0","9","5","54","0"
"Tua Tagovailoa","MIA","QB","10.3","10.3","1","23","216","1","1","1","-3","0","0","0","0","0","0"
"Tutu Atwell","LAR","WR","10.1","10.1","1","0","0","0","0","0","0","0","0","2","1","31","1"
"Jaylen Warren","PIT","RB","10.1","10.1","1","0","0","0","0","6","32","1","0","2","1","-1","0"
"Odell Beckham Jr.","BAL","WR","9.9","9.9","1","0","0","0","0","0","0","0","0","7","5","49","0"
"Elijah Moore","CLE","WR","9.9","9.9","1","0","0","0","0","0","0","0","0","7","4","59","0"
"K.J. Osborn","MIN","WR","9.7","9.7","1","0","0","0","0","0","0","0","0","6","5","47","0"
"Keenan Allen","LAC","WR","9.5","9.5","1","0","0","0","0","0","0","0","0","9","4","55","0"
"Evan Engram","JAX","TE","9.5","9.5","1","0","0","0","0","0","0","0","0","7","5","45","0"
"Jalin Hyatt","NYG","WR","9.5","9.5","1","0","0","0","0","0","0","0","0","5","2","75","0"
"Sam Howell","WAS","QB","9.5","9.5","1","22","249","0","1","2","15","0","0","0","0","0","0"
"Jared Goff","DET","QB","9.4","9.4","1","33","284","0","1","0","0","0","0","0","0","0","0"
"Cade Otton","TB","TE","9.3","9.3","1","0","0","0","0","0","0","0","0","6","5","43","0"
"Jahan Dotson","WAS","WR","9.3","9.3","1","0","0","0","0","0","0","0","0","8","5","43","0"
"Logan Thomas","WAS","TE","9.1","9.1","1","0","0","0","0","0","0","0","0","6","4","51","0"
"Ezekiel Elliott","NE","RB","9.1","9.1","1","0","0","0","0","11","31","1","0","1","0","0","0"
"DeVonta Smith","PHI","WR","8.9","8.9","1","0","0","0","0","0","0","0","0","5","4","49","0"
"Aaron Jones","GB","RB","8.7","8.7","1","0","0","0","0","8","35","0","0","5","3","22","0"
"Mike Gesicki","NE","TE","8.5","8.5","1","0","0","0","0","0","0","0","0","2","2","5","1"
"Brian Robinson Jr.","WAS","RB","8.3","8.3","1","0","0","0","0","8","23","1","0","1","0","0","0"
"Alec Pierce","IND","WR","8.3","8.3","1","0","0","0","0","0","0","0","0","3","3","53","0"
"Nelson Agholor","BAL","WR","8.2","8.2","1","0","0","0","0","0","0","0","0","1","1","12","1"
"Cam Akers","MIN","RB","8.1","8.1","1","0","0","0","0","10","31","0","0","3","2","30","0"
"Marquise Brown","ARI","WR","7.9","7.9","1","0","0","0","0","0","0","0","0","7","3","49","0"
"Tyler Lockett","SEA","WR","7.8","7.8","1","0","0","0","0","0","0","0","0","5","4","38","0"
"Taysom Hill","NO","QB","7.8","7.8","1","0","0","0","0","5","18","1","0","5","4","50","0"
"Kyle Pitts","ATL","TE","7.7","7.7","1","0","0","0","0","0","0","0","0","5","3","47","0"
"Kenneth Gainwell","PHI","RB","7.6","7.6","1","0","0","0","0","8","16","1","0","0","0","0","0"
"Jamal Agnew","JAX","WR","7.5","7.5","1","0","0","0","0","1","-1","0","0","6","4","36","0"
"Khalil Shakir","BUF","WR","7.5","7.5","1","0","0","0","0","0","0","0","0","4","4","35","0"
"Darnell Mooney","CHI","WR","7.4","7.4","1","0","0","0","0","1","2","0","0","5","4","32","0"
"Zack Moss","IND","RB","7.2","7.2","1","0","0","0","0","18","57","0","0","2","1","5","0"
"Rashid Shaheed","NO","WR","7.2","7.2","1","0","0","0","0","1","4","0","0","8","4","28","0"
"Samaje Perine","DEN","RB","7.1","7.1","1","0","0","0","0","2","10","0","0","3","3","31","0"
"Pharaoh Brown","NE","TE","7.1","7.1","1","0","0","0","0","0","0","0","0","2","2","51","0"
"Luke Musgrave","GB","TE","7","7","1","0","0","0","0","0","0","0","0","5","4","30","0"
"Cooper Kupp","LAR","WR","6.9","6.9","1","0","0","0","0","0","0","0","0","7","2","29","0"
"Cedrick Wilson Jr.","MIA","WR","6.8","6.8","1","0","0","0","0","0","0","0","0","3","2","48","0"
"Royce Freeman","LAR","RB","6.6","6.6","1","0","0","0","0","12","66","0","0","0","0","0","0"
"Curtis Samuel","WAS","WR","6.5","6.5","1","0","0","0","0","0","0","0","0","8","4","25","0"
"Darrynton Evans","CHI","RB","6.4","6.4","1","0","0","0","0","14","48","0","0","3","1","6","0"
"Josh Reynolds","DET","WR","6.3","6.3","1","0","0","0","0","0","0","0","0","3","2","43","0"
"Foster Moreau","NO","TE","6.3","6.3","1","0","0","0","0","0","0","0","0","4","3","33","0"
"Alexander Mattison","MIN","RB","6.2","6.2","1","0","0","0","0","8","39","0","0","3","2","3","0"
"Raheem Mostert","MIA","RB","6.1","6.1","1","0","0","0","0","9","45","0","0","3","1","6","0"
"Trey McBride","ARI","TE","5.9","5.9","1","0","0","0","0","0","0","0","0","6","3","29","0"
"Zamir White","LV","RB","5.8","5.8","1","0","0","0","0","2","2","0","0","3","3","26","0"
"Justice Hill","BAL","RB","5.8","5.8","1","0","0","0","0","4","46","0","0","1","1","2","0"
"Jonnu Smith","ATL","TE","5.7","5.7","1","0","0","0","0","0","0","0","0","3","3","27","0"
"Christian Watson","GB","WR","5.7","5.7","1","0","0","0","0","0","0","0","0","5","3","27","0"
"Cordarrelle Patterson","ATL","RB","5.6","5.6","1","0","0","0","0","10","56","0","0","0","0","0","0"
"Austin Ekeler","LAC","RB","5.6","5.6","1","0","0","0","0","14","45","0","0","2","1","1","0"
"Scotty Miller","ATL","WR","5.6","5.6","1","0","0","0","0","0","0","0","0","1","1","46","0"
"Rashod Bateman","BAL","WR","5.6","5.6","1","0","0","0","0","0","0","0","0","3","2","36","0"
"Michael Wilson","ARI","WR","5.6","5.6","1","0","0","0","0","0","0","0","0","5","3","26","0"
"Jaleel McLaughlin","DEN","RB","5.6","5.6","1","0","0","0","0","5","45","0","0","2","1","1","0"
"P.J. Walker","CLE","QB","5.4","5.4","1","15","178","0","1","3","3","0","0","0","0","0","0"
"Tyler Scott","CHI","WR","5.3","5.3","1","0","0","0","0","2","14","0","0","3","2","19","0"
"Patrick Ricard","BAL","RB","5.1","5.1","1","0","0","0","0","0","0","0","0","2","2","31","0"
"Josh Jacobs","LV","RB","5.1","5.1","1","0","0","0","0","11","35","0","0","4","1","6","0"
"Antonio Gibson","WAS","RB","5.1","5.1","1","0","0","0","0","2","7","0","0","2","2","24","0"
"Aidan O'Connell","LV","QB","5","5","1","10","75","1","1","0","0","0","0","0","0","0","0"
"Zach Ertz","ARI","TE","4.9","4.9","1","0","0","0","0","0","0","0","0","4","3","19","0"
"Latavius Murray","BUF","RB","4.8","4.8","1","0","0","0","0","4","8","0","0","2","2","20","0"
"Hunter Henry","NE","TE","4.7","4.7","1","0","0","0","0","0","0","0","0","3","2","27","0"
"Emanuel Wilson","GB","RB","4.7","4.7","1","0","0","0","0","2","19","0","0","2","2","8","0"
"Rondale Moore","ARI","WR","4.6","4.6","1","0","0","0","0","4","24","0","0","4","2","2","0"
"Jerick McKinnon","KC","RB","4.6","4.6","1","0","0","0","0","2","2","0","0","2","2","24","0"
"Colby Parkinson","SEA","TE","4.6","4.6","1","0","0","0","0","0","0","0","0","2","2","26","0"
