"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Luke Musgrave","GB","TE","14.1","14.1","1","0","0","0","0","0","0","0","0","4","3","51","1"
"Hunter Henry","NE","TE","13.9","13.9","1","0","0","0","0","0","0","0","0","7","4","39","1"
"T.J. Hockenson","MIN","TE","13.9","13.9","1","0","0","0","0","0","0","0","0","12","7","69","0"
"Juwan Johnson","NO","TE","13.9","13.9","1","0","0","0","0","0","0","0","0","5","5","29","1"
"Jalen Tolbert","DAL","WR","13.9","13.9","1","0","0","0","0","0","0","0","0","5","3","49","1"
"Jordan Love","GB","QB","13.8","13.8","1","20","228","1","0","4","7","0","0","0","0","0","0"
"Jakobi Meyers","LV","WR","13.5","13.5","1","0","0","0","0","1","17","1","0","5","2","38","0"
"Wan'Dale Robinson","NYG","WR","13.5","13.5","1","0","0","0","0","0","0","0","0","5","4","35","1"
"Darnell Mooney","CHI","WR","13.2","13.2","1","0","0","0","0","0","0","0","0","6","5","82","0"
"Garrett Wilson","NYJ","WR","13","13","1","0","0","0","0","0","0","0","1","13","7","80","0"
"Mike Evans","TB","WR","12.7","12.7","1","0","0","0","0","0","0","0","0","5","4","87","0"
"Jerome Ford","CLE","RB","12.7","12.7","1","0","0","0","0","20","44","0","0","7","5","33","0"
"Antonio Gibson","WAS","RB","12.6","12.6","1","0","0","0","0","6","34","0","0","5","5","42","0"
"David Njoku","CLE","TE","12.6","12.6","1","0","0","0","0","0","0","0","0","6","4","26","1"
"Tyler Conklin","NYJ","TE","12.6","12.6","1","0","0","0","0","0","0","0","0","6","6","66","0"
"Tyreek Hill","MIA","WR","12.5","12.5","1","0","0","0","0","1","3","0","1","10","8","62","0"
"Tua Tagovailoa","MIA","QB","12.4","12.4","1","21","193","1","0","2","7","0","0","0","0","0","0"
"Terry McLaurin","WAS","WR","12.3","12.3","1","0","0","0","0","0","0","0","0","7","5","73","0"
"Jaxon Smith-Njigba","SEA","WR","12.3","12.3","1","0","0","0","0","0","0","0","0","7","6","63","0"
"Drew Sample","CIN","TE","12","12","1","0","0","0","0","0","0","0","0","4","3","30","1"
"Brian Robinson Jr.","WAS","RB","11.7","11.7","1","0","0","0","0","18","63","1","1","2","1","4","0"
"Irv Smith Jr.","CIN","TE","11.6","11.6","1","0","0","0","0","0","0","0","0","4","3","26","1"
"Lamar Jackson","BAL","QB","11.5","11.5","1","21","187","0","0","10","60","0","1","0","0","0","0"
"Mac Jones","NE","QB","11.1","11.1","1","24","220","1","1","3","3","0","0","0","0","0","0"
"JuJu Smith-Schuster","NE","WR","11.1","11.1","1","0","0","0","0","0","0","0","0","7","6","51","0"
"Alvin Kamara","NO","RB","11","11","1","0","0","0","0","9","26","0","0","5","4","44","0"
"Tyler Allgeier","ATL","RB","11","11","1","0","0","0","0","12","39","1","0","3","2","-9","0"
"Kyle Philips","TEN","WR","10.8","10.8","1","0","0","0","0","0","0","0","0","5","4","68","0"
