"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Antonio Gibson","WAS","RB","8.3","1","0","0","0","0","2","9","0","0","3","3","44","0"
"Justice Hill","BAL","RB","8.3","1","0","0","0","0","11","41","0","0","3","3","12","0"
"Dallas Goedert","PHI","TE","8.2","1","0","0","0","0","0","0","0","0","7","6","22","0"
"Ja'Marr Chase","CIN","WR","8.1","1","0","0","0","0","0","0","0","0","8","5","31","0"
"Khalil Shakir","BUF","WR","8.1","1","0","0","0","0","0","0","0","0","1","1","11","1"
"DeAndre Hopkins","TEN","WR","8","1","0","0","0","0","0","0","0","0","5","4","40","0"
"Isiah Pacheco","KC","RB","8","1","0","0","0","0","12","70","0","0","2","1","0","0"
"Taysom Hill","NO","QB","7.8","1","1","8","0","0","9","75","0","0","2","1","-1","0"
"Javonte Williams","DEN","RB","7.8","1","0","0","0","0","12","44","0","0","3","2","14","0"
"JuJu Smith-Schuster","NE","WR","7.8","1","0","0","0","0","0","0","0","0","6","5","28","0"
"Cole Kmet","CHI","TE","7.8","1","0","0","0","0","0","0","0","0","6","4","38","0"
"Gerald Everett","LAC","TE","7.7","1","0","0","0","0","0","0","0","0","3","3","47","0"
"Miles Sanders","CAR","RB","7.7","1","0","0","0","0","14","43","0","0","5","3","4","0"
"Josh Downs","IND","WR","7.7","1","0","0","0","0","0","0","0","0","5","4","37","0"
"John Bates","WAS","TE","7.6","1","0","0","0","0","0","0","0","0","5","3","46","0"
"Jimmy Garoppolo","LV","QB","7.5","1","16","185","1","2","1","1","0","0","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","7.5","1","0","0","0","0","0","0","0","0","4","4","35","0"
"Tyjae Spears","TEN","RB","7.5","1","0","0","0","0","8","49","0","0","2","2","6","0"
"Dalton Schultz","HOU","TE","7.4","1","0","0","0","0","0","0","0","0","7","4","34","0"
"Brandon Aiyuk","SF","WR","7.3","1","0","0","0","0","0","0","0","0","6","3","43","0"
"AJ Dillon","GB","RB","7.3","1","0","0","0","0","15","55","0","0","1","1","8","0"
"Justin Watson","KC","WR","7.2","1","0","0","0","0","0","0","0","1","5","3","62","0"
