"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Tyreek Hill","MIA","WR","44.5","1","0","0","0","0","0","0","0","0","15","11","215","2"
"Brandon Aiyuk","SF","WR","32.9","1","0","0","0","0","0","0","0","0","8","8","129","2"
"Jakobi Meyers","LV","WR","29.1","1","0","0","0","0","0","0","0","0","10","9","81","2"
"Tua Tagovailoa","MIA","QB","27.1","1","28","466","3","1","5","5","0","1","0","0","0","0"
"Aaron Jones","GB","RB","26.7","1","0","0","0","0","9","41","1","0","4","2","86","1"
"Austin Ekeler","LAC","RB","26.4","1","0","0","0","0","16","117","1","0","5","4","47","0"
"Stefon Diggs","BUF","WR","26.2","1","0","0","0","0","0","0","0","0","13","10","102","1"
"Christian McCaffrey","SF","RB","25.9","1","0","0","0","0","22","152","1","0","5","3","17","0"
"Kendrick Bourne","NE","WR","24.4","1","0","0","0","0","0","0","0","0","11","6","64","2"
"Tyler Allgeier","ATL","RB","24.4","1","0","0","0","0","15","75","2","0","3","3","19","0"
"Mac Jones","NE","QB","24.1","1","35","316","3","1","2","15","0","0","0","0","0","0"
"Calvin Ridley","JAX","WR","24.1","1","0","0","0","0","0","0","0","0","11","8","101","1"
"Justin Jefferson","MIN","WR","24","1","0","0","0","0","0","0","0","0","12","9","150","0"
"Michael Pittman Jr.","IND","WR","23.7","1","0","0","0","0","0","0","0","0","11","8","97","1"
"Jordan Love","GB","QB","23","1","15","245","3","0","3","12","0","0","0","0","0","0"
"Tony Pollard","DAL","RB","22.2","1","0","0","0","0","14","70","2","0","3","2","12","0"
"Puka Nacua","LAR","WR","21.9","1","0","0","0","0","0","0","0","0","15","10","119","0"
"Travis Etienne Jr.","JAX","RB","21.4","1","0","0","0","0","18","77","1","0","5","5","27","0"
"Anthony Richardson","IND","QB","20.9","1","24","223","1","1","10","40","1","0","0","0","0","0"
"Justin Herbert","LAC","QB","20.9","1","23","229","1","0","5","17","1","0","0","0","0","0"
"Deshaun Watson","CLE","QB","20.7","1","16","154","1","1","5","45","1","0","0","0","0","0"
"Bijan Robinson","ATL","RB","20.3","1","0","0","0","0","10","56","0","0","6","6","27","1"
"Patrick Mahomes","KC","QB","19.5","1","21","226","2","1","6","45","0","0","0","0","0","0"
"Chris Olave","NO","WR","19.2","1","0","0","0","0","0","0","0","0","10","8","112","0"
"Amon-Ra St. Brown","DET","WR","19.1","1","0","0","0","0","0","0","0","0","9","6","71","1"
"Rashid Shaheed","NO","WR","19","1","0","0","0","0","2","11","0","1","6","5","89","1"
"Mike Evans","TB","WR","18.6","1","0","0","0","0","0","0","0","0","10","6","66","1"
"Romeo Doubs","GB","WR","18.6","1","0","0","0","0","0","0","0","0","5","4","26","2"
"Tutu Atwell","LAR","WR","17.9","1","0","0","0","0","0","0","0","0","8","6","119","0"
"Trevor Lawrence","JAX","QB","17.7","1","24","241","2","1","7","21","0","0","0","0","0","0"
"DeVonta Smith","PHI","WR","17.7","1","0","0","0","0","0","0","0","0","10","7","47","1"
"Zay Flowers","BAL","WR","17.7","1","0","0","0","0","2","9","0","0","10","9","78","0"
"Roschon Johnson","CHI","RB","17.5","1","0","0","0","0","5","20","1","0","7","6","35","0"
"Kyren Williams","LAR","RB","17.4","1","0","0","0","0","15","52","2","0","2","0","2","0"
"Brock Purdy","SF","QB","16.8","1","19","220","2","0","3","20","0","1","0","0","0","0"
"Nick Chubb","CLE","RB","16.7","1","0","0","0","0","18","106","0","0","4","4","21","0"
"Hunter Henry","NE","TE","16.6","1","0","0","0","0","0","0","0","0","6","5","56","1"
"Zay Jones","JAX","WR","16.5","1","0","0","0","0","0","0","0","0","7","5","55","1"
"Kirk Cousins","MIN","QB","16.5","1","33","344","2","1","3","7","0","2","0","0","0","0"
"Jordan Addison","MIN","WR","16.1","1","0","0","0","0","0","0","0","0","6","4","61","1"
"Baker Mayfield","TB","QB","16","1","21","173","2","0","8","11","0","0","0","0","0","0"
"Breece Hall","NYJ","RB","15.7","1","0","0","0","0","10","127","0","0","2","1","20","0"
"Darnell Mooney","CHI","WR","15.3","1","0","0","0","0","0","0","0","0","7","4","53","1"
"Russell Wilson","DEN","QB","15.2","1","27","177","2","0","1","1","0","0","0","0","0","0"
"Sam Howell","WAS","QB","15.2","1","19","202","1","1","2","11","1","1","0","0","0","0"
"Jimmy Garoppolo","LV","QB","15.1","1","20","200","2","1","9","11","0","0","0","0","0","0"
"Hayden Hurst","CAR","TE","15.1","1","0","0","0","0","0","0","0","0","7","5","41","1"
"Joshua Kelley","LAC","RB","15.1","1","0","0","0","0","16","91","1","0","1","0","0","0"
"A.J. Brown","PHI","WR","14.9","1","0","0","0","0","0","0","0","0","10","7","79","0"
"Rhamondre Stevenson","NE","RB","14.9","1","0","0","0","0","12","25","0","0","6","6","64","0"
"Derek Carr","NO","QB","14.6","1","23","305","1","1","3","4","0","0","0","0","0","0"
"Justin Fields","CHI","QB","14.5","1","24","216","1","1","9","59","0","1","0","0","0","0"
"Matthew Stafford","LAR","QB","14.5","1","24","334","0","0","3","11","0","0","0","0","0","0"
"Garrett Wilson","NYJ","WR","14.4","1","0","0","0","0","0","0","0","0","5","5","34","1"
"Keenan Allen","LAC","WR","14.2","1","0","0","0","0","2","6","0","0","9","6","76","0"
"Jared Goff","DET","QB","14","1","22","253","1","0","5","-1","0","0","0","0","0","0"
"Nico Collins","HOU","WR","14","1","0","0","0","0","0","0","0","0","11","6","80","0"
"Derrick Henry","TEN","RB","13.9","1","0","0","0","0","15","63","0","0","3","2","56","0"
"DK Metcalf","SEA","WR","13.7","1","0","0","0","0","0","0","0","0","5","3","47","1"
"Brian Robinson Jr.","WAS","RB","13.6","1","0","0","0","0","19","59","0","0","2","1","7","1"
"DeAndre Hopkins","TEN","WR","13.5","1","0","0","0","0","0","0","0","0","13","7","65","0"
"Alexander Mattison","MIN","RB","13.4","1","0","0","0","0","11","34","0","0","4","3","10","1"
"David Montgomery","DET","RB","13.4","1","0","0","0","0","21","74","1","0","0","0","0","0"
"Courtland Sutton","DEN","WR","13.2","1","0","0","0","0","0","0","0","0","5","4","32","1"
"Raheem Mostert","MIA","RB","13","1","0","0","0","0","10","37","1","0","2","2","13","0"
"River Cracraft","MIA","WR","13","1","0","0","0","0","0","0","0","0","5","3","40","1"
"Justice Hill","BAL","RB","12.9","1","0","0","0","0","8","9","2","0","0","0","0","0"
"Davante Adams","LV","WR","12.6","1","0","0","0","0","0","0","0","0","9","6","66","0"
"Jalen Hurts","PHI","QB","12.5","1","22","170","1","0","9","37","0","1","0","0","0","0"
"James Conner","ARI","RB","12","1","0","0","0","0","14","62","0","0","5","5","8","0"
"Josh Reynolds","DET","WR","12","1","0","0","0","0","0","0","0","0","7","4","80","0"
"Samaje Perine","DEN","RB","11.8","1","0","0","0","0","8","41","0","0","4","4","37","0"
"Jaylen Waddle","MIA","WR","11.8","1","0","0","0","0","0","0","0","0","5","4","78","0"
"Miles Sanders","CAR","RB","11.8","1","0","0","0","0","18","72","0","1","6","4","26","0"
"Robert Woods","HOU","WR","11.7","1","0","0","0","0","0","0","0","0","10","6","57","0"
