"Name","Team","lineupSlot","points","avg_points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Jason Brownlee","NYJ","WR","16.6","2.4","7","0","0","0","0","0","0","0","0","8","5","56","1"
"Israel Abanikanda","NYJ","RB","16.3","2.3","7","0","0","0","0","22","70","0","1","11","7","43","0"
"Patrick Ricard","BAL","RB","16.2","1","17","0","0","0","0","0","0","0","0","7","5","52","1"
"Boston Scott","PHI","RB","15.8","1.1","15","0","0","0","0","20","86","0","1","6","4","52","0"
"Deuce Vaughn","DAL","RB","15","1.9","8","0","0","0","0","23","40","0","0","7","7","40","0"
"Trayveon Williams","CIN","RB","14.9","0.9","17","0","0","0","0","15","69","0","0","9","7","10","0"
"Emanuel Wilson","GB","RB","14.8","2.1","7","0","0","0","0","14","85","0","0","5","4","23","0"
"Charlie Jones","CIN","WR","14.7","1.3","11","0","0","0","0","2","13","0","0","9","7","64","0"
"Keith Kirkwood","NO","WR","14.7","1.1","13","0","0","0","0","0","0","0","0","9","5","37","1"
"D.J. Montgomery","IND","WR","14.6","2.1","7","0","0","0","0","0","0","0","0","8","3","56","1"
"Mitchell Wilcox","CIN","TE","14.6","0.9","17","0","0","0","0","0","0","0","0","12","9","56","0"
"Josiah Deguara","GB","TE","14.5","1","15","0","0","0","0","0","0","0","0","8","8","65","0"
"Brenton Strange","JAX","TE","14.5","1","14","0","0","0","0","0","0","0","0","9","5","35","1"
"Marquise Goodwin","CLE","WR","14","1.2","12","0","0","0","0","4","33","0","0","13","4","67","0"
"La'Mical Perine","KC","RB","14","2.8","5","0","0","0","0","22","77","0","0","5","3","33","0"
"Keaontay Ingram","ARI","RB","14","1.8","8","0","0","0","0","35","74","0","0","4","4","26","0"
"Jeff Driskel","CLE","QB","13.9","13.9","1","13","166","2","2","7","33","0","0","0","0","0","0"
"Lawrence Cager","NYG","TE","13.6","1.2","11","0","0","0","0","0","0","0","0","5","4","36","1"
"Mike Boone","HOU","RB","13.3","1.5","9","0","0","0","0","5","23","0","0","9","7","40","0"
"Darnell Washington","PIT","TE","13.1","0.8","17","0","0","0","0","0","0","0","0","10","7","61","0"
"Eric Gray","NYG","RB","13","1","13","0","0","0","0","17","48","0","0","7","6","22","0"
"Marcedes Lewis","CHI","TE","12.9","0.8","17","0","0","0","0","0","0","0","0","5","4","29","1"
"Brycen Hopkins","LAR","TE","12.8","0.9","15","0","0","0","0","0","0","0","0","7","5","78","0"
"Hunter Luepke","DAL","RB","12.7","0.7","17","0","0","0","0","6","19","1","0","4","3","18","0"
"Jalen Brooks","DAL","WR","12.4","1.8","7","0","0","0","0","0","0","0","0","6","6","64","0"
"Ben Sims","GB","TE","12.1","0.7","17","0","0","0","0","0","0","0","0","6","4","21","1"
"Jameis Winston","NO","QB","12","1.7","7","25","264","2","3","5","-6","0","0","0","0","0","0"
"Marcus Mariota","PHI","QB","11.8","3.9","3","15","164","1","1","8","52","0","1","0","0","0","0"
"J.K. Dobbins","BAL","RB","11.7","11.7","1","0","0","0","0","8","22","1","0","3","2","15","0"
"Gary Brightwell","NYG","RB","11.6","1.7","7","0","0","0","0","9","19","0","0","7","5","47","0"
"Blake Bell","KC","TE","11.6","0.7","17","0","0","0","0","0","0","0","1","9","5","26","1"
"Nick Bawden","NYJ","RB","11.5","0.7","16","0","0","0","0","2","4","1","0","3","3","21","0"
"Justyn Ross","KC","WR","11.3","1.1","10","0","0","0","0","0","0","0","0","11","6","53","0"
"Equanimeous St. Brown","CHI","WR","11.2","1.6","7","0","0","0","0","0","0","0","0","6","5","62","0"
"Brandon Bolden","LV","RB","11.1","0.7","17","0","0","0","0","4","31","1","0","0","0","0","0"
"Velus Jones Jr.","CHI","WR","11.1","0.8","14","0","0","0","0","8","51","0","0","7","4","20","0"
"Tim Boyle","NYJ","QB","10.9","3.6","3","48","360","1","4","4","5","0","0","0","0","0","0"
