"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Trevor Lawrence","JAX","QB","32.2","32.2","1","24","262","2","0","5","17","2","0","0","0","0","0"
"Calvin Ridley","JAX","WR","31.1","31.1","1","0","0","0","0","1","18","0","0","9","7","103","2"
"Tyreek Hill","MIA","WR","30.6","30.6","1","0","0","0","0","0","0","0","0","11","10","146","1"
"Saquon Barkley","NYG","RB","30","30","1","0","0","0","0","14","83","0","0","5","4","57","2"
"Tank Dell","HOU","WR","28.9","28.9","1","0","0","0","0","0","0","0","0","10","8","149","1"
"Keenan Allen","LAC","WR","27.6","27.6","1","0","0","0","0","0","0","0","0","16","10","116","1"
"Brock Purdy","SF","QB","26.7","26.7","1","21","333","3","0","4","14","0","0","0","0","0","0"
"Brandon Aiyuk","SF","WR","26.6","26.6","1","0","0","0","0","0","0","0","0","6","5","156","1"
"Justin Herbert","LAC","QB","25.7","25.7","1","21","260","2","0","8","73","0","0","0","0","0","0"
"Lamar Jackson","BAL","QB","24","24","1","16","264","2","0","9","54","0","0","0","0","0","0"
"Jaylen Warren","PIT","RB","23.5","23.5","1","0","0","0","0","9","129","1","0","3","3","16","0"
"George Kittle","SF","TE","22.9","22.9","1","0","0","0","0","0","0","0","0","9","8","89","1"
"DJ Moore","CHI","WR","22.6","22.6","1","0","0","0","0","0","0","0","0","9","7","96","1"
"Tommy Devito","NYG","QB","22.5","22.5","1","18","246","3","0","1","7","0","0","0","0","0","0"
"Josh Allen","BUF","QB","22.5","22.5","1","20","275","3","1","5","15","0","0","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","21.7","21.7","1","0","0","0","0","0","0","0","0","11","8","77","1"
"Kyler Murray","ARI","QB","21.7","21.7","1","20","214","1","1","7","51","1","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","21.5","21.5","1","0","0","0","0","8","36","1","0","6","6","59","0"
"Christian McCaffrey","SF","RB","21.3","21.3","1","0","0","0","0","21","78","0","0","5","5","25","1"
"Davante Adams","LV","WR","21.2","21.2","1","0","0","0","0","0","0","0","0","13","7","82","1"
"Justin Fields","CHI","QB","21.2","21.2","1","16","169","1","0","18","104","0","0","0","0","0","0"
"Joe Mixon","CIN","RB","21","21","1","0","0","0","0","16","69","0","0","5","5","31","1"
"Gus Edwards","BAL","RB","21","21","1","0","0","0","0","12","62","2","0","2","2","8","0"
"Jordan Love","GB","QB","20.9","20.9","1","27","322","2","0","3","0","0","0","0","0","0","0"
"Khalil Shakir","BUF","WR","20.5","20.5","1","0","0","0","0","0","0","0","0","4","3","115","1"
"DK Metcalf","SEA","WR","20.4","20.4","1","0","0","0","0","0","0","0","0","9","5","94","1"
"Brian Robinson Jr.","WAS","RB","20.1","20.1","1","0","0","0","0","17","73","0","0","9","7","58","0"
"Devin Singletary","HOU","RB","19.8","19.8","1","0","0","0","0","22","112","1","0","2","2","6","0"
"D'Andre Swift","PHI","RB","19.7","19.7","1","0","0","0","0","12","76","1","0","3","3","31","0"
"James Cook","BUF","RB","19.2","19.2","1","0","0","0","0","17","73","0","0","4","3","29","1"
"Jayden Reed","GB","WR","19.2","19.2","1","0","0","0","0","3","46","1","0","6","4","46","0"
"Jalen Hurts","PHI","QB","18.9","18.9","1","14","150","0","1","12","29","2","0","0","0","0","0"
"Puka Nacua","LAR","WR","18.7","18.7","1","0","0","0","0","1","7","0","0","7","5","70","1"
"Breece Hall","NYJ","RB","18.3","18.3","1","0","0","0","0","10","23","0","0","6","5","50","1"
"Darius Slayton","NYG","WR","18.2","18.2","1","0","0","0","0","0","0","0","0","5","4","82","1"
"Tony Pollard","DAL","RB","18","18","1","0","0","0","0","12","61","1","0","5","4","19","0"
"David Montgomery","DET","RB","17.8","17.8","1","0","0","0","0","12","76","1","0","2","2","22","0"
"Rachaad White","TB","RB","17.8","17.8","1","0","0","0","0","9","30","1","0","7","6","28","0"
"Sam Howell","WAS","QB","17.7","17.7","1","31","255","1","3","3","35","1","0","0","0","0","0"
"Tua Tagovailoa","MIA","QB","17.6","17.6","1","28","325","2","1","2","6","0","1","0","0","0","0"
"Joshua Dobbs","MIN","QB","16.9","16.9","1","20","221","1","1","8","21","1","1","0","0","0","0"
