"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Ja'Marr Chase","CIN","WR","52.2","52.2","1","0","0","0","0","0","0","0","0","19","15","192","3"
"DJ Moore","CHI","WR","49","49","1","0","0","0","0","0","0","0","0","10","8","230","3"
"Travis Etienne Jr.","JAX","RB","36.4","36.4","1","0","0","0","0","26","136","2","0","5","4","48","0"
"Zack Moss","IND","RB","33.5","33.5","1","0","0","0","0","23","165","2","0","2","2","30","0"
"Justin Fields","CHI","QB","33","33","1","15","282","4","0","11","57","0","0","0","0","0","0"
"Tyreek Hill","MIA","WR","32.1","32.1","1","0","0","0","0","0","0","0","0","9","8","181","1"
"Breece Hall","NYJ","RB","28.4","28.4","1","0","0","0","0","22","177","1","0","3","3","17","0"
"Josh Allen","BUF","QB","27.8","27.8","1","27","359","2","1","4","14","1","0","0","0","0","0"
"Adam Thielen","CAR","WR","27.7","27.7","1","0","0","0","0","0","0","0","0","13","11","107","1"
"George Kittle","SF","TE","27.7","27.7","1","0","0","0","0","0","0","0","0","4","3","67","3"
"Jared Goff","DET","QB","27.4","27.4","1","20","236","3","0","2","0","1","0","0","0","0","0"
"Jalen Hurts","PHI","QB","27.3","27.3","1","25","303","1","1","15","72","1","0","0","0","0","0"
"George Pickens","PIT","WR","26.6","26.6","1","0","0","0","0","1","16","0","0","10","6","130","1"
"Desmond Ridder","ATL","QB","26.2","26.2","1","28","329","1","0","4","10","1","0","0","0","0","0"
"Brock Purdy","SF","QB","26.1","26.1","1","17","252","4","0","0","0","0","0","0","0","0","0"
"Dallas Goedert","PHI","TE","25.7","25.7","1","0","0","0","0","0","0","0","0","9","8","117","1"
"Sam Howell","WAS","QB","25.4","25.4","1","37","388","2","1","4","19","0","0","0","0","0","0"
"Stefon Diggs","BUF","WR","24.1","24.1","1","0","0","0","0","0","0","0","1","11","8","121","1"
"Joe Burrow","CIN","QB","23.4","23.4","1","36","317","3","1","4","7","0","0","0","0","0","0"
"Travis Kelce","KC","TE","22.7","22.7","1","0","0","0","0","0","0","0","0","11","10","67","1"
"DeAndre Hopkins","TEN","WR","22","22","1","0","0","0","0","0","0","0","0","11","8","140","0"
"Gabe Davis","BUF","WR","22","22","1","0","0","0","0","0","0","0","0","8","6","100","1"
"De'Von Achane","MIA","RB","21.5","21.5","1","0","0","0","0","11","151","1","1","1","1","14","0"
"David Montgomery","DET","RB","20.9","20.9","1","0","0","0","0","19","109","1","0","6","2","20","0"
"Logan Thomas","WAS","TE","20.7","20.7","1","0","0","0","0","0","0","0","1","11","9","77","1"
"Calvin Ridley","JAX","WR","20.6","20.6","1","0","0","0","0","2","14","0","0","8","7","122","0"
"Jakobi Meyers","LV","WR","20.5","20.5","1","0","0","0","0","1","0","0","0","10","7","75","1"
"Puka Nacua","LAR","WR","20.1","20.1","1","0","0","0","0","0","0","0","0","11","7","71","1"
"Josh Jacobs","LV","RB","19.9","19.9","1","0","0","0","0","20","69","1","0","5","5","20","0"
"Kirk Cousins","MIN","QB","19.9","19.9","1","29","284","2","0","3","5","0","0","0","0","0","0"
"Cooper Kupp","LAR","WR","19.8","19.8","1","0","0","0","0","0","0","0","0","12","8","118","0"
"Sam LaPorta","DET","TE","19.7","19.7","1","0","0","0","0","0","0","0","0","4","3","47","2"
"Dalton Schultz","HOU","TE","19.5","19.5","1","0","0","0","0","0","0","0","0","10","7","65","1"
"Patrick Mahomes","KC","QB","19.2","19.2","1","31","281","2","0","0","0","0","0","0","0","0","0"
"Russell Wilson","DEN","QB","18.7","18.7","1","20","196","2","0","7","49","0","1","0","0","0","0"
"Alvin Kamara","NO","RB","18.7","18.7","1","0","0","0","0","22","80","1","0","3","3","17","0"
"A.J. Brown","PHI","WR","18.7","18.7","1","0","0","0","0","0","0","0","0","8","6","127","0"
"Curtis Samuel","WAS","WR","18.5","18.5","1","0","0","0","0","0","0","0","0","7","6","65","1"
"Jordan Addison","MIN","WR","18.4","18.4","1","0","0","0","0","0","0","0","0","9","6","64","1"
"Bryce Young","CAR","QB","18.3","18.3","1","25","247","3","2","1","4","0","0","0","0","0","0"
"Jaleel McLaughlin","DEN","RB","17.9","17.9","1","0","0","0","0","9","68","0","0","4","3","21","1"
"Josh Reynolds","DET","WR","17.6","17.6","1","0","0","0","0","0","0","0","0","5","4","76","1"
"Tua Tagovailoa","MIA","QB","16.9","16.9","1","22","308","2","2","2","6","0","0","0","0","0","0"
"Tyjae Spears","TEN","RB","16.9","16.9","1","0","0","0","0","7","34","1","0","5","4","35","0"
"Matthew Stafford","LAR","QB","16.9","16.9","1","21","222","2","0","0","0","0","0","0","0","0","0"
"D'Andre Swift","PHI","RB","16.8","16.8","1","0","0","0","0","17","70","0","0","6","6","38","0"
"Darren Waller","NYG","TE","16.6","16.6","1","0","0","0","0","0","0","0","0","11","8","86","0"
"Marquise Brown","ARI","WR","16.1","16.1","1","0","0","0","0","0","0","0","0","10","4","61","1"
"Raheem Mostert","MIA","RB","15.8","15.8","1","0","0","0","0","10","65","1","0","2","2","13","0"
"Derek Carr","NO","QB","15.7","15.7","1","18","183","2","0","2","4","0","0","0","0","0","0"
"Trevor Lawrence","JAX","QB","15.7","15.7","1","25","315","1","0","7","31","0","2","0","0","0","0"
"Kyle Pitts","ATL","TE","15.7","15.7","1","0","0","0","0","0","0","0","0","11","7","87","0"
"Josh Downs","IND","WR","15.7","15.7","1","0","0","0","0","0","0","0","0","6","6","97","0"
"Cole Kmet","CHI","TE","15.2","15.2","1","0","0","0","0","0","0","0","0","5","5","42","1"
"Jaylen Waddle","MIA","WR","14.5","14.5","1","0","0","0","0","0","0","0","0","10","5","35","1"
"Christian Kirk","JAX","WR","14.4","14.4","1","0","0","0","0","1","6","0","0","8","6","78","0"
"C.J. Stroud","HOU","QB","14.2","14.2","1","20","249","1","0","1","2","0","0","0","0","0","0"
"Trenton Irwin","CIN","WR","14","14","1","0","0","0","0","0","0","0","0","10","8","60","0"
"Christian McCaffrey","SF","RB","13.8","13.8","1","0","0","0","0","19","51","1","1","3","2","27","0"
"Drake London","ATL","WR","13.8","13.8","1","1","22","0","0","0","0","0","0","9","6","78","0"
"AJ Dillon","GB","RB","13.6","13.6","1","0","0","0","0","20","76","1","0","1","0","0","0"
"Joe Mixon","CIN","RB","13.4","13.4","1","0","0","0","0","25","81","0","0","4","4","13","0"
"Isiah Pacheco","KC","RB","13.4","13.4","1","0","0","0","0","16","55","1","0","1","1","9","0"
"Rashee Rice","KC","WR","13.3","13.3","1","0","0","0","0","0","0","0","0","5","4","33","1"
"DJ Chark Jr.","CAR","WR","13.2","13.2","1","0","0","0","0","0","0","0","0","6","3","42","1"
"Kendre Miller","NO","RB","13","13","1","0","0","0","0","12","37","0","0","4","4","53","0"
"Jordan Mason","SF","RB","12.9","12.9","1","0","0","0","0","10","69","1","0","1","0","0","0"
"Emari Demercado","ARI","RB","12.7","12.7","1","0","0","0","0","10","45","1","0","3","1","12","0"
"Kyle Juszczyk","SF","RB","12.6","12.6","1","0","0","0","0","0","0","0","0","4","4","26","1"
"Alexander Mattison","MIN","RB","12.6","12.6","1","0","0","0","0","8","26","0","0","3","2","20","1"
"Adam Trautman","DEN","TE","12.6","12.6","1","0","0","0","0","0","0","0","0","5","4","26","1"
"Mark Andrews","BAL","TE","12.5","12.5","1","0","0","0","0","0","0","0","0","10","6","65","0"
"Justice Hill","BAL","RB","12.5","12.5","1","0","0","0","0","7","32","1","1","4","4","13","0"
"Kenny Pickett","PIT","QB","12.4","12.4","1","18","224","1","0","6","-6","0","0","0","0","0","0"
"Zay Flowers","BAL","WR","12.3","12.3","1","0","0","0","0","0","0","0","0","11","5","73","0"
"Bijan Robinson","ATL","RB","11.8","11.8","1","0","0","0","0","14","46","0","1","2","2","12","1"
"Christian Watson","GB","WR","11.6","11.6","1","0","0","0","0","1","-5","0","0","7","3","91","0"
"Samaje Perine","DEN","RB","11.5","11.5","1","0","0","0","0","6","22","0","1","5","4","73","0"
"Deebo Samuel","SF","WR","11.5","11.5","1","0","0","0","0","5","30","0","0","3","3","55","0"
"Zay Jones","JAX","WR","11.3","11.3","1","0","0","0","0","0","0","0","0","5","3","23","1"
"Craig Reynolds","DET","RB","11.2","11.2","1","0","0","0","0","7","52","1","0","0","0","0","0"
"Jerry Jeudy","DEN","WR","11","11","1","0","0","0","0","0","0","0","0","7","6","50","0"
"Jaylen Warren","PIT","RB","10.9","10.9","1","0","0","0","0","9","40","0","0","3","3","39","0"
"Jimmy Garoppolo","LV","QB","10.7","10.7","1","22","208","1","1","4","4","0","0","0","0","0","0"
"Jonnu Smith","ATL","TE","10.7","10.7","1","0","0","0","0","0","0","0","1","7","6","67","0"
"Tyler Conklin","NYJ","TE","10.7","10.7","1","0","0","0","0","0","0","0","0","5","4","67","0"
"Rondale Moore","ARI","WR","10.6","10.6","1","0","0","0","0","3","50","0","0","5","3","26","0"
"Michael Thomas","NO","WR","10.5","10.5","1","0","0","0","0","0","0","0","0","7","4","65","0"
"Nelson Agholor","BAL","WR","10.4","10.4","1","0","0","0","0","0","0","0","0","5","4","64","0"
"Antonio Gibson","WAS","RB","10.4","10.4","1","0","0","0","0","0","0","0","0","6","4","64","0"
"Michael Pittman Jr.","IND","WR","10.2","10.2","1","0","0","0","0","0","0","0","0","7","5","52","0"
"T.J. Hockenson","MIN","TE","10.1","10.1","1","0","0","0","0","0","0","0","0","8","5","51","0"
"Lamar Jackson","BAL","QB","9.9","9.9","1","22","236","0","1","6","45","0","1","0","0","0","0"
"Tyler Boyd","CIN","WR","9.9","9.9","1","0","0","0","0","0","0","0","0","7","6","39","0"
"K.J. Osborn","MIN","WR","9.9","9.9","1","0","0","0","0","0","0","0","0","9","5","49","0"
"Brandon Aiyuk","SF","WR","9.8","9.8","1","0","0","0","0","0","0","0","0","7","4","58","0"
"Jonathan Mingo","CAR","WR","9.8","9.8","1","0","0","0","0","0","0","0","0","7","5","48","0"
"Ryan Tannehill","TEN","QB","9.8","9.8","1","23","264","0","1","2","12","0","0","0","0","0","0"
"KaVontae Turpin","DAL","WR","9.6","9.6","1","0","0","0","0","0","0","0","0","1","1","26","1"
"Luke Musgrave","GB","TE","9.4","9.4","1","0","0","0","0","0","0","0","0","7","6","34","0"
"Derrick Henry","TEN","RB","9.2","9.2","1","0","0","0","0","13","43","0","0","3","3","19","0"
"Cedrick Wilson Jr.","MIA","WR","9.2","9.2","1","0","0","0","0","0","0","0","0","4","4","52","0"
"Brandon Powell","MIN","WR","9.2","9.2","1","0","0","0","0","1","9","0","0","6","4","43","0"
"Chris Olave","NO","WR","9.2","9.2","1","0","0","0","0","0","0","0","0","5","2","12","1"
"Dameon Pierce","HOU","RB","9.2","9.2","1","0","0","0","0","20","66","0","0","1","1","16","0"
"Zach Ertz","ARI","TE","9","9","1","0","0","0","0","0","0","0","0","4","2","10","1"
"Terry McLaurin","WAS","WR","8.9","8.9","1","0","0","0","0","0","0","0","0","5","4","49","0"
"CeeDee Lamb","DAL","WR","8.9","8.9","1","0","0","0","0","0","0","0","0","5","4","49","0"
"Tutu Atwell","LAR","WR","8.9","8.9","1","0","0","0","0","0","0","0","0","5","2","9","1"
"Joshua Dobbs","ARI","QB","8.7","8.7","1","15","166","2","2","3","1","0","1","0","0","0","0"
"Zach Wilson","NYJ","QB","8.6","8.6","1","19","199","0","1","3","26","0","0","0","0","0","0"
"Davante Adams","LV","WR","8.5","8.5","1","0","0","0","0","0","0","0","0","4","4","45","0"
"Tony Pollard","DAL","RB","8.4","8.4","1","0","0","0","0","8","29","0","1","5","4","35","0"
"Garrett Wilson","NYJ","WR","8.4","8.4","1","0","0","0","0","0","0","0","0","7","3","54","0"
"Brian Robinson Jr.","WAS","RB","8.3","8.3","1","0","0","0","0","6","10","0","0","4","4","33","0"
"Chigoziem Okonkwo","TEN","TE","8.3","8.3","1","0","0","0","0","0","0","0","0","9","5","33","0"
"Tank Dell","HOU","WR","8.3","8.3","1","0","0","0","0","2","-4","0","0","4","3","57","0"
"Deonte Harty","BUF","WR","8.2","8.2","1","0","0","0","0","0","0","0","0","2","2","62","0"
"Allen Robinson II","PIT","WR","7.9","7.9","1","0","0","0","0","0","0","0","0","9","5","29","0"
