"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Michael Gallup","DAL","WR","3.5","3.5","1","0","0","0","0","0","0","0","0","5","2","15","0"
"Kylen Granson","IND","TE","3.5","3.5","1","0","0","0","0","0","0","0","0","3","2","15","0"
"Kenneth Gainwell","PHI","RB","3.4","3.4","1","0","0","0","0","7","17","0","0","2","1","7","0"
"Matt Breida","NYG","RB","3.4","3.4","1","0","0","0","0","9","21","0","0","1","1","3","0"
"Demario Douglas","NE","WR","3.4","3.4","1","0","0","0","0","0","0","0","0","2","1","24","0"
"Odell Beckham Jr.","BAL","WR","3.3","3.3","1","0","0","0","0","0","0","0","0","4","2","13","0"
"Braxton Berrios","MIA","WR","3.3","3.3","1","0","0","0","0","0","0","0","0","2","2","13","0"
"MyCole Pruitt","ATL","TE","3.2","3.2","1","0","0","0","0","0","0","0","0","1","1","22","0"
"C.J. Uzomah","NYJ","TE","3.2","3.2","1","0","0","0","0","0","0","0","0","2","2","12","0"
"Teagan Quitoriano","HOU","TE","3.2","3.2","1","0","0","0","0","0","0","0","0","1","1","22","0"
"Austin Hooper","LV","TE","3.1","3.1","1","0","0","0","0","0","0","0","0","2","2","11","0"
"Trevon Wesco","TEN","TE","3.1","3.1","1","0","0","0","0","0","0","0","0","1","1","21","0"
"Skyy Moore","KC","WR","3.1","3.1","1","0","0","0","0","0","0","0","0","2","2","11","0"
"Robert Tonyan","CHI","TE","3","3","1","0","0","0","0","0","0","0","0","2","2","10","0"
"Scotty Miller","ATL","WR","3","3","1","0","0","0","0","0","0","0","0","2","2","10","0"
"Jauan Jennings","SF","WR","2.9","2.9","1","0","0","0","0","0","0","0","0","1","1","19","0"
"Josiah Deguara","GB","TE","2.9","2.9","1","0","0","0","0","0","0","0","0","1","1","19","0"
"Michael Wilson","ARI","WR","2.8","2.8","1","0","0","0","0","0","0","0","0","2","1","18","0"
"Mo Alie-Cox","IND","TE","2.7","2.7","1","0","0","0","0","0","0","0","0","1","1","17","0"
"Laviska Shenault Jr.","CAR","WR","2.7","2.7","1","0","0","0","0","5","27","0","0","0","0","0","0"
"Patrick Taylor","GB","RB","2.7","2.7","1","0","0","0","0","2","2","0","0","5","2","5","0"
"Khari Blasingame","CHI","RB","2.6","2.6","1","0","0","0","0","8","26","0","0","0","0","0","0"
"Luke Farrell","JAX","TE","2.6","2.6","1","0","0","0","0","0","0","0","0","1","1","16","0"
"Ameer Abdullah","LV","RB","2.5","2.5","1","0","0","0","0","1","4","0","0","1","1","11","0"
"Quez Watkins","PHI","WR","2.4","2.4","1","0","0","0","0","0","0","0","0","3","2","4","0"
"Rhamondre Stevenson","NE","RB","2.4","2.4","1","0","0","0","0","8","24","0","0","2","0","0","0"
"Brandin Cooks","DAL","WR","2.3","2.3","1","0","0","0","0","1","6","0","0","4","1","7","0"
"Sterling Shepard","NYG","WR","2.3","2.3","1","0","0","0","0","0","0","0","0","2","1","13","0"
"Dalvin Cook","NYJ","RB","2.3","2.3","1","0","0","0","0","6","23","0","0","0","0","0","0"
"Courtland Sutton","DEN","WR","2.3","2.3","1","0","0","0","0","0","0","0","0","3","1","13","0"
"Marquez Valdes-Scantling","KC","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","2","1","12","0"
"Jameson Williams","DET","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","3","2","2","0"
"Ben Sims","GB","TE","2.2","2.2","1","0","0","0","0","0","0","0","0","1","1","12","0"
"Johnny Mundt","MIN","TE","2.1","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"KhaDarel Hodge","ATL","WR","2.1","2.1","1","0","0","0","0","1","0","0","0","1","1","11","0"
"Dyami Brown","WAS","WR","2.1","2.1","1","0","0","0","0","0","0","0","0","3","1","11","0"
"Tyrion Davis-Price","SF","RB","2.1","2.1","1","0","0","0","0","6","21","0","0","0","0","0","0"
