"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Keenan Allen","LAC","WR","40.5","40.5","1","0","0","0","0","0","0","0","0","14","11","175","2"
"CeeDee Lamb","DAL","WR","39.5","39.5","1","0","0","0","0","1","14","1","0","14","11","151","1"
"Dak Prescott","DAL","QB","37.9","37.9","1","26","404","4","1","2","17","1","0","0","0","0","0"
"Brandin Cooks","DAL","WR","32.3","32.3","1","0","0","0","0","0","0","0","0","10","9","173","1"
"Amon-Ra St. Brown","DET","WR","30.5","30.5","1","0","0","0","0","2","9","0","0","9","8","156","1"
"T.J. Hockenson","MIN","TE","30.4","30.4","1","0","0","0","0","0","0","0","0","15","11","134","1"
"Justin Herbert","LAC","QB","28.4","28.4","1","27","323","4","1","4","15","0","0","0","0","0","0"
"Brian Robinson Jr.","WAS","RB","27.7","27.7","1","0","0","0","0","8","38","0","0","6","6","119","1"
"Mike Evans","TB","WR","26.3","26.3","1","0","0","0","0","0","0","0","0","10","6","143","1"
"Jahmyr Gibbs","DET","RB","26.2","26.2","1","0","0","0","0","14","77","2","0","5","3","35","0"
"Joshua Dobbs","MIN","QB","25.1","25.1","1","23","268","1","0","8","44","1","0","0","0","0","0"
"Noah Brown","HOU","WR","24.2","24.2","1","0","0","0","0","0","0","0","0","8","7","172","0"
"Sam Howell","WAS","QB","24.2","24.2","1","29","312","3","0","2","17","0","1","0","0","0","0"
"Geno Smith","SEA","QB","24.1","24.1","1","31","369","2","0","1","13","0","0","0","0","0","0"
"Brock Purdy","SF","QB","23.8","23.8","1","19","296","3","0","0","0","0","0","0","0","0","0"
"Ja'Marr Chase","CIN","WR","23.4","23.4","1","0","0","0","0","0","0","0","0","6","5","124","1"
"Tyler Lockett","SEA","WR","23.2","23.2","1","0","0","0","0","0","0","0","0","10","8","92","1"
"Devin Singletary","HOU","RB","23.1","23.1","1","0","0","0","0","30","150","1","0","2","1","11","0"
"Austin Ekeler","LAC","RB","21.5","21.5","1","0","0","0","0","19","67","1","0","7","4","48","0"
"Chris Olave","NO","WR","21.4","21.4","1","0","0","0","0","0","0","0","0","9","6","94","1"
"Jared Goff","DET","QB","21.1","21.1","1","23","333","2","0","3","-2","0","0","0","0","0","0"
"Trey McBride","ARI","TE","21.1","21.1","1","0","0","0","0","0","0","0","0","9","8","131","0"
"Javonte Williams","DEN","RB","21","21","1","0","0","0","0","21","79","0","0","4","4","31","1"
"George Kittle","SF","TE","20.6","20.6","1","0","0","0","0","0","0","0","0","4","3","116","1"
"Christian McCaffrey","SF","RB","20.2","20.2","1","0","0","0","0","16","95","0","0","10","6","47","0"
"Joe Burrow","CIN","QB","19.9","19.9","1","27","347","2","2","5","20","0","0","0","0","0","0"
"Tyler Boyd","CIN","WR","19.7","19.7","1","0","0","0","0","0","0","0","0","12","8","117","0"
"Kenneth Walker III","SEA","RB","19.7","19.7","1","0","0","0","0","19","63","0","0","2","1","64","1"
"Jayden Reed","GB","WR","19.4","19.4","1","0","0","0","0","0","0","0","0","5","5","84","1"
"C.J. Stroud","HOU","QB","19","19","1","23","356","1","1","2","8","1","2","0","0","0","0"
"Jaylen Warren","PIT","RB","19","19","1","0","0","0","0","15","101","1","0","4","2","9","0"
"Tank Dell","HOU","WR","18.9","18.9","1","0","0","0","0","1","13","0","0","14","6","56","1"
"Russell Wilson","DEN","QB","18.7","18.7","1","24","193","2","0","9","30","0","0","0","0","0","0"
"Najee Harris","PIT","RB","18.6","18.6","1","0","0","0","0","16","82","1","0","4","3","14","0"
"Alvin Kamara","NO","RB","18.5","18.5","1","0","0","0","0","9","42","0","0","7","7","33","0"
"Baker Mayfield","TB","QB","18.3","18.3","1","18","278","2","1","3","12","0","0","0","0","0","0"
"Garrett Wilson","NYJ","WR","18.3","18.3","1","0","0","0","0","0","0","0","0","14","9","93","0"
"Rachaad White","TB","RB","17.8","17.8","1","0","0","0","0","20","51","0","0","3","2","47","1"
"David Montgomery","DET","RB","17.6","17.6","1","0","0","0","0","12","116","1","0","0","0","0","0"
"Bijan Robinson","ATL","RB","17.6","17.6","1","0","0","0","0","22","95","1","0","2","1","11","0"
"Courtland Sutton","DEN","WR","17.3","17.3","1","0","0","0","0","0","0","0","1","11","8","53","1"
"Kyler Murray","ARI","QB","17.3","17.3","1","19","249","0","1","6","33","1","0","0","0","0","0"
"D'Onta Foreman","CHI","RB","17.2","17.2","1","0","0","0","0","21","80","1","0","2","2","12","0"
"DK Metcalf","SEA","WR","16.8","16.8","1","0","0","0","0","0","0","0","0","12","7","98","0"
"Jordan Love","GB","QB","16.7","16.7","1","21","289","2","2","2","11","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","16.5","16.5","1","0","0","0","0","4","13","0","0","6","5","42","1"
"Michael Pittman Jr.","IND","WR","16.4","16.4","1","0","0","0","0","0","0","0","0","12","8","84","0"
"Deshaun Watson","CLE","QB","16.2","16.2","1","20","213","1","1","8","37","0","0","0","0","0","0"
"Dalton Kincaid","BUF","TE","16.1","16.1","1","0","0","0","0","0","0","0","0","6","5","51","1"
"Deebo Samuel","SF","WR","15.9","15.9","1","0","0","0","0","3","29","1","0","4","4","30","0"
"Amari Cooper","CLE","WR","15.8","15.8","1","0","0","0","0","0","0","0","0","9","6","98","0"
"Elijah Moore","CLE","WR","15.4","15.4","1","0","0","0","0","0","0","0","0","7","5","44","1"
"Michael Gallup","DAL","WR","15","15","1","0","0","0","0","0","0","0","0","2","2","70","1"
"Latavius Murray","BUF","RB","14.9","14.9","1","0","0","0","0","9","68","1","0","3","2","1","0"
"Davante Adams","LV","WR","14.6","14.6","1","0","0","0","0","0","0","0","0","13","6","86","0"
"Jonathan Taylor","IND","RB","14.5","14.5","1","0","0","0","0","23","69","1","0","1","1","6","0"
"Brandon Aiyuk","SF","WR","14.5","14.5","1","0","0","0","0","0","0","0","0","3","3","55","1"
"Christian Kirk","JAX","WR","14.4","14.4","1","0","0","0","0","0","0","0","1","11","6","104","0"
"Demario Douglas","NE","WR","14.4","14.4","1","0","0","0","0","0","0","0","0","9","6","84","0"
"Josh Allen","BUF","QB","14.4","14.4","1","15","177","1","2","4","13","1","1","0","0","0","0"
"Jalen Guyton","LAC","WR","14.1","14.1","1","0","0","0","0","0","0","0","0","6","4","41","1"
"Tyler Conklin","NYJ","TE","14","14","1","0","0","0","0","0","0","0","0","7","7","70","0"
"Zach Wilson","NYJ","QB","13.9","13.9","1","23","263","0","1","4","54","0","0","0","0","0","0"
"Rico Dowdle","DAL","RB","13.9","13.9","1","0","0","0","0","12","79","1","0","0","0","0","0"
"Keaton Mitchell","BAL","RB","13.6","13.6","1","0","0","0","0","3","34","1","0","2","1","32","0"
"Tommy Devito","NYG","QB","13.5","13.5","1","14","86","2","1","7","41","0","0","0","0","0","0"
"Trenton Irwin","CIN","WR","13.4","13.4","1","0","0","0","0","0","0","0","0","4","2","54","1"
"Quentin Johnston","LAC","WR","13.4","13.4","1","0","0","0","0","0","0","0","0","4","4","34","1"
"Rhamondre Stevenson","NE","RB","13.2","13.2","1","0","0","0","0","20","88","0","0","5","3","14","0"
"Lamar Jackson","BAL","QB","13","13","1","13","223","1","2","8","41","0","0","0","0","0","0"
"Josh Jacobs","LV","RB","12.7","12.7","1","0","0","0","0","27","116","0","1","2","2","11","0"
