"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Christian McCaffrey","SF","RB","48.7","1","0","0","0","0","20","106","3","0","8","7","71","1"
"A.J. Brown","PHI","WR","38.5","1","0","0","0","0","0","0","0","0","13","9","175","2"
"Josh Allen","BUF","QB","36.5","1","21","320","4","0","4","17","1","0","0","0","0","0"
"Stefon Diggs","BUF","WR","36","1","0","0","0","0","0","0","0","0","7","6","120","3"
"Nico Collins","HOU","WR","35.8","1","0","0","0","0","0","0","0","0","9","7","168","2"
"David Montgomery","DET","RB","34.1","1","0","0","0","0","32","121","3","0","2","2","20","0"
"Puka Nacua","LAR","WR","31.3","1","0","0","0","0","0","0","0","0","10","9","163","1"
"Anthony Richardson","IND","QB","29.6","1","11","200","2","0","10","56","1","1","0","0","0","0"
"Lamar Jackson","BAL","QB","28.1","1","15","186","2","0","9","27","2","1","0","0","0","0"
"Josh Jacobs","LV","RB","27.9","1","0","0","0","0","17","58","1","0","11","8","81","0"
"Justin Fields","CHI","QB","27.9","1","28","335","4","1","4","25","0","1","0","0","0","0"
"Kyren Williams","LAR","RB","27.7","1","0","0","0","0","25","103","2","0","3","3","24","0"
"Cole Kmet","CHI","TE","27.6","1","0","0","0","0","1","1","0","0","9","7","85","2"
"DJ Moore","CHI","WR","27.1","1","0","0","0","0","0","0","0","0","9","8","131","1"
"De'Von Achane","MIA","RB","27","1","0","0","0","0","8","101","2","0","5","3","19","0"
"Michael Wilson","ARI","WR","26.6","1","0","0","0","0","0","0","0","0","7","7","76","2"
"Justin Jefferson","MIN","WR","26.5","1","0","0","0","0","0","0","0","0","9","6","85","2"
"Mark Andrews","BAL","TE","25","1","0","0","0","0","0","0","0","0","5","5","80","2"
"Isiah Pacheco","KC","RB","24.8","1","0","0","0","0","20","115","1","0","3","3","43","0"
"Jalen Hurts","PHI","QB","24.2","1","25","319","2","0","9","34","0","0","0","0","0","0"
"Joshua Dobbs","ARI","QB","23.4","1","28","265","2","0","12","48","0","0","0","0","0","0"
"Justin Herbert","LAC","QB","23.4","1","13","167","1","1","12","27","2","0","0","0","0","0"
